+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Faoud Bacchus                 | 1183  | 8        | 147.87        |
| Bobby Abel                    | 10941 | 74       | 147.85        |
| Nip Pellew                    | 1330  | 9        | 147.77        |
| Glenn Bishop                  | 1921  | 13       | 147.76        |
| Aftab Habib                   | 3102  | 21       | 147.71        |
| Imran Farhat                  | 5610  | 38       | 147.63        |
| Micky Walford                 | 1328  | 9        | 147.55        |
| Adam Voges                    | 4721  | 32       | 147.53        |
| Nazmul Hossain                | 1475  | 10       | 147.50        |
| Saqib Ali                     | 885   | 6        | 147.50        |
| Sunil Gavaskar                | 11945 | 81       | 147.46        |
| Sharjeel Khan                 | 1917  | 13       | 147.46        |
| Nawab of Pataudi              | 4276  | 29       | 147.44        |
| Tom Clark                     | 1768  | 12       | 147.33        |
| Alex Doolan                   | 1768  | 12       | 147.33        |
| Godfrey Bryan                 | 884   | 6        | 147.33        |
| Salman Butt                   | 3681  | 25       | 147.24        |
| Murray Goodwin                | 10450 | 71       | 147.18        |
| Sudhir Tanna                  | 1177  | 8        | 147.12        |
| Shehan Jayasuriya             | 1618  | 11       | 147.09        |
| Colin Munro                   | 1912  | 13       | 147.07        |
| Gerry Gomez                   | 2058  | 14       | 147.00        |
| Shahidullah                   | 1029  | 7        | 147.00        |
| John Greig                    | 2203  | 15       | 146.86        |
| WG Grace                      | 18211 | 124      | 146.86        |
| Andrew Puttick                | 3965  | 27       | 146.85        |
| Barry Shepherd                | 1909  | 13       | 146.84        |
| Aditya Shrivastava            | 881   | 6        | 146.83        |
| Stewart Walters               | 881   | 6        | 146.83        |
| Ross Taylor                   | 3964  | 27       | 146.81        |
| Ravikumar Samarth             | 1468  | 10       | 146.80        |
| Yashpal Singh                 | 3523  | 24       | 146.79        |
| Bob Cowper                    | 3815  | 26       | 146.73        |
| Arindam Ghosh                 | 1027  | 7        | 146.71        |
| Kedar Chavan                  | 1467  | 10       | 146.70        |
| Hemant Kinikar                | 880   | 6        | 146.66        |
| Matt Wood                     | 1320  | 9        | 146.66        |
| Justin Langer                 | 12612 | 86       | 146.65        |
| VVS Laxman                    | 8064  | 55       | 146.61        |
| Glenn Maxwell                 | 1026  | 7        | 146.57        |
| Dinesh Chandimal              | 3664  | 25       | 146.56        |
| Pranab Roy                    | 1905  | 13       | 146.53        |
| Ossie Dawson                  | 879   | 6        | 146.50        |
| Kirti Patel                   | 879   | 6        | 146.50        |
| Ben Smith                     | 878   | 6        | 146.33        |
| Gogumal Kishenchand           | 2195  | 15       | 146.33        |
| Thilina Kandamby              | 2779  | 19       | 146.26        |
| Doug Watson                   | 1901  | 13       | 146.23        |
| Muralidharan Gautam           | 1462  | 10       | 146.20        |
| Pananmal Punjabi              | 877   | 6        | 146.16        |
| Bert Kortlang                 | 877   | 6        | 146.16        |
| Jonathan Trott                | 6722  | 46       | 146.13        |
| Aqeel Anjum                   | 1169  | 8        | 146.12        |
| Ryan Bailey                   | 1169  | 8        | 146.12        |
| Marcus Trescothick            | 9643  | 66       | 146.10        |
| Billy Gunn                    | 7013  | 48       | 146.10        |
| Heinrich Klaasen              | 1607  | 11       | 146.09        |
| Naved Latif                   | 2191  | 15       | 146.06        |
| Kyle Coetzer                  | 1168  | 8        | 146.00        |
| Vikram Solanki                | 4964  | 34       | 146.00        |
| Warren Bardsley               | 7736  | 53       | 145.96        |
| Mukund Parmar                 | 2919  | 20       | 145.95        |
| Moises Henriques              | 1897  | 13       | 145.92        |
| Abid Ali                      | 3648  | 25       | 145.92        |
| Arthur Shrewsbury             | 8609  | 59       | 145.91        |
| Azeem Ghumman                 | 1459  | 10       | 145.90        |
| Jack Bryan                    | 2480  | 17       | 145.88        |
| Tamim Iqbal                   | 2334  | 16       | 145.87        |
| Yuvraj Singh                  | 3792  | 26       | 145.84        |
| Rafatullah Mohmand            | 1750  | 12       | 145.83        |
| Heino Kuhn                    | 3645  | 25       | 145.80        |
| Subramaniam Badrinath         | 4665  | 32       | 145.78        |
| Uday Merchant                 | 1312  | 9        | 145.77        |
| Abhishek Nayar                | 1895  | 13       | 145.76        |
| Rahul Dravid                  | 9912  | 68       | 145.76        |
| Babar Azam                    | 1166  | 8        | 145.75        |
| Shanan Stewart                | 1020  | 7        | 145.71        |
| Marvan Atapattu               | 6848  | 47       | 145.70        |
| Sanjay Manjrekar              | 4516  | 31       | 145.67        |
| Khanderao Rangnekar           | 2185  | 15       | 145.66        |
| Jamie How                     | 2330  | 16       | 145.62        |
| Awais Zia                     | 1165  | 8        | 145.62        |
| Bob Relf                      | 3495  | 24       | 145.62        |
| Ashok Malhotra                | 3494  | 24       | 145.58        |
| Ken Taylor                    | 2329  | 16       | 145.56        |
| Monty Noble                   | 5385  | 37       | 145.54        |
| Harry Winrow                  | 873   | 6        | 145.50        |
| Saif Hasan                    | 873   | 6        | 145.50        |
| Chris Harris                  | 2182  | 15       | 145.46        |
| James Vince                   | 3782  | 26       | 145.46        |
| Hashim Amla                   | 7998  | 55       | 145.41        |
| Liton Das                     | 2471  | 17       | 145.35        |
| Clem Hill                     | 6540  | 45       | 145.33        |
| Pieter Barnard                | 1308  | 9        | 145.33        |
| Nipun Karunanayake            | 1308  | 9        | 145.33        |
| Zubayr Hamza                  | 1889  | 13       | 145.30        |
| Mathew Sinclair               | 5231  | 36       | 145.30        |
| Abhimanyu Easwaran            | 2179  | 15       | 145.26        |
| Manohar Hardikar              | 1162  | 8        | 145.25        |
| Nilesh Modi                   | 1162  | 8        | 145.25        |
| John Brown                    | 4212  | 29       | 145.24        |
| Ghulam Abbas                  | 1307  | 9        | 145.22        |
