+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Gilbert Parkhouse             | 4182  | 32       | 130.68        |
| Darren Maddy                  | 3528  | 27       | 130.66        |
| Omphile Ramela                | 1176  | 9        | 130.66        |
| Ian Craig                     | 1960  | 15       | 130.66        |
| Alexander Webbe               | 1829  | 14       | 130.64        |
| Andre Bruyns                  | 1437  | 11       | 130.63        |
| Ken Barrington                | 9925  | 76       | 130.59        |
| Quinton de Kock               | 1567  | 12       | 130.58        |
| Bruce Edgar                   | 3134  | 24       | 130.58        |
| Paul Horton                   | 3134  | 24       | 130.58        |
| Philip Amm                    | 1567  | 12       | 130.58        |
| Adrian Griffith               | 914   | 7        | 130.57        |
| Shoaib Khan                   | 2219  | 17       | 130.52        |
| Ted Lester                    | 3263  | 25       | 130.52        |
| Mohinder Amarnath             | 3915  | 30       | 130.50        |
| Jack Mason                    | 4437  | 34       | 130.50        |
| Timycen Maruma                | 1044  | 8        | 130.50        |
| Sir Ian Botham                | 4959  | 38       | 130.50        |
| Athula Samarasekera           | 783   | 6        | 130.50        |
| Deep Dasgupta                 | 783   | 6        | 130.50        |
| James Franklin                | 2870  | 22       | 130.45        |
| Mike Buss                     | 1435  | 11       | 130.45        |
| Tom Kohler-Cadmore            | 1174  | 9        | 130.44        |
| Paul Hibbert                  | 1174  | 9        | 130.44        |
| Tom Graveney                  | 15913 | 122      | 130.43        |
| Noel Day                      | 913   | 7        | 130.42        |
| Kevin Bennett                 | 913   | 7        | 130.42        |
| Sunil Chaturvedi              | 913   | 7        | 130.42        |
| Manzoor Akhtar                | 2217  | 17       | 130.41        |
| Adam Gilchrist                | 3912  | 30       | 130.40        |
| Ray White                     | 1304  | 10       | 130.40        |
| Chris Gaffaney                | 1043  | 8        | 130.37        |
| Donald Carr                   | 3129  | 24       | 130.37        |
| Dhananjaya de Silva           | 2477  | 19       | 130.36        |
| Agha Salman                   | 1434  | 11       | 130.36        |
| Bilal Khilji                  | 1825  | 14       | 130.35        |
| Mervyn Kitchen                | 2216  | 17       | 130.35        |
| Asif Din                      | 1173  | 9        | 130.33        |
| Abdul Rehman Muzammil         | 912   | 7        | 130.28        |
| Morice Bird                   | 912   | 7        | 130.28        |
| Simon Hinks                   | 1433  | 11       | 130.27        |
| Nasser Hussain                | 6774  | 52       | 130.26        |
| Ronnie Irani                  | 3647  | 28       | 130.25        |
| Gary Watts                    | 1042  | 8        | 130.25        |
| William Burns                 | 1563  | 12       | 130.25        |
| Eddie Bates                   | 1693  | 13       | 130.23        |
| Cuthbert Burnup               | 3386  | 26       | 130.23        |
| Ammanabrole Nand Kishore      | 1172  | 9        | 130.22        |
| Bob Haywood                   | 2604  | 20       | 130.20        |
| Agha Zahid                    | 3775  | 29       | 130.17        |
| Mike Newell                   | 781   | 6        | 130.16        |
| Shane Thomson                 | 781   | 6        | 130.16        |
| Rahul Sapru                   | 2343  | 18       | 130.16        |
| Nitish Rana                   | 781   | 6        | 130.16        |
| Jack White                    | 781   | 6        | 130.16        |
| Harsha Vithana                | 781   | 6        | 130.16        |
| Steven Davies                 | 3254  | 25       | 130.16        |
| Tony Pithey                   | 1692  | 13       | 130.15        |
| John Abrahams                 | 1822  | 14       | 130.14        |
| Shyam Mitra                   | 911   | 7        | 130.14        |
| David Hemp                    | 3904  | 30       | 130.13        |
| Stan Worthington              | 4034  | 31       | 130.12        |
| Chinmoy Sharma                | 1041  | 8        | 130.12        |
| Arno Jacobs                   | 2212  | 17       | 130.11        |
| Neil Rosendorff               | 1431  | 11       | 130.09        |
| Willie Quaife                 | 9364  | 72       | 130.05        |
| Chandu Borde                  | 3900  | 30       | 130.00        |
| David Leatherdale             | 1820  | 14       | 130.00        |
| Nasir Jamshed                 | 1950  | 15       | 130.00        |
| Jack Mills                    | 1430  | 11       | 130.00        |
| Frank Penn                    | 780   | 6        | 130.00        |
| Ferisco Adams                 | 780   | 6        | 130.00        |
| Kavaljit Singh                | 910   | 7        | 130.00        |
| George Worker                 | 1170  | 9        | 130.00        |
| Roshan Mahanama               | 1560  | 12       | 130.00        |
| Madhusudan Rege               | 780   | 6        | 130.00        |
| Bob Wyatt                     | 11048 | 85       | 129.97        |
| Mushtaq Ali                   | 3899  | 30       | 129.96        |
| Jim Stewart                   | 3248  | 25       | 129.92        |
| Lasith Abeyratne              | 1559  | 12       | 129.91        |
| Nawab of Pataudi              | 4287  | 33       | 129.90        |
| Robin Smith                   | 7924  | 61       | 129.90        |
| BJ Watling                    | 2338  | 18       | 129.88        |
| Sylvester Joseph              | 1169  | 9        | 129.88        |
| Prasanth Kumar                | 1169  | 9        | 129.88        |
| Saeed Ahmed                   | 4416  | 34       | 129.88        |
| Alan Ormrod                   | 4156  | 32       | 129.87        |
| Ariful Haque                  | 1039  | 8        | 129.87        |
| Michael Dighton               | 1039  | 8        | 129.87        |
| Cecil Wood                    | 4805  | 37       | 129.86        |
| Alan Oakman                   | 2857  | 22       | 129.86        |
| Saurabh Wakaskar              | 909   | 7        | 129.85        |
| Mithun Ali                    | 1818  | 14       | 129.85        |
| Indu Roy                      | 909   | 7        | 129.85        |
| Alistair Campbell             | 1428  | 11       | 129.81        |
| John Reid                     | 1428  | 11       | 129.81        |
| Arindam Das                   | 1428  | 11       | 129.81        |
| Harry Lee                     | 4933  | 38       | 129.81        |
| Vic Richardson                | 3505  | 27       | 129.81        |
| Sajith Fernando               | 2077  | 16       | 129.81        |
| Steven Mullaney               | 2077  | 16       | 129.81        |
| Paul Collingwood              | 4543  | 35       | 129.80        |
| Maurice Tompkin               | 4023  | 31       | 129.77        |
| Rob Bailey                    | 6099  | 47       | 129.76        |
| Jimmy Gray                    | 3892  | 30       | 129.73        |
| Martin Young                  | 5189  | 40       | 129.72        |
| Tom Cartwright                | 908   | 7        | 129.71        |
| Tim Hancock                   | 908   | 7        | 129.71        |
| Nikhil Gangta                 | 908   | 7        | 129.71        |
| Michael Barton                | 908   | 7        | 129.71        |
| Abbas Ali Baig                | 2724  | 21       | 129.71        |
| Robert Vance                  | 1556  | 12       | 129.66        |
| Sorabji Colah                 | 778   | 6        | 129.66        |
| Tim Seifert                   | 778   | 6        | 129.66        |
| Hemang Badani                 | 1815  | 14       | 129.64        |
| Michael Price                 | 1426  | 11       | 129.63        |
| Ambati Rayudu                 | 2074  | 16       | 129.62        |
| Harsha Cooray                 | 1296  | 10       | 129.60        |
| Alan Wells                    | 5961  | 46       | 129.58        |
| Ijaz Butt                     | 907   | 7        | 129.57        |
| Shafiq Ahmed                  | 6866  | 53       | 129.54        |
| Joey Carew                    | 1684  | 13       | 129.53        |
| Nick Speak                    | 1943  | 15       | 129.53        |
| Colin Ingram                  | 1813  | 14       | 129.50        |
| Jake Libby                    | 1295  | 10       | 129.50        |
| Damien Martyn                 | 5698  | 44       | 129.50        |
| Akash Malhotra                | 1036  | 8        | 129.50        |
| Ijaz Hussain                  | 1036  | 8        | 129.50        |
| Bhavin Thakkar                | 777   | 6        | 129.50        |
| Wilfred Rhodes                | 7509  | 58       | 129.46        |
| Hylton Ackerman               | 2589  | 20       | 129.45        |
| Kamran Ghulam                 | 1165  | 9        | 129.44        |
| Shafqat Rana                  | 1165  | 9        | 129.44        |
| Saleem Malik                  | 5566  | 43       | 129.44        |
| Majid Khan                    | 9449  | 73       | 129.43        |
| Herbie Taylor                 | 3883  | 30       | 129.43        |
| Mandy Yachad                  | 1812  | 14       | 129.42        |
| Varuna Waragoda               | 1812  | 14       | 129.42        |
| Mark Stoneman                 | 3365  | 26       | 129.42        |
| Mike Harris                   | 5305  | 41       | 129.39        |
| Bipul Sharma                  | 1035  | 8        | 129.37        |
| David Green                   | 1811  | 14       | 129.35        |
| Bobby Rao                     | 1164  | 9        | 129.33        |
| Ben Johnson                   | 1164  | 9        | 129.33        |
| Tony Wright                   | 2328  | 18       | 129.33        |
| Dean Hodgson                  | 1164  | 9        | 129.33        |
| David Lloyd                   | 4914  | 38       | 129.31        |
| Ali Zia                       | 1681  | 13       | 129.30        |
| Sudip Chatterjee              | 1293  | 10       | 129.30        |
| Dick Horsfall                 | 2198  | 17       | 129.29        |
| Zahoor Elahi                  | 4008  | 31       | 129.29        |
| Jalaj Saxena                  | 1810  | 14       | 129.28        |
| Daniel Bell-Drummond          | 1422  | 11       | 129.27        |
| Suryaveer Singh               | 1034  | 8        | 129.25        |
| Barry Wood                    | 3877  | 30       | 129.23        |
| Walter Hadlee                 | 2326  | 18       | 129.22        |
| Malinda Warnapura             | 2584  | 20       | 129.20        |
| Sadiq Mohammad                | 6460  | 50       | 129.20        |
| Jock Cameron                  | 1421  | 11       | 129.18        |
| Rohan Prem                    | 1550  | 12       | 129.16        |
| Scotch Taylor                 | 775   | 6        | 129.16        |
| Burton de Wett                | 1162  | 9        | 129.11        |
| Chris Taylor                  | 2582  | 20       | 129.10        |
| Peter Roebuck                 | 4260  | 33       | 129.09        |
| Martin Horton                 | 2969  | 23       | 129.08        |
| Dipak Patel                   | 3356  | 26       | 129.07        |
| Bob Gregory                   | 5034  | 39       | 129.07        |
| Edgar Mayne                   | 1807  | 14       | 129.07        |
| Ken McEwan                    | 9551  | 74       | 129.06        |
| Adrian Dale                   | 2968  | 23       | 129.04        |
| Farhan Adil                   | 1161  | 9        | 129.00        |
| Nurul Hasan                   | 1161  | 9        | 129.00        |
| Aubrey Swanepoel              | 1677  | 13       | 129.00        |
| Parvez Rasool                 | 1548  | 12       | 129.00        |
| Muhammad Akoojee              | 903   | 7        | 129.00        |
| Joe Clarke                    | 2322  | 18       | 129.00        |
| Frank Gillingham              | 2451  | 19       | 129.00        |
| Basil Allen                   | 1806  | 14       | 129.00        |
| Stevie Eskinazi               | 903   | 7        | 129.00        |
| Yashpal Sharma                | 2708  | 21       | 128.95        |
| Peter Willey                  | 5673  | 44       | 128.93        |
| Aamer Sohail                  | 3739  | 29       | 128.93        |
| Jimmy Adams                   | 3223  | 25       | 128.92        |
| Frederick Fane                | 3223  | 25       | 128.92        |
| Frank Lee                     | 2965  | 23       | 128.91        |
| Ken Cunningham                | 1160  | 9        | 128.88        |
| Chris Broad                   | 6444  | 50       | 128.88        |
| Vishaul Singh                 | 1031  | 8        | 128.87        |
| Temba Bavuma                  | 1933  | 15       | 128.86        |
| Vallance Jupp                 | 3866  | 30       | 128.86        |
| Darrin Murray                 | 902   | 7        | 128.85        |
| Ramnaresh Sarwan              | 4252  | 33       | 128.84        |
| Qaasim Adams                  | 1675  | 13       | 128.84        |
| Joe Solomon                   | 1546  | 12       | 128.83        |
| Jack Moroney                  | 1546  | 12       | 128.83        |
| Bill Barron                   | 773   | 6        | 128.83        |
| Graham Manou                  | 773   | 6        | 128.83        |
| Ernest Kemm                   | 1417  | 11       | 128.81        |
| Sridharan Sharath             | 3477  | 27       | 128.77        |
| Brian Luckhurst               | 6181  | 48       | 128.77        |
| Norman Kilner                 | 3219  | 25       | 128.76        |
| George Gunn                   | 7983  | 62       | 128.75        |
| Adam Wheater                  | 1545  | 12       | 128.75        |
| Javed Bhatti                  | 1030  | 8        | 128.75        |
| Bruce Mitchell                | 3862  | 30       | 128.73        |
| Clive Rice                    | 6178  | 48       | 128.70        |
| Frank Mitchell                | 2188  | 17       | 128.70        |
| Andy Lloyd                    | 3732  | 29       | 128.68        |
| Dale Benkenstein              | 4890  | 38       | 128.68        |
| Brett Pelser                  | 1930  | 15       | 128.66        |
| Hashan Dumindu                | 772   | 6        | 128.66        |
| Joe Carter                    | 772   | 6        | 128.66        |
| Gihan Rupasinghe              | 1158  | 9        | 128.66        |
| Alex Bowell                   | 3216  | 25       | 128.64        |
| Andre Malan                   | 1029  | 8        | 128.62        |
| Jake Lehmann                  | 1029  | 8        | 128.62        |
| Harold Gimblett               | 6431  | 50       | 128.62        |
| Kevin McKenzie                | 1672  | 13       | 128.61        |
| Shaun Marsh                   | 4115  | 32       | 128.59        |
| Will Young                    | 1543  | 12       | 128.58        |
| James Bracey                  | 900   | 7        | 128.57        |
| Bev Lyon                      | 2057  | 16       | 128.56        |
| Craig Serjeant                | 1157  | 9        | 128.55        |
| Curly Page                    | 1157  | 9        | 128.55        |
| Yogendra Chowdhury            | 1157  | 9        | 128.55        |
| Paul Pollard                  | 1928  | 15       | 128.53        |
| John King                     | 4369  | 34       | 128.50        |
| David Ogilvie                 | 1028  | 8        | 128.50        |
| Tony Greig                    | 3341  | 26       | 128.50        |
| Mark Logan                    | 771   | 6        | 128.50        |
| John Inverarity               | 3341  | 26       | 128.50        |
| Steve Smith                   | 1542  | 12       | 128.50        |
| Chris Tavar?                  | 6167  | 48       | 128.47        |
| James Foster                  | 2955  | 23       | 128.47        |
| David Turner                  | 3597  | 28       | 128.46        |
| Lord Hawke                    | 1670  | 13       | 128.46        |
| Edgar Oldroyd                 | 4624  | 36       | 128.44        |
| Roy Park                      | 1156  | 9        | 128.44        |
| Lancelot Hemus                | 1027  | 8        | 128.37        |
| Alex Lees                     | 2182  | 17       | 128.35        |
| Sherwin Campbell              | 3337  | 26       | 128.34        |
| Manohar Sharma                | 1155  | 9        | 128.33        |
| Jon-Jon Smuts                 | 1155  | 9        | 128.33        |
| Elton Chigumbura              | 770   | 6        | 128.33        |
| Keith Brown                   | 1668  | 13       | 128.30        |
| Chris Woakes                  | 1283  | 10       | 128.30        |
| Albert During                 | 898   | 7        | 128.28        |
| Brad White                    | 898   | 7        | 128.28        |
| Vasudevanpillai Jagadeesh     | 1026  | 8        | 128.25        |
| Roland Holder                 | 2180  | 17       | 128.23        |
| Ian Ward                      | 2949  | 23       | 128.21        |
| Jagadeesh Arunkumar           | 2564  | 20       | 128.20        |
| Faisal Athar                  | 2179  | 17       | 128.17        |
| Kamran Sajid                  | 1538  | 12       | 128.16        |
| Alexei Kervezee               | 769   | 6        | 128.16        |
| Colin Cowdrey                 | 13713 | 107      | 128.15        |
| Geoff Howarth                 | 4101  | 32       | 128.15        |
| Jake Omar                     | 1025  | 8        | 128.12        |
| Eric Bedser                   | 1281  | 10       | 128.10        |
| Kirk Edwards                  | 1281  | 10       | 128.10        |
| Smit Patel                    | 1409  | 11       | 128.09        |
| Richie Benaud                 | 2946  | 23       | 128.08        |
| Boeta Dippenaar               | 4354  | 34       | 128.05        |
| Scott Borthwick               | 2561  | 20       | 128.05        |
| Neil Lenham                   | 2561  | 20       | 128.05        |
| Adil Rashid                   | 1280  | 10       | 128.00        |
| Robert East                   | 1024  | 8        | 128.00        |
| John Steele                   | 2688  | 21       | 128.00        |
| Graeme Fowler                 | 4608  | 36       | 128.00        |
| Kanchana Gunawardene          | 1024  | 8        | 128.00        |
| Alan Marshal                  | 1024  | 8        | 128.00        |
| Andy Hayhurst                 | 1791  | 14       | 127.92        |
| Roger Prideaux                | 5245  | 41       | 127.92        |
| Shahid Saeed                  | 1663  | 13       | 127.92        |
| Tony Middleton                | 1663  | 13       | 127.92        |
| George Bailey                 | 3070  | 24       | 127.91        |
| Hemantha Wickramaratne        | 2686  | 21       | 127.90        |
| Tiger Smith                   | 2558  | 20       | 127.90        |
| Mike Smith                    | 8824  | 69       | 127.88        |
| Jack Parsons                  | 4859  | 38       | 127.86        |
| Rehan Rafiq                   | 895   | 7        | 127.85        |
| Paul Prichard                 | 4091  | 32       | 127.84        |
| John Thompson                 | 767   | 6        | 127.83        |
| Jim Parks                     | 5241  | 41       | 127.82        |
| Jason Mohammed                | 1406  | 11       | 127.81        |
| Lawrence Seeff                | 1406  | 11       | 127.81        |
| George Challenor              | 1917  | 15       | 127.80        |
| Wesley Coulentianos           | 1278  | 10       | 127.80        |
| Jimmy Cutmore                 | 1917  | 15       | 127.80        |
| Geoff Humpage                 | 3706  | 29       | 127.79        |
| Shaun Young                   | 1789  | 14       | 127.78        |
| Daren Ganga                   | 2939  | 23       | 127.78        |
| Danny Buckingham              | 1150  | 9        | 127.77        |
| Alistair Gray                 | 1405  | 11       | 127.72        |
| Sudhir Naik                   | 894   | 7        | 127.71        |
| Shivakant Shukla              | 894   | 7        | 127.71        |
| Graeme Archer                 | 1277  | 10       | 127.70        |
| Jim Troughton                 | 2426  | 19       | 127.68        |
| Nummy Deane                   | 766   | 6        | 127.66        |
| Graham Lloyd                  | 3063  | 24       | 127.62        |
| Leus du Plooy                 | 1659  | 13       | 127.61        |
| Sidney Martin                 | 1659  | 13       | 127.61        |
| Adam Hollioake                | 2297  | 18       | 127.61        |
| Saeed Anwar                   | 3700  | 29       | 127.58        |
| Baba Indrajith                | 1531  | 12       | 127.58        |
| Sudhakar Rao                  | 893   | 7        | 127.57        |
| Martin Kent                   | 893   | 7        | 127.57        |
| Sajid Ali                     | 4847  | 38       | 127.55        |
| John Gunn                     | 5102  | 40       | 127.55        |
| Qaiser Abbas                  | 1658  | 13       | 127.53        |
| Mansoor Rana                  | 3188  | 25       | 127.52        |
| Johann Myburgh                | 2040  | 16       | 127.50        |
| Thami Tsolekile               | 765   | 6        | 127.50        |
| Sam Whiteman                  | 1020  | 8        | 127.50        |
| CK Nayudu                     | 3315  | 26       | 127.50        |
| Ramesh Saxena                 | 2167  | 17       | 127.47        |
| Kirti Azad                    | 2549  | 20       | 127.45        |
| Jack Nitschke                 | 1147  | 9        | 127.44        |
| Stan Squires                  | 4715  | 37       | 127.43        |
| Ted Dexter                    | 6499  | 51       | 127.43        |
| Majid Saeed                   | 892   | 7        | 127.42        |
| Tejinder Singh                | 892   | 7        | 127.42        |
| Peter Hearn                   | 892   | 7        | 127.42        |
| Rajeev Nayyar                 | 2548  | 20       | 127.40        |
| Callum Ferguson               | 2548  | 20       | 127.40        |
| David Boon                    | 8663  | 68       | 127.39        |
| Venkataraman Subramanya       | 1019  | 8        | 127.37        |
| Younis Ahmed                  | 5859  | 46       | 127.36        |
| Alan Hill                     | 2292  | 18       | 127.33        |
| Greville Stevens              | 1528  | 12       | 127.33        |
| Fahad-ul-Haq                  | 764   | 6        | 127.33        |
| Harry Parks                   | 5347  | 42       | 127.30        |
| Akhtar Sarfraz                | 1655  | 13       | 127.30        |
| Gordon Leggat                 | 891   | 7        | 127.28        |
| Charlie Hallows               | 7000  | 55       | 127.27        |
| Wendell Bossenger             | 1018  | 8        | 127.25        |
| Rory Hamilton-Brown           | 1018  | 8        | 127.25        |
| Bill Storer                   | 2163  | 17       | 127.23        |
| Len Baichan                   | 1654  | 13       | 127.23        |
| Peter Perrin                  | 8397  | 66       | 127.22        |
| Asif Hussain                  | 1145  | 9        | 127.22        |
| Rajin Saleh                   | 2290  | 18       | 127.22        |
| Albert Ward                   | 3689  | 29       | 127.20        |
| Andrew Hall                   | 1908  | 15       | 127.20        |
| Stan Nichols                  | 2544  | 20       | 127.20        |
| John Freeman                  | 3307  | 26       | 127.19        |
| Brijesh Patel                 | 4706  | 37       | 127.18        |
| Gus Logie                     | 1653  | 13       | 127.15        |
| Jim Love                      | 1653  | 13       | 127.15        |
| Micky Stewart                 | 6230  | 49       | 127.14        |
| Nigel Briers                  | 3941  | 31       | 127.12        |
| Allan Steel                   | 1017  | 8        | 127.12        |
| Jon Kent                      | 1144  | 9        | 127.11        |
| Vernon du Preez               | 1271  | 10       | 127.10        |
| Ravinder Chadha               | 1271  | 10       | 127.10        |
| Akash Lal                     | 1906  | 15       | 127.06        |
| Douglas Jardine               | 4446  | 35       | 127.02        |
| Fahad Iqbal                   | 1016  | 8        | 127.00        |
| Sam Billings                  | 762   | 6        | 127.00        |
| Robert Christiani             | 1524  | 12       | 127.00        |
| Barry Sinclair                | 762   | 6        | 127.00        |
| Hamish Marshall               | 3937  | 31       | 127.00        |
| Clarence Bruce                | 762   | 6        | 127.00        |
| Miles Howell                  | 1016  | 8        | 127.00        |
| John Lill                     | 1016  | 8        | 127.00        |
| Robin Bynoe                   | 762   | 6        | 127.00        |
| Umar Waheed                   | 762   | 6        | 127.00        |
| Sandun Weerakkody             | 1016  | 8        | 127.00        |
| Usman Arshad                  | 1650  | 13       | 126.92        |
| Ashen Silva                   | 1523  | 12       | 126.91        |
| Vaughn van Jaarsveld          | 2665  | 21       | 126.90        |
| Geoff Pullar                  | 5203  | 41       | 126.90        |
| Samuel Coe                    | 2411  | 19       | 126.89        |
| Gyanendra Pandey              | 1142  | 9        | 126.88        |
| Raheel Majeed                 | 1015  | 8        | 126.87        |
| Jeff Crowe                    | 2791  | 22       | 126.86        |
| Kadeer Ali                    | 761   | 6        | 126.83        |
| Laurie Fishlock               | 7101  | 56       | 126.80        |
| Bathiya Perera                | 1521  | 12       | 126.75        |
| Narsingh Deonarine            | 1394  | 11       | 126.72        |
| Dick Young                    | 1394  | 11       | 126.72        |
| Leo O'Brien                   | 887   | 7        | 126.71        |
| Sachin Rana                   | 887   | 7        | 126.71        |
| Adrian Barath                 | 887   | 7        | 126.71        |
| Ehsanul Haque                 | 1267  | 10       | 126.70        |
| Craig McMillan                | 2027  | 16       | 126.68        |
| Jim Parks                     | 6461  | 51       | 126.68        |
| Naeem Islam                   | 3547  | 28       | 126.67        |
| Michael Dalvi                 | 1520  | 12       | 126.66        |
| Colin Wells                   | 3039  | 24       | 126.62        |
| Frank Marchant                | 1013  | 8        | 126.62        |
| Geoffrey Whittaker            | 1013  | 8        | 126.62        |
| Hashan Tillakaratne           | 4685  | 37       | 126.62        |
| Floyd Reifer                  | 1646  | 13       | 126.61        |
| Alan Shipman                  | 1899  | 15       | 126.60        |
| Mark Cosgrove                 | 4557  | 36       | 126.58        |
| Lord Tennyson                 | 2405  | 19       | 126.57        |
| David Murray                  | 886   | 7        | 126.57        |
| Aruna Gunawardene             | 886   | 7        | 126.57        |
| Naved Yasin                   | 2025  | 16       | 126.56        |
| Sam Hain                      | 1392  | 11       | 126.54        |
| Freddie Calthorpe             | 1645  | 13       | 126.53        |
| Hilton Cartwright             | 759   | 6        | 126.50        |
| Reg Sinfield                  | 2024  | 16       | 126.50        |
| Percy Davis                   | 1265  | 10       | 126.50        |
| Reginald Lagden               | 759   | 6        | 126.50        |
| Derek Sealy                   | 1012  | 8        | 126.50        |
| John Stephenson               | 3162  | 25       | 126.48        |
| Farokh Engineer               | 1644  | 13       | 126.46        |
| Brian Davison                 | 6702  | 53       | 126.45        |
| Roy Pienaar                   | 2276  | 18       | 126.44        |
| Tom Lowry                     | 2276  | 18       | 126.44        |
| Nadeem Shahid                 | 1138  | 9        | 126.44        |
| Scott Styris                  | 1264  | 10       | 126.40        |
| Sanjeeva Ranatunga            | 1643  | 13       | 126.38        |
| Gubby Allen                   | 1390  | 11       | 126.36        |
| Fred Susskind                 | 1390  | 11       | 126.36        |
| Jack O'Connor                 | 9097  | 72       | 126.34        |
| Albert Relf                   | 3285  | 26       | 126.34        |
| Len Hopwood                   | 3411  | 27       | 126.33        |
| Wes Durston                   | 758   | 6        | 126.33        |
| Regis Chakabva                | 2021  | 16       | 126.31        |
| Len Darling                   | 2021  | 16       | 126.31        |
| Gary Ballance                 | 5178  | 41       | 126.29        |
| Forster Mutizwa               | 1768  | 14       | 126.28        |
| Shaylen Pillay                | 884   | 7        | 126.28        |
| Mike Roseberry                | 2652  | 21       | 126.28        |
| Sunil Ambris                  | 884   | 7        | 126.28        |
| Irvine Shillingford           | 1389  | 11       | 126.27        |
| Reeza Hendricks               | 2020  | 16       | 126.25        |
| Steve Small                   | 1010  | 8        | 126.25        |
| Saeed Bin Nasir               | 3282  | 26       | 126.23        |
| Giles White                   | 1136  | 9        | 126.22        |
| Kevin Sharp                   | 1767  | 14       | 126.21        |
| Henry Fotheringham            | 2650  | 21       | 126.19        |
| Venkataraman Sivaramakrishnan | 1388  | 11       | 126.18        |
| Neville Rogers                | 3533  | 28       | 126.17        |
| Graeme Wood                   | 4416  | 35       | 126.17        |
| Chetan Bist                   | 757   | 6        | 126.16        |
| Piyush Chawla                 | 757   | 6        | 126.16        |
| Frederick Holland             | 1514  | 12       | 126.16        |
| Eric Russell                  | 5172  | 41       | 126.14        |
| Jack Potter                   | 1766  | 14       | 126.14        |
| Laurie Eastman                | 883   | 7        | 126.14        |
| Pabasara Waduge               | 883   | 7        | 126.14        |
| Crowther Charlesworth         | 1892  | 15       | 126.13        |
| Bevan Bennett                 | 1009  | 8        | 126.12        |
| Hugh Morris                   | 6684  | 53       | 126.11        |
| Charlie Harris                | 3783  | 30       | 126.10        |
| Tiger Lance                   | 1387  | 11       | 126.09        |
| Craig Wishart                 | 1513  | 12       | 126.08        |
| Paul Romaines                 | 1639  | 13       | 126.07        |
| Graham Atkinson               | 3404  | 27       | 126.07        |
| Ian Dev Singh                 | 2143  | 17       | 126.05        |
| Usman Salahuddin              | 3025  | 24       | 126.04        |
| David Smith                   | 3529  | 28       | 126.03        |
| Charlie Oakes                 | 1764  | 14       | 126.00        |
| Morne van Wyk                 | 2646  | 21       | 126.00        |
| Norman Yardley                | 3402  | 27       | 126.00        |
| Neil McCorkell                | 2142  | 17       | 126.00        |
| Afzaal Ahmed                  | 756   | 6        | 126.00        |
| Ronald Giles                  | 1134  | 9        | 126.00        |
| Bernard Bosanquet             | 2646  | 21       | 126.00        |
| Karl Schneider                | 756   | 6        | 126.00        |
| Laddie Outschoorn             | 3149  | 25       | 125.96        |
| Neil Dexter                   | 2266  | 18       | 125.88        |
| Bhaskar Ghosh                 | 881   | 7        | 125.85        |
| Carl Cachopa                  | 881   | 7        | 125.85        |
| Rahul Singh                   | 881   | 7        | 125.85        |
| Ali Asad                      | 1510  | 12       | 125.83        |
| Vince Broderick               | 755   | 6        | 125.83        |
| Gehan Mendis                  | 5159  | 41       | 125.82        |
| Graeme Hole                   | 1384  | 11       | 125.81        |
| Dilshan Munaweera             | 1132  | 9        | 125.77        |
| Aamer Malik                   | 2767  | 22       | 125.77        |
| Nitin Saini                   | 1635  | 13       | 125.76        |
| Murray Vernon                 | 1006  | 8        | 125.75        |
| Harold Gibbons                | 5532  | 44       | 125.72        |
| Anaru Kitchen                 | 1257  | 10       | 125.70        |
| Geoff Edrich                  | 3268  | 26       | 125.69        |
| Mandar Phadke                 | 754   | 6        | 125.66        |
| George Gunn                   | 1382  | 11       | 125.63        |
| Rick McCosker                 | 3392  | 27       | 125.62        |
| Mike Procter                  | 6030  | 48       | 125.62        |
| Farhaan Behardien             | 1507  | 12       | 125.58        |
| Mark Lathwell                 | 1507  | 12       | 125.58        |
| Robin Weston                  | 879   | 7        | 125.57        |
| Ronald Bird                   | 879   | 7        | 125.57        |
| Bill Brockwell                | 2637  | 21       | 125.57        |
| Leonard Moon                  | 879   | 7        | 125.57        |
| Gordon Barker                 | 3767  | 30       | 125.56        |
| Craig Williams                | 1883  | 15       | 125.53        |
| Norman Armstrong              | 4519  | 36       | 125.52        |
| Sher Ali                      | 1004  | 8        | 125.50        |
| Leonard Oliver                | 753   | 6        | 125.50        |
| William Patterson             | 1255  | 10       | 125.50        |
| Kim Hughes                    | 3263  | 26       | 125.50        |
| Darren Robinson               | 2761  | 22       | 125.50        |
| Alec Swann                    | 1004  | 8        | 125.50        |
| Vishnu Solanki                | 753   | 6        | 125.50        |
| Mark Benson                   | 6023  | 48       | 125.47        |
| Keith Arthurton               | 2384  | 19       | 125.47        |
| Mohammad Kaif                 | 2384  | 19       | 125.47        |
| Chris Read                    | 3262  | 26       | 125.46        |
| Hugh Bartlett                 | 2007  | 16       | 125.43        |
| Chris Smith                   | 5894  | 47       | 125.40        |
| George Ulyett                 | 2257  | 18       | 125.38        |
| Satyajit Parab                | 2006  | 16       | 125.37        |
| Albert Hornby                 | 2006  | 16       | 125.37        |
| Grant Thomson                 | 1379  | 11       | 125.36        |
| Moin Khan                     | 1755  | 14       | 125.35        |
| Tim O'Brien                   | 1880  | 15       | 125.33        |
| Wajahatullah Wasti            | 1880  | 15       | 125.33        |
| Aaron Redmond                 | 1880  | 15       | 125.33        |
