+-----------------------------+-----------------------------+-------+
| Batter                      | Fielder                     | Count |
| Carlos Brathwaite           | Tom Bruce                   | 2     |
| Kane Williamson             | Babar Azam                  | 2     |
| Najibullah Zadaran          | Ryan Burl                   | 2     |
| Kusal Mendis                | Soumya Sarkar               | 2     |
| Tim Seifert                 | Aaron Finch                 | 2     |
| Mushfiqur Rahim             | Tissara Perera              | 2     |
| Tim Southee                 | Glenn Maxwell               | 2     |
| Shikhar Dhawan              | Tissara Perera              | 2     |
| Liton Das                   | Suresh Raina                | 2     |
| George Munsey               | Peter Chase                 | 2     |
| Max O'Dowd                  | Michael Leask               | 2     |
| Aaron Finch                 | Chris Jordan                | 2     |
| Hussain Talat               | Aaron Finch                 | 2     |
| Fahim Ashraf                | Andrew Tye                  | 2     |
| Shoaib Malik                | Aaron Finch                 | 2     |
| Fahim Ashraf                | Glenn Maxwell               | 2     |
| Evin Lewis                  | Liton Das                   | 2     |
| William Porterfield         | Aftab Alam                  | 2     |
| Glenn Maxwell               | Shoaib Malik                | 2     |
| Krunal Pandya               | Glenn Maxwell               | 2     |
| Mushfiqur Rahim             | Fabian Allen                | 2     |
| Keemo Paul                  | Ariful Haque                | 2     |
| Mohammad Usman              | Paras Khadka                | 2     |
| Asif Ali                    | David Miller                | 2     |
| Fakhar Zaman                | Janneman Malan              | 2     |
| Vijay Shankar               | Colin de Grandhomme         | 2     |
| Rohit Sharma                | Tim Southee                 | 2     |
| Khawar Ali                  | George Dockrell             | 2     |
| Paul Stirling               | Najibullah Zadaran          | 2     |
| Kevin O'Brien               | Karim Janat                 | 2     |
| Lorcan Tucker               | Mohammad Nabi               | 2     |
| Jason Holder                | Chris Jordan                | 2     |
| Joshua Rasu                 | Tony Ura                    | 2     |
| Aiden Markram               | Lasith Malinga              | 2     |
| George Agius                | Christian Munoz-Mills       | 2     |
| Sahir Naqash                | Saber Zakhil                | 2     |
| Joy Perera                  | Muslim Yar                  | 2     |
| Ashley Wright               | Eliot Miles                 | 2     |
| Josh Butler                 | Jonty Jenner                | 2     |
| Matthew Stokes              | Ben Stevens                 | 2     |
| Benjamin Ferbrache          | Jonty Jenner                | 2     |
| Oliver Newey                | Ben Stevens                 | 2     |
| Jaspreet Singh              | Jonty Jenner                | 2     |
| Craig Ervine                | Pieteer Seelaar             | 2     |
| Ziaul Hoque                 | Janaka Malinda              | 2     |
| Ravija Sandaruwan           | Muhammad Tanveer            | 2     |
| Muhammad Kashif             | Tamoor Sajjad               | 2     |
| Patrick Matuataava          | null                        | 2     |
| Dom Michael                 | null                        | 2     |
| Saumani Tiai                | null                        | 2     |
| Lega Siaka                  | null                        | 2     |
| Damien Ravu                 | null                        | 2     |
| Gyanendra Malla             | Aminuddin Ramly             | 2     |
| Aminuddin Ramly             | Sompal Kami                 | 2     |
| Dipendra Airee              | Anwar Arudin                | 2     |
| Anwar Arudin                | Janak Prakash               | 2     |
| Ben Cooper                  | Sultan Ahmed                | 2     |
| Virat Kohli                 | Kieron Pollard              | 2     |
| Rohit Sharma                | Shimron Hetmyer             | 2     |
| Pieteer Seelaar             | Darius D'Silva              | 2     |
| Timroy Allen                | Deunte Darrell              | 2     |
| Stephen Baard               | Reginald Nehonde            | 2     |
| Gerhard Erasmus             | Phemelo Silas               | 2     |
| Sacha de Alwis              | Allan Douglas               | 2     |
| Monank Patel                | Ravinderpal Singh           | 2     |
| Pieteer Seelaar             | Andrew Balbirnie            | 2     |
| Asif Ali                    | Dhanushka Gunathilleke      | 2     |
| Imad Wasim                  | Wanindu Hasaranga           | 2     |
| Zeeshan Maqsood             | Kevin O'Brien               | 2     |
| Tony Staal                  | Sompal Kami                 | 2     |
| Amarpreet Mehmi             | Nikolay Nankov              | 2     |
| Roelof van der Merwe        | Bernard Scholtz             | 2     |
| Andrew Balbirnie            | Rohan Mustafa               | 2     |
| Mark Watt                   | Stephen Baard               | 2     |
| Colin de Grandhomme         | James Vince                 | 2     |
| Max O'Dowd                  | Harry Tector                | 2     |
| Daryl Mitchell              | Chris Jordan                | 2     |
| Jonathan Bairstow           | Daryl Mitchell              | 2     |
| Dawid Malan                 | Martin Guptill              | 2     |
| Colin de Grandhomme         | Tom Banton                  | 2     |
| Imran Ismail                | Donnex Kansonkho            | 2     |
| Donnex Kansonkho            | Filipe Cossa                | 2     |
| Mohamed Abdulla             | Filipe Cossa                | 2     |
| Mohammad Nabi               | Jason Holder                | 2     |
| Rishabh Pant                | Jason Holder                | 2     |
| Kevin O'Brien               | Shimron Hetmyer             | 2     |
| Colin de Grandhomme         | Shivam Dubey                | 2     |
| Rohit Sharma                | Ross Taylor                 | 2     |
| Lokesh Rahul                | Mitchell Santner            | 2     |
| Sanju Samson                | Mitchell Santner            | 2     |
| Shivam Dubey                | Tom Bruce                   | 2     |
| David Miller                | Chris Jordan                | 2     |
| Heinrich Klaasen            | Ben Stokes                  | 2     |
| Ahmed Faiz                  | Nizakat Khan                | 2     |
| Faf du Plessis              | Kane Richardson             | 2     |
| Kamran Khan                 | Ibrahim Rizan               | 2     |
| Scott Browne                | Saber Zakhil                | 2     |
| Sabawoon Davizi             | Murid Ekrami                | 2     |
| Jonathan Bairstow           | Imad Wasim                  | 2     |
| Moeen Ali                   | Babar Azam                  | 2     |
| Dawid Malan                 | Marcus Stoinis              | 2     |
| Vasu Saini                  | Kevin D'Souza               | 2     |
| Prakash Mishra              | Ramesh Satheesan            | 2     |
| Fakhar Zaman                | Elton Chigumbura            | 2     |
| Babar Azam                  | Wesley Madhevere            | 2     |
| Wesley Madhevere            | Babar Azam                  | 2     |
| Brandon King                | Jimmy Neesham               | 2     |
| Dawid Malan                 | Kagiso Rabada               | 2     |
| Quinton de Kock             | Tom Curran                  | 2     |
| Aaron Finch                 | Hardik Pandya               | 2     |
| Sanju Samson                | Steven Smith                | 2     |
| Khushdil Shah               | Martin Guptill              | 2     |
| Martin Guptill              | Shadab Khan                 | 2     |
| Jon-Jon Smuts               | Babar Azam                  | 2     |
| Martin Guptill              | Ashton Agar                 | 2     |
| Matthew Wade                | Kane Williamson             | 2     |
| Josh Philippe               | Devon Conway                | 2     |
| Martin Guptill              | Marcus Stoinis              | 2     |
| Matthew Wade                | Martin Guptill              | 2     |
| Devon Conway                | Marcus Stoinis              | 2     |
| Rishabh Pant                | Jonathan Bairstow           | 2     |
| Jonathan Bairstow           | Surya Yadav                 | 2     |
| Mohammad Nabi               | Tarisai Musakanda           | 2     |
| Khushal Bhurtel             | Pieteer Seelaar             | 2     |
| Babar Azam                  | Ryan Burl                   | 2     |
| Kusal Perera                | Eoin Morgan                 | 2     |
| Nicolas Pooran              | David Miller                | 2     |
| Quinton de Kock             | Lendl Simmons               | 2     |
| Evin Lewis                  | Aiden Markram               | 2     |
| Samuel Stanislaus           | Nemish Mehta                | 2     |
| Aaron Finch                 | Fabian Allen                | 2     |
| Alex Carey                  | Lendl Simmons               | 2     |
| Chris Gayle                 | Jason Behrendorff           | 2     |
| Jos Buttler                 | Babar Azam                  | 2     |
| Craig Young                 | Wiaan Mulder                | 2     |
| Virk Ali                    | Sher Sahak                  | 2     |
| Mehedi Hasan                | Ashton Agar                 | 2     |
| Rahel Khan                  | Oliver Hald                 | 2     |
| Zappy Bimenyimana           | Samson Awiah                | 2     |
| Aravind Mohan               | Khalid Zahid                | 2     |
| Rahel Khan                  | Aravind Mohan               | 2     |
| Najjam Shahzad              | James Fitzgerald            | 2     |
| Abhijit Venkatesh           | Aniketh Pusthay             | 2     |
| Kevin O'Brien               | Milton Shumba               | 2     |
| Henry Nicholls              | Mushfiqur Rahim             | 2     |
| Wesley Madhevere            | Shane Getkate               | 2     |
| Chimezie Onwuzulike         | Dominic Wesonga             | 2     |
| Riazat Ali Shah             | Sesan Adedeji               | 2     |
| Ali Masood                  | Iftekar Jaman               | 2     |
| Gurbhej Singh               | Connor Smith                | 2     |
| Waseem Muhammad             | Gareth Delany               | 2     |
| Paul Stirling               | Mohammad Usman              | 2     |
| Stuart Hook                 | Neeraj Tiwari               | 2     |
| Arvind Kerai                | Abiola Ayannaike            | 2     |
| Samuel Conteh               | Chima Akachukwu             | 2     |
| Charith Asalanka            | Steven Smith                | 2     |
| Rohit Sharma                | Martin Guptill              | 2     |
| Rushabh Patel               | Riazat Ali Shah             | 2     |
| Abhik Patwa                 | Frank Akankwasa             | 2     |
| Fakhar Zaman                | Sharmarh Brooks             | 2     |
| Asif Ali                    | Rovman Powell               | 2     |
| Shane Getkate               | Ritwik Behera               | 2     |
| Neil Rock                   | Ritwik Behera               | 2     |
| Tom Banton                  | Jason Holder                | 2     |
| Gyanendra Malla             | Waseem Muhammad             | 2     |
| Waseem Muhammad             | Andrew Balbirnie            | 2     |
| Basil Hameed                | Mark Adair                  | 2     |
| Shane Getkate               | Ahmed Raza                  | 2     |
| Brandon King                | Surya Yadav                 | 2     |
| Adam Gilchrist              | Craig McMillan              | 1     |
| Michael Clarke              | Craig McMillan              | 1     |
| Brendon McCullum            | Ricky Ponting               | 1     |
| Mathew Sinclair             | Simon Katich                | 1     |
| Craig McMillan              | Mike Hussey                 | 1     |
| Chris Cairns                | Glenn McGrath               | 1     |
| Kyle Mills                  | Michael Kasprowicz          | 1     |
| Marcus Trescothick          | Mike Hussey                 | 1     |
| Geraint Jones               | Michael Kasprowicz          | 1     |
| Andrew Flintoff             | Andrew Symonds              | 1     |
| Kevin Pietersen             | Matthew Hayden              | 1     |
| Michael Vaughan             | Ricky Ponting               | 1     |
| Paul Collingwood            | Ricky Ponting               | 1     |
| Vikram Solanki              | Mike Hussey                 | 1     |
| Adam Gilchrist              | Kevin Pietersen             | 1     |
| Matthew Hayden              | Kevin Pietersen             | 1     |
| Andrew Symonds              | Kevin Pietersen             | 1     |
| Mike Hussey                 | Andrew Flintoff             | 1     |
| Ricky Ponting               | Vikram Solanki              | 1     |
| Damien Martyn               | Marcus Trescothick          | 1     |
| Brett Lee                   | Stephen Harmison            | 1     |
| Jason Gillespie             | Marcus Trescothick          | 1     |
| Shaun Pollock               | Stephen Fleming             | 1     |
| Stephen Fleming             | Albie Morkel                | 1     |
| Craig McMillan              | Andre Nel                   | 1     |
| James Hopes                 | Jacques Kallis              | 1     |
| Damien Martyn               | Herschelle Gibbs            | 1     |
| Ricky Ponting               | Shaun Pollock               | 1     |
| Herschelle Gibbs            | Stuart Clark                | 1     |
| Shaun Pollock               | Mick Lewis                  | 1     |
| Andrew Hall                 | Mike Hussey                 | 1     |
| Johan Botha                 | Simon Katich                | 1     |
| Garnett Kruger              | Damien Martyn               | 1     |
| Chris Gayle                 | Nathan Astle                | 1     |
| Daren Ganga                 | James Franklin              | 1     |
| Shiv Chanderpaul            | Hamish Marshall             | 1     |
| Denesh Ramdin               | Chris Cairns                | 1     |
| Stephen Fleming             | Deighton Butler             | 1     |
| Nathan Astle                | Shiv Chanderpaul            | 1     |
| Hamish Marshall             | Ian Bradshaw                | 1     |
| Shaun Pollock               | Stuart Clark                | 1     |
| Johannes van der Wath       | Michael Clarke              | 1     |
| Simon Katich                | Graeme Smith                | 1     |
| Brad Hogg                   | Graeme Smith                | 1     |
| Kumar Sangakkara            | Andrew Strauss              | 1     |
| Chamara Kapugedera          | Kevin Pietersen             | 1     |
| Kevin Pietersen             | Lasith Malinga              | 1     |
| Paul Collingwood            | Mahela Jayawardene          | 1     |
| Ian Bell                    | Younis Khan                 | 1     |
| Jamie Dalrymple             | Shoaib Akhtar               | 1     |
| Chris Read                  | Naved-ul-Hasan              | 1     |
| Shahid Afridi               | Michael Yardy               | 1     |
| Mohammad Yousuf             | Ian Bell                    | 1     |
| Nazmus Sadat                | Elton Chigumbura            | 1     |
| Nadif Chowdhury             | Gary Brent                  | 1     |
| Farhad Reza                 | Gary Brent                  | 1     |
| Mushfiqur Rahim             | Keith Dabengwa              | 1     |
| Mohammad Rafique            | Chamunorwa Chibhabha        | 1     |
| Stuart Matsikenyeri         | Shahriar Nafees             | 1     |
| Sean Williams               | Farhad Reza                 | 1     |
| Loots Bosman                | Sachin Tendulkar            | 1     |
| Herschelle Gibbs            | Suresh Raina                | 1     |
| Albie Morkel                | Dinesh Mongia               | 1     |
| Johannes van der Wath       | Suresh Raina                | 1     |
| Dinesh Mongia               | Charl Langeveldt            | 1     |
| Brendon McCullum            | Upul Tharanga               | 1     |
| James Marshall              | Chamara Silva               | 1     |
| Upul Tharanga               | Stephen Fleming             | 1     |
| Chamara Kapugedera          | James Franklin              | 1     |
| Mahela Jayawardene          | Jeetan Patel                | 1     |
| Marvan Atapattu             | Peter Fulton                | 1     |
| Malinga Bandara             | Ross Taylor                 | 1     |
