+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                               | Match                                                                   | StartDate  |
| A      | 7     | [Ali, Ahmed, Ahmed, Ahmed, Anjum, Abbas, Akbar]                                                     | Pakistan Television v Khan Research Laboratories                        | 2013-12-01 |
| S      | 7     | [Srikar Bharat, Sreekanth, Sai Krishna, Swaroop Kumar, Sivakumar, Srinivas, Sudhakar]               | Andhra v Goa                                                            | 2014-04-03 |
| S      | 7     | [Singh, Singh, Singh, Singh, Sharma, Sharma, Sidana]                                                | Punjab v Services                                                       | 2014-04-04 |
| A      | 7     | [Akmal, Ali, Ali, Altaf, Aftab, Ali, Ashraf]                                                        | Lahore Lions v Peshawar Panthers                                        | 2014-09-28 |
| O      | 7     | [Odhiambo, Obuya, Odhiambo, Ouma, Oluoch, Ochieng, Otieno]                                          | Kenya v United Arab Emirates                                            | 2015-07-15 |
| O      | 7     | [Odhiambo, Obuya, Ouma, Odhiambo, Oluoch, Ochieng, Otieno]                                          | Kenya v Netherlands                                                     | 2015-07-18 |
| S      | 7     | [Srikar Bharat, Sreekanth, Sai Krishna, Sudhakar, Sasikanth, Srinivas, Stephen]                     | Andhra v Madhya Pradesh                                                 | 2016-01-02 |
| S      | 7     | [Singh, Singh, Sidana, Singh, Singh, Singh, Singh]                                                  | Punjab v Jammu and Kashmir                                              | 2016-01-03 |
| S      | 7     | [Srikar Bharat, Sreekanth, Sai Krishna, Srinivas, Sasikanth, Sudhakar, Stephen]                     | Andhra v Delhi                                                          | 2016-01-03 |
| S      | 7     | [Singh, Singh, Sidana, Singh, Singh, Singh, Singh]                                                  | Punjab v Jharkhand                                                      | 2016-01-06 |
| S      | 7     | [Singh, Singh, Sidana, Singh, Singh, Singh, Singh]                                                  | Punjab v Kerala                                                         | 2016-01-09 |
| M      | 7     | [Moor, Maruma, Murray, Mashinge, Masakadza, Masakadza, Magarira]                                    | Zimbabwe v Free State                                                   | 2016-09-09 |
| M      | 7     | [Moor, Maruma, Masakadza, Mashinge, Mavuta, Masakadza, Munyede]                                     | Zimbabwe v Eastern Province                                             | 2016-09-30 |
| S      | 7     | [Saha, Stoinis, Singh, Singh, Sharma, Sharma, Sharma]                                               | Kings XI Punjab v Mumbai Indians                                        | 2017-04-20 |
| A      | 7     | [Akmal, Aslam, Akmal, Ali Dar, Asif, Ali, Adil]                                                     | Lahore Whites v Lahore Blues                                            | 2017-11-11 |
| A      | 7     | [Ali, Amin, Abbas, Ahmed, Alam, Asghar, Abbas]                                                      | Rawalpindi v Islamabad                                                  | 2017-11-12 |
| A      | 7     | [Akmal, Aslam, Akmal, Ali Dar, Asif, Asif, Ali]                                                     | Lahore Whites v Karachi Whites                                          | 2017-11-13 |
| A      | 7     | [Akmal, Aslam, Ali Dar, Akmal, Asif, Ali, Asif]                                                     | Lahore Whites v Faisalabad                                              | 2017-11-15 |
