+--------------------------------------------------------------------+-------+------+------+------+--------+
| Player                                                             | Count | Wins | Loss | Tied | Others |
| [G Gambhir, MS Dhoni, SR Tendulkar, V Sehwag]                      | 35    | 14   | 10   | 0    | 11     |
| [AN Cook, KP Pietersen, MJ Prior, PD Collingwood]                  | 35    | 15   | 7    | 0    | 13     |
| [D Elgar, F du Plessis, HM Amla, Q de Kock]                        | 35    | 20   | 9    | 0    | 6      |
| [CPS Chauhan, DB Vengsarkar, GR Viswanath, SM Gavaskar]            | 34    | 8    | 7    | 0    | 19     |
| [DB Vengsarkar, Kapil Dev, SM Gavaskar, Yashpal Sharma]            | 34    | 5    | 5    | 0    | 24     |
| [DB Vengsarkar, Kapil Dev, M Amarnath, RJ Shastri]                 | 34    | 4    | 8    | 0    | 22     |
| [DB Vengsarkar, Kapil Dev, M Azharuddin, RJ Shastri]               | 34    | 5    | 9    | 0    | 20     |
| [AR Border, DC Boon, MA Taylor, ME Waugh]                          | 34    | 16   | 5    | 0    | 13     |
| [DJ Cullinan, G Kirsten, JN Rhodes, WJ Cronje]                     | 34    | 16   | 7    | 0    | 11     |
| [DJ Cullinan, G Kirsten, SM Pollock, WJ Cronje]                    | 34    | 16   | 5    | 0    | 13     |
| [CL Cairns, DL Vettori, NJ Astle, SP Fleming]                      | 34    | 12   | 13   | 0    | 9      |
| [GC Smith, JH Kallis, MV Boucher, ND McKenzie]                     | 34    | 19   | 10   | 0    | 5      |
| [Asad Shafiq, Misbah-ul-Haq, Mohammad Hafeez, Younis Khan]         | 34    | 16   | 9    | 0    | 9      |
| [AM Rahane, CA Pujara, M Vijay, V Kohli]                           | 34    | 15   | 10   | 0    | 9      |
| [AN Cook, BA Stokes, JE Root, JM Bairstow]                         | 34    | 15   | 15   | 0    | 4      |
| [BJ Watling, HM Nicholls, KS Williamson, TWM Latham]               | 34    | 19   | 8    | 0    | 7      |
| [HM Nicholls, KS Williamson, LRPL Taylor, TWM Latham]              | 34    | 22   | 5    | 0    | 7      |
| [APE Knott, AW Greig, DL Amiss, KWR Fletcher]                      | 33    | 10   | 11   | 0    | 12     |
| [CH Lloyd, DL Haynes, HA Gomes, IVA Richards]                      | 33    | 17   | 2    | 0    | 14     |
| [Kapil Dev, M Amarnath, RJ Shastri, SM Gavaskar]                   | 33    | 4    | 8    | 1    | 20     |
| [AR Border, DM Jones, GR Marsh, SR Waugh]                          | 33    | 11   | 6    | 1    | 15     |
| [DJ Cullinan, G Kirsten, L Klusener, SM Pollock]                   | 33    | 15   | 4    | 0    | 14     |
| [MEK Hussey, MJ Clarke, RT Ponting, SM Katich]                     | 33    | 15   | 11   | 0    | 7      |
| [AJ Strauss, AN Cook, MJ Prior, PD Collingwood]                    | 33    | 14   | 7    | 0    | 12     |
| [Asad Shafiq, Misbah-ul-Haq, Sarfraz Ahmed, Younis Khan]           | 33    | 14   | 16   | 0    | 3      |
| [D Elgar, F du Plessis, Q de Kock, T Bavuma]                       | 33    | 15   | 13   | 0    | 5      |
| [DB Vengsarkar, M Amarnath, RJ Shastri, SM Gavaskar]               | 32    | 4    | 8    | 0    | 20     |
| [AL Logie, CG Greenidge, IVA Richards, RB Richardson]              | 32    | 17   | 3    | 0    | 12     |
| [DC Boon, DM Jones, GR Marsh, SR Waugh]                            | 32    | 10   | 6    | 1    | 15     |
| [AR Border, DC Boon, DM Jones, MA Taylor]                          | 32    | 16   | 3    | 0    | 13     |
| [DC Boon, MA Taylor, ME Waugh, MJ Slater]                          | 32    | 18   | 6    | 0    | 8      |
| [JL Langer, ME Waugh, MJ Slater, SR Waugh]                         | 32    | 21   | 6    | 0    | 5      |
| [G Kirsten, JH Kallis, ND McKenzie, SM Pollock]                    | 32    | 14   | 8    | 0    | 10     |
| [G Kirsten, MV Boucher, ND McKenzie, SM Pollock]                   | 32    | 14   | 8    | 0    | 10     |
| [DPMD Jayawardene, KC Sangakkara, MS Atapattu, TT Samaraweera]     | 32    | 18   | 7    | 0    | 7      |
| [GC Smith, JH Kallis, MV Boucher, SM Pollock]                      | 32    | 15   | 11   | 0    | 6      |
| [MEK Hussey, MJ Clarke, RT Ponting, SR Watson]                     | 32    | 15   | 10   | 0    | 7      |
| [AJ Strauss, AN Cook, IJL Trott, MJ Prior]                         | 32    | 16   | 9    | 0    | 7      |
| [Azhar Ali, Misbah-ul-Haq, Mohammad Hafeez, Younis Khan]           | 32    | 16   | 8    | 0    | 8      |
| [Asad Shafiq, Azhar Ali, Misbah-ul-Haq, Mohammad Hafeez]           | 32    | 16   | 9    | 0    | 7      |
| [AM Rahane, CA Pujara, RG Sharma, V Kohli]                         | 32    | 19   | 8    | 0    | 5      |
| [BJ Watling, HM Nicholls, LRPL Taylor, TWM Latham]                 | 32    | 20   | 6    | 0    | 6      |
| [CPS Chauhan, GR Viswanath, Kapil Dev, SM Gavaskar]                | 31    | 6    | 5    | 0    | 20     |
| [Kapil Dev, M Azharuddin, M Prabhakar, SR Tendulkar]               | 31    | 9    | 7    | 0    | 15     |
| [A Ranatunga, HP Tillakaratne, PA de Silva, ST Jayasuriya]         | 31    | 8    | 9    | 0    | 14     |
| [G Kirsten, JH Kallis, SM Pollock, WJ Cronje]                      | 31    | 15   | 7    | 0    | 9      |
| [ME Waugh, MJ Slater, RT Ponting, SR Waugh]                        | 31    | 20   | 7    | 0    | 4      |
| [CD McMillan, CL Cairns, DL Vettori, SP Fleming]                   | 31    | 12   | 10   | 0    | 9      |
| [HH Gibbs, JH Kallis, MV Boucher, ND McKenzie]                     | 31    | 14   | 10   | 0    | 7      |
| [DPMD Jayawardene, KC Sangakkara, ST Jayasuriya, TT Samaraweera]   | 31    | 18   | 6    | 0    | 7      |
| [GC Smith, HH Gibbs, JH Kallis, SM Pollock]                        | 31    | 14   | 11   | 0    | 6      |
| [Asad Shafiq, Azhar Ali, Mohammad Hafeez, Younis Khan]             | 31    | 15   | 9    | 0    | 7      |
| [Asad Shafiq, Azhar Ali, Sarfraz Ahmed, Younis Khan]               | 31    | 13   | 16   | 0    | 2      |
| [Asad Shafiq, Azhar Ali, Misbah-ul-Haq, Sarfraz Ahmed]             | 31    | 14   | 15   | 0    | 2      |
| [AM Rahane, CA Pujara, KL Rahul, V Kohli]                          | 31    | 18   | 6    | 0    | 7      |
| [D Elgar, F du Plessis, HM Amla, T Bavuma]                         | 31    | 14   | 10   | 0    | 7      |
| [Asif Iqbal, Majid Khan, Mushtaq Mohammad, Zaheer Abbas]           | 30    | 8    | 6    | 0    | 16     |
| [DI Gower, G Boycott, GA Gooch, IT Botham]                         | 30    | 12   | 8    | 0    | 10     |
| [CPS Chauhan, DB Vengsarkar, Kapil Dev, SM Gavaskar]               | 30    | 6    | 5    | 0    | 19     |
| [CPS Chauhan, DB Vengsarkar, GR Viswanath, Kapil Dev]              | 30    | 6    | 5    | 0    | 19     |
| [Javed Miandad, Mohsin Khan, Mudassar Nazar, Zaheer Abbas]         | 30    | 12   | 7    | 0    | 11     |
| [DJ Cullinan, G Kirsten, JH Kallis, L Klusener]                    | 30    | 13   | 4    | 0    | 13     |
| [DJ Cullinan, JH Kallis, L Klusener, SM Pollock]                   | 30    | 14   | 4    | 0    | 12     |
| [DPMD Jayawardene, MS Atapattu, ST Jayasuriya, TT Samaraweera]     | 30    | 18   | 6    | 0    | 6      |
| [AJ Strauss, KP Pietersen, MJ Prior, PD Collingwood]               | 30    | 13   | 6    | 0    | 11     |
| [AJ Strauss, AN Cook, IJL Trott, KP Pietersen]                     | 30    | 15   | 8    | 0    | 7      |
| [AJ Strauss, IJL Trott, KP Pietersen, MJ Prior]                    | 30    | 15   | 8    | 0    | 7      |
| [Azhar Ali, Misbah-ul-Haq, Sarfraz Ahmed, Younis Khan]             | 30    | 13   | 15   | 0    | 2      |
| [BJ Watling, HM Nicholls, KS Williamson, LRPL Taylor]              | 30    | 19   | 5    | 0    | 6      |
| [CG Greenidge, CH Lloyd, HA Gomes, IVA Richards]                   | 29    | 16   | 1    | 0    | 12     |
| [CL Hooper, DL Haynes, PJL Dujon, RB Richardson]                   | 29    | 11   | 8    | 0    | 10     |
| [AL Logie, CL Hooper, DL Haynes, PJL Dujon]                        | 29    | 13   | 6    | 0    | 10     |
| [DC Boon, ME Waugh, MJ Slater, SR Waugh]                           | 29    | 17   | 6    | 0    | 6      |
| [GS Blewett, MA Taylor, ME Waugh, SR Waugh]                        | 29    | 14   | 10   | 0    | 5      |
| [DJ Cullinan, L Klusener, MV Boucher, SM Pollock]                  | 29    | 14   | 3    | 0    | 12     |
| [CD McMillan, CL Cairns, NJ Astle, SP Fleming]                     | 29    | 11   | 12   | 0    | 6      |
| [DJ Cullinan, JH Kallis, L Klusener, MV Boucher]                   | 29    | 14   | 3    | 0    | 12     |
| [AC Gilchrist, JL Langer, ME Waugh, SR Waugh]                      | 29    | 23   | 3    | 0    | 3      |
| [AC Gilchrist, ME Waugh, RT Ponting, SR Waugh]                     | 29    | 23   | 3    | 0    | 3      |
| [HH Gibbs, MV Boucher, ND McKenzie, SM Pollock]                    | 29    | 14   | 8    | 0    | 7      |
| [KC Sangakkara, MS Atapattu, ST Jayasuriya, TT Samaraweera]        | 29    | 18   | 5    | 0    | 6      |
| [GC Smith, JA Rudolph, JH Kallis, MV Boucher]                      | 29    | 12   | 11   | 0    | 6      |
| [AC Gilchrist, MJ Clarke, ML Hayden, RT Ponting]                   | 29    | 22   | 3    | 0    | 4      |
| [G Gambhir, MS Dhoni, SR Tendulkar, VVS Laxman]                    | 29    | 11   | 8    | 0    | 10     |
| [DPMD Jayawardene, KC Sangakkara, NT Paranavitana, TM Dilshan]     | 29    | 7    | 8    | 0    | 14     |
| [Mahmudullah, Mushfiqur Rahim, Shakib Al Hasan, Tamim Iqbal]       | 29    | 6    | 19   | 0    | 4      |
| [AB de Villiers, AN Petersen, GC Smith, HM Amla]                   | 29    | 14   | 5    | 0    | 10     |
| [D Elgar, HM Amla, Q de Kock, T Bavuma]                            | 29    | 16   | 8    | 0    | 5      |
| [Imran Khan, Javed Miandad, Mudassar Nazar, Zaheer Abbas]          | 28    | 13   | 7    | 0    | 8      |
| [GR Viswanath, Kapil Dev, SM Gavaskar, Yashpal Sharma]             | 28    | 5    | 3    | 0    | 20     |
| [CG Greenidge, CH Lloyd, DL Haynes, HA Gomes]                      | 28    | 16   | 1    | 0    | 11     |
| [CH Lloyd, DL Haynes, IVA Richards, PJL Dujon]                     | 28    | 17   | 2    | 0    | 9      |
| [AL Logie, CL Hooper, PJL Dujon, RB Richardson]                    | 28    | 12   | 6    | 0    | 10     |
| [M Azharuddin, M Prabhakar, SR Tendulkar, SV Manjrekar]            | 28    | 6    | 8    | 0    | 14     |
| [A Ranatunga, AP Gurusinha, HP Tillakaratne, PA de Silva]          | 28    | 7    | 7    | 0    | 14     |
| [DC Boon, MA Taylor, MJ Slater, SR Waugh]                          | 28    | 17   | 5    | 0    | 6      |
| [AJ Stewart, GA Hick, GP Thorpe, MA Atherton]                      | 28    | 7    | 10   | 0    | 11     |
| [DJ Cullinan, G Kirsten, JH Kallis, WJ Cronje]                     | 28    | 14   | 5    | 0    | 9      |
| [DJ Cullinan, JH Kallis, SM Pollock, WJ Cronje]                    | 28    | 15   | 5    | 0    | 8      |
| [M Azharuddin, RS Dravid, SC Ganguly, SR Tendulkar]                | 28    | 5    | 10   | 0    | 13     |
| [DJ Cullinan, G Kirsten, L Klusener, MV Boucher]                   | 28    | 12   | 3    | 0    | 13     |
| [DPMD Jayawardene, HP Tillakaratne, MS Atapattu, ST Jayasuriya]    | 28    | 14   | 8    | 0    | 6      |
| [AC Gilchrist, DR Martyn, ML Hayden, SR Waugh]                     | 28    | 20   | 3    | 0    | 5      |
| [G Kirsten, HH Gibbs, JH Kallis, ND McKenzie]                      | 28    | 12   | 9    | 0    | 7      |
| [G Kirsten, HH Gibbs, MV Boucher, ND McKenzie]                     | 28    | 12   | 9    | 0    | 7      |
| [MA Butcher, ME Trescothick, MP Vaughan, N Hussain]                | 28    | 12   | 8    | 0    | 8      |
| [RS Dravid, V Sehwag, VVS Laxman, Yuvraj Singh]                    | 28    | 13   | 4    | 0    | 11     |
| [G Gambhir, MS Dhoni, RS Dravid, SR Tendulkar]                     | 28    | 10   | 8    | 0    | 10     |
| [BJ Haddin, MEK Hussey, RT Ponting, SM Katich]                     | 28    | 14   | 8    | 0    | 6      |
| [DPMD Jayawardene, KC Sangakkara, NT Paranavitana, TT Samaraweera] | 28    | 8    | 7    | 0    | 13     |
| [AD Mathews, DPMD Jayawardene, KC Sangakkara, TM Dilshan]          | 28    | 6    | 11   | 0    | 11     |
| [AJ Strauss, AN Cook, IJL Trott, IR Bell]                          | 28    | 13   | 8    | 0    | 7      |
| [AJ Strauss, IJL Trott, IR Bell, MJ Prior]                         | 28    | 13   | 8    | 0    | 7      |
| [BB McCullum, BJ Watling, KS Williamson, LRPL Taylor]              | 28    | 13   | 7    | 0    | 8      |
| [AB de Villiers, D Elgar, F du Plessis, HM Amla]                   | 28    | 16   | 8    | 0    | 4      |
| [CA Pujara, M Vijay, RA Jadeja, V Kohli]                           | 28    | 17   | 5    | 0    | 6      |
| [IM Chappell, IR Redpath, KD Walters, KR Stackpole]                | 27    | 10   | 8    | 0    | 9      |
| [DB Vengsarkar, GR Viswanath, SM Gavaskar, Yashpal Sharma]         | 27    | 5    | 3    | 0    | 19     |
