+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
| 155  | Graeme Smith             | 37.98   | 28.96  | 1.311 |
| 156  | David Miller             | 40.73   | 31.10  | 1.309 |
| 157  | Hashmatullah Shahidi     | 32.78   | 25.07  | 1.307 |
| 158  | Ajay Jadeja              | 37.47   | 28.67  | 1.307 |
| 159  | Haris Sohail             | 46.80   | 35.82  | 1.306 |
| 160  | Russel Arnold            | 35.26   | 27.01  | 1.305 |
| 161  | Calum MacLeod            | 35.13   | 26.92  | 1.305 |
| 162  | Mushfiqur Rahim          | 36.79   | 28.22  | 1.303 |
| 163  | Yasir Hameed             | 36.87   | 28.39  | 1.298 |
| 164  | Curtis Campher           | 38.80   | 29.88  | 1.298 |
| 165  | Clayton Lambert          | 33.91   | 26.13  | 1.297 |
| 166  | Aravinda de Silva        | 34.90   | 26.92  | 1.296 |
| 167  | Don Maxwell              | 27.66   | 21.35  | 1.295 |
| 168  | Matt Machan              | 33.36   | 25.77  | 1.294 |
| 169  | Brendan Taylor           | 35.55   | 27.58  | 1.288 |
| 170  | Kashif Daud              | 32.85   | 25.58  | 1.284 |
| 171  | Temba Bavuma             | 45.12   | 35.22  | 1.281 |
| 172  | Andy Flower              | 35.34   | 27.60  | 1.280 |
| 173  | Herschelle Gibbs         | 36.13   | 28.32  | 1.275 |
| 174  | Johannes Smit            | 33.23   | 26.07  | 1.274 |
| 175  | Jekon Edness             | 28.00   | 22.05  | 1.269 |
| 176  | Paul Collingwood         | 35.36   | 27.94  | 1.265 |
| 177  | Imran Khan               | 33.41   | 26.43  | 1.263 |
| 178  | Runako Morton            | 33.75   | 26.70  | 1.263 |
| 179  | Imad Wasim               | 42.86   | 33.93  | 1.263 |
| 180  | Shahriar Nafees          | 31.44   | 24.89  | 1.263 |
| 181  | Dilip Vengsarkar         | 34.73   | 27.53  | 1.261 |
| 182  | Rilee Rossouw            | 38.71   | 30.71  | 1.260 |
| 183  | Saleem Malik             | 32.88   | 26.10  | 1.259 |
| 184  | Eoin Morgan              | 39.69   | 31.57  | 1.256 |
| 185  | Adam Gilchrist           | 35.89   | 28.64  | 1.252 |
| 186  | Kedar Jadhav             | 42.09   | 33.66  | 1.250 |
| 187  | Avishka Fernando         | 37.03   | 29.63  | 1.249 |
| 188  | Daryll Cullinan          | 32.99   | 26.40  | 1.249 |
| 189  | Aaron Finch              | 41.05   | 32.90  | 1.247 |
| 190  | Lokesh Rahul             | 46.68   | 37.45  | 1.246 |
| 191  | Jatinder Singh           | 31.77   | 25.50  | 1.245 |
| 192  | Sanjay Manjrekar         | 33.23   | 26.72  | 1.243 |
| 193  | Najibullah Zadaran       | 31.13   | 25.04  | 1.242 |
| 194  | Salman Butt              | 36.82   | 29.64  | 1.241 |
| 195  | Andrew Strauss           | 35.63   | 28.70  | 1.241 |
| 196  | Sean Williams            | 35.16   | 28.32  | 1.241 |
| 197  | Mohammad Usman           | 31.50   | 25.39  | 1.240 |
| 198  | Scott Edwards            | 29.15   | 23.61  | 1.234 |
| 199  | Zane Green               | 28.20   | 22.93  | 1.229 |
| 200  | Mahela Jayawardene       | 33.37   | 27.15  | 1.229 |
| 201  | John Reid                | 27.52   | 22.40  | 1.228 |
| 202  | Gautam Gambhir           | 39.68   | 32.33  | 1.227 |
| 203  | Umar Akmal               | 34.34   | 28.07  | 1.223 |
| 204  | Jean-Paul Duminy         | 36.81   | 30.11  | 1.222 |
| 205  | Ijaz Ahmed               | 32.33   | 26.47  | 1.221 |
| 206  | Rameez Raja              | 32.09   | 26.35  | 1.217 |
| 207  | Mike Veletta             | 32.26   | 26.63  | 1.211 |
| 208  | Shoaib Khan              | 32.18   | 26.56  | 1.211 |
| 209  | Sikandar Raza            | 34.28   | 28.31  | 1.211 |
| 210  | George Worker            | 34.00   | 28.12  | 1.208 |
| 211  | Vriitya Aravind          | 29.05   | 24.04  | 1.208 |
| 212  | Grant Flower             | 33.52   | 27.75  | 1.208 |
| 213  | Steve Waugh              | 32.90   | 27.24  | 1.207 |
| 214  | Mahuru Dai               | 28.37   | 23.49  | 1.207 |
| 215  | Billy Stelling           | 30.00   | 24.91  | 1.204 |
| 216  | Ashwell Prince           | 35.10   | 29.20  | 1.202 |
| 217  | Sanath Jayasuriya        | 32.36   | 26.93  | 1.201 |
| 218  | Asad Vala                | 28.63   | 23.83  | 1.201 |
| 219  | Basit Ali                | 34.18   | 28.49  | 1.199 |
| 220  | Evin Lewis               | 36.94   | 30.82  | 1.198 |
| 221  | Upul Tharanga            | 33.74   | 28.15  | 1.198 |
| 222  | Aamer Sohail             | 31.86   | 26.59  | 1.198 |
| 223  | Andrew Balbirnie         | 32.89   | 27.47  | 1.197 |
| 224  | Basil Hameed             | 27.60   | 23.05  | 1.197 |
| 225  | David Gower              | 30.77   | 25.73  | 1.195 |
| 226  | Allan Border             | 30.62   | 25.62  | 1.195 |
| 227  | Mahmudullah              | 34.56   | 28.96  | 1.193 |
| 228  | Ryan Watson              | 30.83   | 25.85  | 1.192 |
| 229  | Adrian Kuiper            | 33.68   | 28.28  | 1.190 |
| 230  | Kyle Verreynne           | 41.22   | 34.73  | 1.186 |
| 231  | Shoaib Malik             | 34.55   | 29.12  | 1.186 |
| 232  | Stephen Fleming          | 32.40   | 27.31  | 1.186 |
| 233  | Sir Alastair Cook        | 36.40   | 30.71  | 1.185 |
| 234  | Yuvraj Singh             | 36.55   | 30.88  | 1.183 |
| 235  | Craig Ervine             | 32.60   | 27.56  | 1.183 |
| 236  | Ken Wadsworth            | 28.66   | 24.28  | 1.180 |
| 237  | Jacques Rudolph          | 35.57   | 30.13  | 1.180 |
| 238  | Stuart Williams          | 32.36   | 27.43  | 1.179 |
| 239  | David Hussey             | 32.65   | 27.70  | 1.178 |
