+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
| 2      | Munir Malik               | 5/128 | 4   | Pakistan v England         | 1962-07-05 | Headingley, Leeds                                               |
| 2      | Venkatappa Muddiah        | 2/40  | 11  | India v Pakistan           | 1960-12-16 | Modi Stadium, Kanpur                                            |
| 2      | Willie Rodriguez          | 3/51  | 50  | West Indies v India        | 1962-04-04 | Queen's Park Oval, Port of Spain                                |
| 2      | Clive Halse               | 3/50  | 19  | South Africa v Australia   | 1964-01-24 | Adelaide Oval, Adelaide                                         |
| 2      | Tom Puna                  | 2/40  | 18  | New Zealand v England      | 1966-03-04 | Carisbrook, Dunedin                                             |
| 2      | Subrata Guha              | 2/55  | 6   | India v Australia          | 1969-11-15 | Modi Stadium, Kanpur                                            |
| 2      | Umesh Kulkarni            | 2/37  | 7   | India v Australia          | 1968-01-19 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| 2      | Arthur Barrett            | 3/43  | 19  | West Indies v India        | 1971-03-06 | Queen's Park Oval, Port of Spain                                |
| 2      | Bryan Andrews             | 2/40  | 17  | New Zealand v Australia    | 1974-01-05 | Sydney Cricket Ground, Sydney                                   |
| 2      | Trevor Laughlin           | 5/101 | 35  | Australia v West Indies    | 1978-04-28 | Sabina Park, Kingston                                           |
| 2      | Ehteshamuddin             | 5/47  | 2   | Pakistan v India           | 1979-12-25 | Modi Stadium, Kanpur                                            |
| 2      | Suru Nayak                | 1/16  | 11  | India v England            | 1982-07-08 | Kennington Oval, Kennington                                     |
| 2      | Milton Small              | 3/40  | 3   | West Indies v England      | 1984-06-28 | Lord's Cricket Ground, St John's Wood                           |
| 2      | Murray Bennett            | 3/79  | 23  | Australia v West Indies    | 1984-12-30 | Sydney Cricket Ground, Sydney                                   |
| 2      | Les Taylor                | 2/34  | 1   | England v Australia        | 1985-08-29 | Kennington Oval, Kennington                                     |
| 2      | Kaushik Amalean           | 4/97  | 7   | Sri Lanka v Australia      | 1988-02-12 | Western Australia Cricket Association Ground, Perth             |
| 2      | Ranjith Madurasinghe      | 3/60  | 11  | Sri Lanka v India          | 1990-11-23 | Sector 16 Stadium, Chandigarh                                   |
| 2      | Vivek Razdan              | 5/79  | 6   | India v Pakistan           | 1989-12-09 | Jinnah Stadium, Sialkot                                         |
| 2      | Ian Allen                 | 2/69  | 4   | West Indies v England      | 1991-07-04 | Trent Bridge, Nottingham                                        |
| 2      | Mark Haslam               | 1/33  | 3   | New Zealand v Zimbabwe     | 1992-11-07 | Harare Sports Club, Harare                                      |
| 2      | Gavin Larsen              | 3/57  | 26  | New Zealand v South Africa | 1995-03-04 | Eden Park, Auckland                                             |
| 2      | Steven Jack               | 4/69  | 7   | South Africa v New Zealand | 1995-01-02 | Newlands, Cape Town                                             |
| 2      | Peter McIntyre            | 3/103 | 16  | Australia v India          | 1996-10-10 | Feroz Shah Kotla, Delhi                                         |
| 2      | Min Patel                 | 1/101 | 27  | England v India            | 1996-07-04 | Trent Bridge, Nottingham                                        |
| 2      | David Johnson             | 2/52  | 5   | India v South Africa       | 1996-12-26 | Kingsmead, Durban                                               |
| 2      | Mohammad Hussain          | 2/66  | 17  | Pakistan v Australia       | 1998-10-01 | Rawalpindi Cricket Stadium, Rawalpindi                          |
