+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Kane Williamson-131      | New Zealand v India        | 2010-11-04 | Sardar Patel Stadium, Motera, Ahmedabad                         |
| Asad Shafiq-131          | Pakistan v Sri Lanka       | 2015-06-17 | Galle International Stadium, Galle                              |
| Tom Hayward-130          | England v Australia        | 1899-07-17 | Old Trafford, Manchester                                        |
| Greg Matthews-130        | Australia v New Zealand    | 1986-02-21 | Basin Reserve, Wellington                                       |
| VVS Laxman-130           | India v West Indies        | 2002-05-10 | Antigua Recreation Ground, St John's                            |
| Eoin Morgan-130          | England v Pakistan         | 2010-07-29 | Trent Bridge, Nottingham                                        |
| Andy Flower-129          | Zimbabwe v Sri Lanka       | 1999-11-26 | Harare Sports Club, Harare                                      |
| Mohammad Ashraful-129    | Bangladesh v Sri Lanka     | 2007-07-03 | P Saravanamuttu Stadium, Colombo                                |
| Stanley Jackson-128      | England v Australia        | 1902-07-24 | Old Trafford, Manchester                                        |
| Nawab of Pataudi-128     | India v Australia          | 1964-10-02 | Nehru Stadium, Madras                                           |
| Paul Collingwood-128     | England v West Indies      | 2007-06-15 | Riverside Ground, Chester-le-Street                             |
| Marcus North-128         | Australia v India          | 2010-10-09 | M Chinnaswamy Stadium, Bangalore                                |
| Ben Stokes-128           | England v India            | 2016-11-09 | Saurashtra Cricket Association Stadium, Rajkot                  |
| Dhananjaya de Silva-127  | Sri Lanka v Zimbabwe       | 2016-11-06 | Harare Sports Club, Harare                                      |
| Mushfiqur Rahim-127      | Bangladesh v India         | 2017-02-09 | Rajiv Gandhi International Stadium, Uppal, Hyderabad            |
| Sikandar Raza-127        | Zimbabwe v Sri Lanka       | 2017-07-14 | R Premadasa Stadium, Colombo                                    |
| Les Ames-126             | England v West Indies      | 1935-03-14 | Sabina Park, Kingston                                           |
| Derek Randall-126        | England v India            | 1982-06-10 | Lord's Cricket Ground, St John's Wood                           |
| Dinesh Chandimal-126     | Sri Lanka v England        | 2016-05-27 | Emirates Riverside, Chester-le-Street                           |
| Maurice Foster-125       | West Indies v Australia    | 1973-02-16 | Sabina Park, Kingston                                           |
| Mark Boucher-125         | South Africa v Zimbabwe    | 1999-11-11 | Harare Sports Club, Harare                                      |
| Simon Katich-125         | Australia v India          | 2004-01-02 | Sydney Cricket Ground, Sydney                                   |
| Damien Martyn-124        | Australia v South Africa   | 2001-12-14 | Adelaide Oval, Adelaide                                         |
| Aubrey Faulkner-123      | South Africa v England     | 1910-01-01 | Old Wanderers, Johannesburg                                     |
| Frank Woolley-123        | England v Australia        | 1924-12-19 | Sydney Cricket Ground, Sydney                                   |
| Inzamam-ul-Haq-123       | Pakistan v West Indies     | 1993-05-01 | Antigua Recreation Ground, St John's                            |
| Xen Balaskas-122         | South Africa v New Zealand | 1932-03-04 | Basin Reserve, Wellington                                       |
| Ijaz Ahmed-122           | Pakistan v Australia       | 1988-09-23 | Iqbal Stadium, Faisalabad                                       |
| Shahid Afridi-122        | Pakistan v West Indies     | 2005-05-26 | Kensington Oval, Bridgetown                                     |
| Yuvraj Singh-122         | India v Pakistan           | 2006-01-29 | National Stadium, Karachi                                       |
| Percy Chapman-121        | England v Australia        | 1930-06-27 | Lord's Cricket Ground, St John's Wood                           |
| Mike Smith-121           | England v South Africa     | 1965-01-01 | Newlands, Cape Town                                             |
| Sir Clive Lloyd-121      | West Indies v Australia    | 1980-01-26 | Adelaide Oval, Adelaide                                         |
| David Houghton-121       | Zimbabwe v India           | 1992-10-18 | Harare Sports Club, Harare                                      |
| Asif Iqbal-120           | Pakistan v Australia       | 1977-01-14 | Sydney Cricket Ground, Sydney                                   |
| Neil McKenzie-120        | South Africa v New Zealand | 2000-11-30 | St George's Park, Port Elizabeth                                |
| Ben Stokes-120           | England v Australia        | 2013-12-13 | Western Australia Cricket Association Ground, Perth             |
| Johnny Douglas-119       | England v South Africa     | 1913-12-13 | Lord's, Durban                                                  |
| Peter Parfitt-119        | England v Pakistan         | 1962-07-05 | Headingley, Leeds                                               |
| Mark Burgess-119         | New Zealand v Pakistan     | 1969-11-08 | Dacca Stadium, Dacca                                            |
| Hashan Tillakaratne-119  | Sri Lanka v Australia      | 1995-12-08 | Western Australia Cricket Association Ground, Perth             |
| Graeme Hick-118          | England v West Indies      | 1995-08-10 | Trent Bridge, Nottingham                                        |
| Lance Klusener-118       | South Africa v Sri Lanka   | 2000-07-30 | Asgiriya Stadium, Kandy                                         |
| Mike Hussey-118          | Australia v Sri Lanka      | 2011-09-16 | Sinhalese Sports Club Ground, Colombo                           |
| Ravichandran Ashwin-118  | India v West Indies        | 2016-08-09 | Darren Sammy National Cricket Stadium, Gros Islet               |
| Kevin O'Brien-118        | Ireland v Pakistan         | 2018-05-11 | The Village, Malahide, Dublin                                   |
| Syd Gregory-117          | Australia v England        | 1899-08-14 | Kennington Oval, Kennington                                     |
| Jonty Rhodes-117         | South Africa v England     | 1998-06-18 | Lord's Cricket Ground, St John's Wood                           |
| Jacob Oram-117           | New Zealand v Bangladesh   | 2008-01-04 | University Oval, Dunedin                                        |
| Marcus North-117         | Australia v South Africa   | 2009-02-26 | Liberty Life Wanderers Stadium, Johannesburg                    |
| Marlon Samuels-117       | West Indies v England      | 2012-05-25 | Trent Bridge, Nottingham                                        |
| Tony Greig-116           | England v West Indies      | 1976-07-22 | Headingley, Leeds                                               |
| Virat Kohli-116          | India v Australia          | 2012-01-24 | Adelaide Oval, Adelaide                                         |
| Corey Anderson-116       | New Zealand v Bangladesh   | 2013-10-21 | Shere Bangla National Stadium, Mirpur                           |
| Mushfiqur Rahim-116      | Bangladesh v West Indies   | 2014-09-05 | Arnos Vale Playing Field, Kingstown                             |
| Shakib Al Hasan-116      | Bangladesh v Sri Lanka     | 2017-03-15 | P Sara Oval, Colombo                                            |
| Dattu Phadkar-115        | India v England            | 1951-12-30 | Eden Gardens, Calcutta                                          |
| Derek Randall-115        | England v Australia        | 1982-11-12 | Western Australia Cricket Association Ground, Perth             |
| Hashan Tillakaratne-115  | Sri Lanka v Pakistan       | 1995-09-15 | Iqbal Stadium, Faisalabad                                       |
| Mohammad Rizwan-115      | Pakistan v South Africa    | 2021-02-04 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| Basil D'Oliveira-114     | England v Pakistan         | 1969-02-28 | Dacca Stadium, Dacca                                            |
| Paul Sheahan-114         | Australia v India          | 1969-11-15 | Modi Stadium, Kanpur                                            |
| Greg Chappell-114        | Australia v England        | 1980-02-01 | Melbourne Cricket Ground, Melbourne                             |
| Sir Ian Botham-114       | England v India            | 1980-02-15 | Wankhede Stadium, Bombay                                        |
| Mohammad Ashraful-114    | Bangladesh v Sri Lanka     | 2001-09-06 | Sinhalese Sports Club Ground, Colombo                           |
| Travis Head-114          | Australia v New Zealand    | 2019-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Liton Das-114            | Bangladesh v Pakistan      | 2021-11-26 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| Garry Sobers-113         | West Indies v England      | 1968-02-08 | Sabina Park, Kingston                                           |
| Allan Border-113         | Australia v Pakistan       | 1988-09-23 | Iqbal Stadium, Faisalabad                                       |
| Jonathan Bairstow-113    | England v Australia        | 2022-01-05 | Sydney Cricket Ground, Sydney                                   |
| Don Bradman-112          | Australia v England        | 1928-12-29 | Melbourne Cricket Ground, Melbourne                             |
