+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Sir Ian Botham-59        | England v Australia        | 1979-01-06 | Sydney Cricket Ground, Sydney                                   |
| Arjuna Ranatunga-59      | Sri Lanka v India          | 1986-12-27 | Vidarbha Cricket Association Ground, Nagpur                     |
| Gus Logie-59             | West Indies v Pakistan     | 1990-12-06 | Gaddafi Stadium, Lahore                                         |
| Inzamam-ul-Haq-59        | Pakistan v Australia       | 1995-11-30 | Sydney Cricket Ground, Sydney                                   |
| Ramnaresh Sarwan-59      | West Indies v England      | 2000-08-17 | Headingley, Leeds                                               |
| VVS Laxman-59            | India v Australia          | 2001-03-11 | Eden Gardens, Calcutta                                          |
| Shiv Chanderpaul-59      | West Indies v India        | 2002-05-18 | Sabina Park, Kingston                                           |
| Boeta Dippenaar-59       | South Africa v Sri Lanka   | 2004-08-11 | Sinhalese Sports Club Ground, Colombo                           |
| Shoaib Malik-59          | Pakistan v Sri Lanka       | 2004-10-20 | Iqbal Stadium, Faisalabad                                       |
| AB de Villiers-59        | South Africa v West Indies | 2007-12-26 | Sahara Oval St George's, Port Elizabeth                         |
| BJ Watling-59            | New Zealand v Pakistan     | 2018-11-16 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| George Hirst-58          | England v Australia        | 1904-01-15 | Adelaide Oval, Adelaide                                         |
| Collis King-58           | West Indies v England      | 1976-07-22 | Headingley, Leeds                                               |
| Allan Border-58          | Australia v Pakistan       | 1980-02-27 | National Stadium, Karachi                                       |
| Duleep Mendis-58         | Sri Lanka v Pakistan       | 1986-03-22 | P Saravanamuttu Stadium, Colombo                                |
| Gus Logie-58             | West Indies v Pakistan     | 1990-11-15 | National Stadium, Karachi                                       |
| Greg Blewett-58          | Australia v West Indies    | 1999-03-05 | Queen's Park Oval, Port of Spain                                |
| Younis Khan-58           | Pakistan v England         | 2001-05-17 | Lord's Cricket Ground, St John's Wood                           |
| Frank Woolley-57         | England v South Africa     | 1912-07-08 | Headingley, Leeds                                               |
| Tony Greig-57            | England v Australia        | 1972-06-08 | Old Trafford, Manchester                                        |
| Sir Ian Botham-57        | England v West Indies      | 1980-06-05 | Trent Bridge, Nottingham                                        |
| Sandeep Patil-57         | India v New Zealand        | 1981-03-13 | Eden Park, Auckland                                             |
| Jeff Crowe-57            | New Zealand v Pakistan     | 1984-11-25 | Niaz Stadium, Hyderabad                                         |
| Alec Stewart-57          | England v Australia        | 2002-11-21 | Adelaide Oval, Adelaide                                         |
| Polly Umrigar-56         | India v West Indies        | 1962-04-04 | Queen's Park Oval, Port of Spain                                |
| Bert Sutcliffe-56        | New Zealand v India        | 1965-02-27 | Nehru Stadium, Madras                                           |
| Brian Booth-56           | Australia v West Indies    | 1965-03-03 | Sabina Park, Kingston                                           |
| VVS Laxman-56            | India v Sri Lanka          | 2008-07-23 | Sinhalese Sports Club Ground, Colombo                           |
| Dean Brownlie-56         | New Zealand v Australia    | 2011-12-09 | Bellerive Oval, Hobart                                          |
| Jermaine Blackwood-56    | West Indies v South Africa | 2015-01-02 | Sahara Park Newlands, Cape Town                                 |
| John Beck-55             | New Zealand v West Indies  | 1956-03-03 | Basin Reserve, Wellington                                       |
| Vic Pollard-55           | New Zealand v England      | 1965-06-17 | Lord's Cricket Ground, St John's Wood                           |
| Larry Gomes-55           | West Indies v Australia    | 1981-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Arjuna Ranatunga-55      | Sri Lanka v New Zealand    | 1995-03-11 | McLean Park, Napier                                             |
| Hashan Tillakaratne-55   | Sri Lanka v New Zealand    | 1997-03-07 | Carisbrook, Dunedin                                             |
| Mohammad Kaif-55         | India v Australia          | 2004-10-26 | Vidarbha Cricket Association Ground, Nagpur                     |
| Hanuma Vihari-55         | India v New Zealand        | 2020-02-29 | Hagley Oval, Christchurch                                       |
| Yasir Ali-55             | Bangladesh v New Zealand   | 2022-01-09 | Hagley Oval, Christchurch                                       |
| Imtiaz Ahmed-54          | Pakistan v India           | 1955-01-01 | Dacca Stadium, Dacca                                            |
| Tony Greig-54            | England v Australia        | 1972-06-22 | Lord's Cricket Ground, St John's Wood                           |
| Tony Greig-54            | England v Australia        | 1975-01-04 | Sydney Cricket Ground, Sydney                                   |
| Allan Border-54          | Australia v West Indies    | 1980-01-26 | Adelaide Oval, Adelaide                                         |
| Sir Ian Botham-54        | England v West Indies      | 1984-08-09 | Kennington Oval, Kennington                                     |
| Robin Smith-54           | England v West Indies      | 1991-06-06 | Headingley, Leeds                                               |
| Asif Mujtaba-54          | Pakistan v Zimbabwe        | 1993-12-09 | Rawalpindi Cricket Stadium, Rawalpindi                          |
| Guy Whittall-54          | Zimbabwe v New Zealand     | 1996-01-13 | Trust Bank Park, Hamilton                                       |
| Craig McMillan-54        | New Zealand v Australia    | 1997-11-20 | Western Australia Cricket Association Ground, Perth             |
| Sourav Ganguly-54        | India v Pakistan           | 1999-01-28 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| Marlon Samuels-54        | West Indies v Sri Lanka    | 2001-11-21 | Asgiriya Stadium, Kandy                                         |
| Hasan Raza-54            | Pakistan v Australia       | 2002-10-19 | Sharjah Cricket Association Stadium, Sharjah                    |
| Ian Bell-53              | England v Australia        | 2010-12-16 | Western Australia Cricket Association Ground, Perth             |
| Mahmudullah-53           | Bangladesh v West Indies   | 2014-09-13 | Beausejour Stadium, Gros Islet                                  |
| Roston Chase-53          | West Indies v India        | 2018-10-04 | Saurashtra Cricket Association Stadium, Rajkot                  |
| Temba Bavuma-53          | South Africa v Pakistan    | 2018-12-26 | SuperSport Park, Centurion                                      |
| George Ulyett-52         | England v Australia        | 1877-03-31 | Melbourne Cricket Ground, Melbourne                             |
| Somachandra de Silva-52  | Sri Lanka v New Zealand    | 1983-03-04 | Lancaster Park, Christchurch                                    |
| Robin Smith-52           | England v South Africa     | 1995-11-30 | New Wanderers Stadium, Johannesburg                             |
| Mohammad Azharuddin-52   | India v South Africa       | 1996-11-27 | Eden Gardens, Calcutta                                          |
| Chris Cairns-52          | New Zealand v England      | 1997-02-14 | Lancaster Park, Christchurch                                    |
| Alok Kapali-52           | Bangladesh v West Indies   | 2002-12-08 | Bangabandhu National Stadium, Dhaka                             |
| Andrew Symonds-52        | Australia v West Indies    | 2008-06-12 | Kensington Oval, Bridgetown                                     |
| Angelo Mathews-52        | Sri Lanka v Pakistan       | 2011-10-18 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Misbah-ul-Haq-52         | Pakistan v England         | 2016-07-22 | Emirates Old Trafford, Manchester                               |
| Temba Bavuma-52          | South Africa v England     | 2017-07-27 | The Kia Oval, Kennington                                        |
| Philip Hands-51          | South Africa v England     | 1914-02-14 | Lord's, Durban                                                  |
| Arjuna Ranatunga-51      | Sri Lanka v New Zealand    | 1984-03-09 | Asgiriya Stadium, Kandy                                         |
| Craig Wishart-51         | Zimbabwe v Sri Lanka       | 1996-09-11 | R Premadasa Stadium, Colombo                                    |
| VVS Laxman-51            | India v South Africa       | 1996-11-20 | Sardar Patel Stadium, Motera, Ahmedabad                         |
| Sourav Ganguly-51        | India v South Africa       | 2006-12-15 | Liberty Life Wanderers Stadium, Johannesburg                    |
| Niroshan Dickwella-51    | Sri Lanka v India          | 2017-08-03 | Sinhalese Sports Club Ground, Colombo                           |
| Babar Azam-51            | Pakistan v New Zealand     | 2018-12-03 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Niroshan Dickwella-51    | Sri Lanka v New Zealand    | 2019-08-22 | P Sara Oval, Colombo                                            |
| Bob Wyatt-50             | England v Australia        | 1937-01-29 | Adelaide Oval, Adelaide                                         |
| Bob Simpson-50           | Australia v England        | 1964-06-04 | Trent Bridge, Nottingham                                        |
| Gary Cosier-50           | Australia v Pakistan       | 1977-01-14 | Sydney Cricket Ground, Sydney                                   |
| Shiv Chanderpaul-50      | West Indies v England      | 1994-03-25 | Queen's Park Oval, Port of Spain                                |
| Grant Flower-49          | Zimbabwe v India           | 2002-02-28 | Feroz Shah Kotla, Delhi                                         |
| Asad Shafiq-49           | Pakistan v England         | 2016-07-14 | Lord's Cricket Ground, St John's Wood                           |
| Faf du Plessis-49        | South Africa v Sri Lanka   | 2018-07-12 | Galle International Stadium, Galle                              |
| Jermaine Blackwood-49    | West Indies v South Africa | 2021-06-18 | Darren Sammy National Cricket Stadium, Gros Islet               |
| Tom Campbell-48          | South Africa v England     | 1910-01-21 | Lord's, Durban                                                  |
| Nawab of Pataudi-48      | India v West Indies        | 1962-03-23 | Kensington Oval, Bridgetown                                     |
| Jonathan Bairstow-48     | England v Pakistan         | 2016-07-14 | Lord's Cricket Ground, St John's Wood                           |
| Ajinkya Rahane-48        | India v South Africa       | 2018-01-24 | Bidvest Wanderers Stadium, Johannesburg                         |
| Roy Kaia-48              | Zimbabwe v Pakistan        | 2021-04-29 | Harare Sports Club, Harare                                      |
| Monty Noble-47           | Australia v England        | 1902-07-03 | Bramall Lane, Sheffield                                         |
| Brian Close-47           | England v India            | 1967-07-13 | Edgbaston, Birmingham                                           |
| John Crawley-47          | England v Zimbabwe         | 1996-12-26 | Harare Sports Club, Harare                                      |
| Shiv Chanderpaul-47      | West Indies v India        | 2011-11-06 | Feroz Shah Kotla, Delhi                                         |
| Rohit Sharma-47          | India v South Africa       | 2018-01-13 | SuperSport Park, Centurion                                      |
| Abdul Kadir-46           | Pakistan v New Zealand     | 1965-01-22 | Basin Reserve, Wellington                                       |
| Ajit Wadekar-46          | India v Australia          | 1969-11-04 | Brabourne Stadium, Bombay                                       |
| Paul Sheahan-46          | Australia v South Africa   | 1970-03-05 | St George's Park, Port Elizabeth                                |
| Gary Cosier-46           | Australia v West Indies    | 1978-03-03 | Queen's Park Oval, Port of Spain                                |
| Sir Ian Botham-46        | England v Australia        | 1989-07-06 | Edgbaston, Birmingham                                           |
| Ryan Hinds-46            | West Indies v Pakistan     | 2002-02-07 | Sharjah Cricket Association Stadium, Sharjah                    |
| Daniel Vettori-46        | New Zealand v Australia    | 2010-03-19 | Basin Reserve, Wellington                                       |
| Frank de Caires-45       | West Indies v England      | 1930-02-01 | Queen's Park Oval, Port of Spain                                |
| Basil Butcher-45         | West Indies v Pakistan     | 1959-02-20 | National Stadium, Karachi                                       |
| Wallis Mathias-45        | Pakistan v West Indies     | 1959-03-06 | Dacca Stadium, Dacca                                            |
| Allan Border-45          | Australia v England        | 1979-01-06 | Sydney Cricket Ground, Sydney                                   |
| Sanath Jayasuriya-45     | Sri Lanka v Pakistan       | 1992-01-02 | Iqbal Stadium, Faisalabad                                       |
| Steve Waugh-45           | Australia v South Africa   | 1994-03-04 | New Wanderers Stadium, Johannesburg                             |
| Yuvraj Singh-45          | India v Pakistan           | 2006-01-29 | National Stadium, Karachi                                       |
| Asad Shafiq-45           | Pakistan v England         | 2012-02-03 | Dubai Sports City Stadium, Dubai                                |
| Mitchell Santner-45      | New Zealand v Australia    | 2015-11-27 | Adelaide Oval, Adelaide                                         |
| Cameron Green-45         | Australia v India          | 2020-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Jack Crawford-44         | England v South Africa     | 1906-01-02 | Old Wanderers, Johannesburg                                     |
| Dudley Nourse-44         | South Africa v Australia   | 1936-01-01 | Newlands, Cape Town                                             |
| Chandu Borde-44          | India v Pakistan           | 1960-12-30 | Eden Gardens, Calcutta                                          |
| Ranjan Madugalle-44      | Sri Lanka v New Zealand    | 1984-03-16 | Sinhalese Sports Club Ground, Colombo                           |
| Sanath Jayasuriya-44     | Sri Lanka v South Africa   | 1993-09-06 | Sinhalese Sports Club Ground, Colombo                           |
| Hashan Tillakaratne-44   | Sri Lanka v Pakistan       | 1995-09-08 | Arbab Niaz Stadium, Peshawar                                    |
| John Crawley-44          | England v Australia        | 1999-01-02 | Sydney Cricket Ground, Sydney                                   |
| Aftab Ahmed-44           | Bangladesh v South Africa  | 2008-02-22 | Shere Bangla National Stadium, Mirpur                           |
| Virat Kohli-44           | India v Australia          | 2012-01-13 | Western Australia Cricket Association Ground, Perth             |
| Shakib Al Hasan-44       | Bangladesh v Afghanistan   | 2019-09-05 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| Abdul Kardar-43          | Pakistan v India           | 1952-10-16 | Feroz Shah Kotla, Delhi                                         |
| Jim Parks-43             | England v West Indies      | 1966-06-02 | Old Trafford, Manchester                                        |
| Dav Whatmore-43          | Australia v Pakistan       | 1979-03-10 | Melbourne Cricket Ground, Melbourne                             |
| Jeff Dujon-43            | West Indies v Australia    | 1981-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Sourav Ganguly-43        | India v Australia          | 1999-12-10 | Adelaide Oval, Adelaide                                         |
| Brendon McCullum-43      | New Zealand v Sri Lanka    | 2006-12-15 | Basin Reserve, Wellington                                       |
| Prasanna Jayawardene-43  | Sri Lanka v England        | 2011-06-16 | The Rose Bowl, Southampton                                      |
| James Franklin-43        | New Zealand v India        | 2012-08-23 | Rajiv Gandhi International Stadium, Uppal, Hyderabad            |
| Freddie Brown-42         | England v South Africa     | 1951-07-05 | Old Trafford, Manchester                                        |
| Garry Sobers-42          | West Indies v Australia    | 1965-04-14 | Bourda, Georgetown                                              |
| Ray Illingworth-42       | England v Australia        | 1971-02-12 | Sydney Cricket Ground, Sydney                                   |
| Warren Lees-42           | New Zealand v India        | 1976-11-10 | Wankhede Stadium, Bombay                                        |
| Saleem Malik-42          | Pakistan v Sri Lanka       | 1986-03-14 | Colombo Cricket Club Ground, Colombo                            |
| Steve Waugh-42           | Australia v West Indies    | 1988-12-24 | Melbourne Cricket Ground, Melbourne                             |
| Ridley Jacobs-42         | West Indies v South Africa | 1998-11-26 | New Wanderers Stadium, Johannesburg                             |
| Joe Darling-41           | Australia v England        | 1905-06-15 | Lord's Cricket Ground, St John's Wood                           |
| Jock Cameron-41          | South Africa v England     | 1931-01-16 | Kingsmead, Durban                                               |
| Saleem Malik-41          | Pakistan v New Zealand     | 1985-01-25 | Eden Park, Auckland                                             |
| Arjuna Ranatunga-41      | Sri Lanka v Pakistan       | 1994-08-09 | P Saravanamuttu Stadium, Colombo                                |
| Shoaib Malik-41          | Pakistan v Australia       | 2004-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Jacques Rudolph-41       | South Africa v Australia   | 2006-03-16 | Sahara Park Newlands, Cape Town                                 |
| James Franklin-41        | New Zealand v India        | 2012-08-31 | M Chinnaswamy Stadium, Bangalore                                |
| Jonathan Bairstow-41     | England v New Zealand      | 2013-05-16 | Lord's Cricket Ground, St John's Wood                           |
| Rishabh Pant-41          | India v New Zealand        | 2021-06-18 | The Ageas Bowl, Southampton                                     |
| Narsingh Deonarine-40    | West Indies v Sri Lanka    | 2005-07-22 | Asgiriya Stadium, Kandy                                         |
| Kevin O'Brien-40         | Ireland v Pakistan         | 2018-05-11 | The Village, Malahide, Dublin                                   |
| BJ Watling-40            | New Zealand v Australia    | 2019-12-12 | Optus Stadium, Perth                                            |
| John Brown-39            | England v Australia        | 1895-01-11 | Adelaide Oval, Adelaide                                         |
| Len Darling-39           | Australia v England        | 1933-02-10 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Coimbatarao Gopinath-39  | India v Australia          | 1960-01-23 | Eden Gardens, Calcutta                                          |
| Jimmy Adams-39           | West Indies v Australia    | 1995-03-31 | Kensington Oval, Bridgetown                                     |
| Azhar Mahmood-39         | Pakistan v Australia       | 1999-11-26 | Western Australia Cricket Association Ground, Perth             |
| Manjural Islam-39        | Bangladesh v Zimbabwe      | 2004-02-26 | Queens Sports Club, Bulawayo                                    |
| Shoaib Malik-39          | Pakistan v Sri Lanka       | 2009-07-12 | P Sara Oval, Colombo                                            |
| Ashwell Prince-39        | South Africa v India       | 2010-12-26 | Sahara Stadium Kingsmead, Durban                                |
| Shimron Hetmyer-39       | West Indies v Bangladesh   | 2018-11-30 | Shere Bangla National Stadium, Mirpur                           |
| Denis Lindsay-38         | South Africa v England     | 1964-12-04 | Kingsmead, Durban                                               |
| Angelo Mathews-38        | Sri Lanka v South Africa   | 2011-12-15 | SuperSport Park, Centurion                                      |
| Mehedi Hasan-38          | Bangladesh v Sri Lanka     | 2018-02-08 | Shere Bangla National Stadium, Mirpur                           |
| Ken Viljoen-37           | South Africa v Australia   | 1931-12-18 | Sydney Cricket Ground, Sydney                                   |
| Brun Smith-37            | New Zealand v West Indies  | 1952-02-08 | Lancaster Park, Christchurch                                    |
| Gulabrai Ramchand-37     | India v Pakistan           | 1955-01-01 | Dacca Stadium, Dacca                                            |
| Hanumant Singh-37        | India v West Indies        | 1966-12-31 | Eden Gardens, Calcutta                                          |
| Tony Greig-37            | England v West Indies      | 1974-02-02 | Queen's Park Oval, Port of Spain                                |
| Matt Prior-37            | England v Australia        | 2009-08-07 | Headingley, Leeds                                               |
| Afsar Zazai-37           | Afghanistan v Zimbabwe     | 2021-03-02 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Abdul Kardar-36          | Pakistan v England         | 1954-08-12 | Kennington Oval, Kennington                                     |
| Mushtaq Mohammad-36      | Pakistan v Australia       | 1979-03-10 | Melbourne Cricket Ground, Melbourne                             |
| Ramnaresh Sarwan-36      | West Indies v England      | 2000-08-03 | Old Trafford, Manchester                                        |
| Younis Khan-36           | Pakistan v New Zealand     | 2001-03-27 | WestpacTrust Park, Hamilton                                     |
| Shiv Chanderpaul-36      | West Indies v Pakistan     | 2011-05-12 | Guyana National Stadium, Providence                             |
| Ajinkya Rahane-36        | India v Sri Lanka          | 2015-08-12 | Galle International Stadium, Galle                              |
| Stiaan van Zyl-36        | South Africa v India       | 2015-11-05 | Punjab Cricket Association IS Bindra Stadium, Mohali            |
| William Bruce-35         | Australia v England        | 1885-03-21 | Melbourne Cricket Ground, Melbourne                             |
| Doug Walters-35          | Australia v England        | 1966-01-07 | Sydney Cricket Ground, Sydney                                   |
| Shiv Chanderpaul-35      | West Indies v New Zealand  | 2002-06-21 | Kensington Oval, Bridgetown                                     |
| Mark Ramprakash-34       | England v West Indies      | 1998-02-27 | Bourda, Georgetown                                              |
| Nick Knight-34           | England v West Indies      | 2000-06-15 | Edgbaston, Birmingham                                           |
| Haris Sohail-34          | Pakistan v Sri Lanka       | 2017-09-28 | Sheikh Zayed Stadium, Abu Dhabi                                 |
| Shimron Hetmyer-34       | West Indies v India        | 2019-08-30 | Sabina Park, Kingston                                           |
| Arjuna Ranatunga-33      | Sri Lanka v Pakistan       | 1982-03-05 | National Stadium, Karachi                                       |
| John Lyons-32            | Australia v England        | 1888-08-30 | Old Trafford, Manchester                                        |
| Warwick Armstrong-32     | Australia v England        | 1909-07-26 | Old Trafford, Manchester                                        |
| Jack Ikin-32             | England v Australia        | 1946-11-29 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Bill Athey-32            | England v India            | 1986-06-19 | Headingley, Leeds                                               |
| Adam Parore-32           | New Zealand v Sri Lanka    | 1998-06-03 | Galle International Stadium, Galle                              |
| Billy Midwinter-31       | Australia v England        | 1877-03-31 | Melbourne Cricket Ground, Melbourne                             |
| Henry Scott-31           | Australia v England        | 1884-07-21 | Lord's Cricket Ground, St John's Wood                           |
| Mushfiqur Rahim-31       | Bangladesh v Australia     | 2017-09-04 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| Ashok Malhotra-30        | India v West Indies        | 1983-12-10 | Eden Gardens, Calcutta                                          |
| Greg Blewett-30          | Australia v West Indies    | 1999-03-13 | Sabina Park, Kingston                                           |
| Shakib Al Hasan-30       | Bangladesh v India         | 2007-05-25 | Shere Bangla National Stadium, Mirpur                           |
| Sir Ian Botham-29        | England v India            | 1981-11-27 | Wankhede Stadium, Bombay                                        |
| Narsingh Deonarine-29    | West Indies v Sri Lanka    | 2005-07-22 | Asgiriya Stadium, Kandy                                         |
| Abdul Kardar-28          | Pakistan v England         | 1954-07-01 | Trent Bridge, Nottingham                                        |
| Gulabrai Ramchand-28     | India v Australia          | 1956-10-19 | Nehru Stadium, Madras                                           |
| Peter Parfitt-28         | England v Australia        | 1963-01-11 | Sydney Cricket Ground, Sydney                                   |
| Raqibul Hasan-28         | Bangladesh v South Africa  | 2008-11-26 | SuperSport Park, Centurion                                      |
| Elton Chigumbura-28      | Zimbabwe v Pakistan        | 2013-09-03 | Harare Sports Club, Harare                                      |
| Trevor Bailey-27         | England v Australia        | 1958-12-05 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Chandu Borde-27          | India v West Indies        | 1962-02-16 | Queen's Park Oval, Port of Spain                                |
| Rahul Dravid-27          | India v South Africa       | 1996-12-26 | Kingsmead, Durban                                               |
| Arthur Jones-26          | England v Australia        | 1909-06-14 | Lord's Cricket Ground, St John's Wood                           |
| Vijay Merchant-26        | India v England            | 1934-02-10 | Madras Cricket Club Ground, Chepauk, Madras                     |
| Nick Knight-26           | England v West Indies      | 2000-06-15 | Edgbaston, Birmingham                                           |
| Harry Trott-25           | Australia v England        | 1890-08-11 | Kennington Oval, Kennington                                     |
| Ron Hamence-25           | Australia v India          | 1947-12-12 | Sydney Cricket Ground, Sydney                                   |
| Zubayr Hamza-25          | South Africa v New Zealand | 2022-02-17 | Hagley Oval, Christchurch                                       |
| Andrew Flintoff-24       | England v West Indies      | 2009-02-04 | Sabina Park, Kingston                                           |
| Dhananjaya de Silva-24   | Sri Lanka v Australia      | 2016-07-26 | Pallekele Cricket Stadium, Pallekele                            |
| VVS Laxman-23            | India v New Zealand        | 2002-12-19 | Westpac Park, Hamilton                                          |
| Umar Amin-23             | Pakistan v England         | 2010-08-06 | Edgbaston, Birmingham                                           |
| Malcolm Waller-23        | Zimbabwe v New Zealand     | 2012-01-26 | McLean Park, Napier                                             |
| Craig Ervine-23          | Zimbabwe v West Indies     | 2013-03-12 | Kensington Oval, Bridgetown                                     |
| Kyle Jarvis-23           | Zimbabwe v South Africa    | 2017-12-26 | St George's Park, Port Elizabeth                                |
| John Reid-21             | New Zealand v England      | 1963-02-23 | Eden Park, Auckland                                             |
| Temba Bavuma-21          | South Africa v England     | 2017-07-06 | Lord's Cricket Ground, St John's Wood                           |
| Ricky Ponting-20         | Australia v England        | 1997-08-21 | The Foster's Oval, Kennington                                   |
| Stuart Carlisle-20       | Zimbabwe v New Zealand     | 2005-08-07 | Harare Sports Club, Harare                                      |
| Sir Ian Botham-19        | England v New Zealand      | 1978-02-10 | Basin Reserve, Wellington                                       |
| Ridley Jacobs-19         | West Indies v Australia    | 1999-03-05 | Queen's Park Oval, Port of Spain                                |
| Reginald Foster-18       | England v Australia        | 1904-03-05 | Melbourne Cricket Ground, Melbourne                             |
| Bert Sutcliffe-18        | New Zealand v England      | 1958-06-19 | Lord's Cricket Ground, St John's Wood                           |
| Charlie Llewellyn-17     | South Africa v Australia   | 1910-12-31 | Melbourne Cricket Ground, Melbourne                             |
| Shakib Al Hasan-16       | Bangladesh v Sri Lanka     | 2007-06-25 | Sinhalese Sports Club Ground, Colombo                           |
| Jock Cameron-11          | South Africa v Australia   | 1932-02-12 | Melbourne Cricket Ground, Melbourne                             |
+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
