+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Brian Close                  | 536     | 22650 | 811     | 102 | 198 | 31.94   | 33       | 110     | 0     | -          | 4       | 0         |
| Vic Wilson                   | 477     | 20548 | 724     | 75  | 230 | 31.66   | 29       | 114     | 0     | -          | 0       | 0         |
| Bryan Stott                  | 187     | 9168  | 309     | 19  | 186 | 31.61   | 17       | 46      | 0     | -          | 0       | 0         |
| Richard Lumb                 | 239     | 11525 | 395     | 30  | 165 | 31.57   | 22       | 66      | 0     | -          | 0       | 0         |
| Greg Blewett                 | 12      | 655   | 23      | 2   | 190 | 31.19   | 1        | 2       | 1251  | 52.35      | 0       | 0         |
| Jim Love                     | 247     | 10263 | 388     | 58  | 170 | 31.10   | 13       | 56      | 334   | 3072.75    | 0       | 0         |
| Iain Wardlaw                 | 3       | 31    | 3       | 2   | 17  | 31.00   | 0        | 0       | 53    | 58.49      | 0       | 0         |
| Richard Blakey               | 339     | 14150 | 541     | 84  | 223 | 30.96   | 12       | 84      | 13948 | 101.44     | 0       | 0         |
| John Richardson              | 7       | 308   | 12      | 2   | 61  | 30.80   | 0        | 2       | 0     | -          | 0       | 0         |
| Simon Kellett                | 86      | 4204  | 147     | 10  | 125 | 30.68   | 2        | 29      | 1924  | 218.50     | 0       | 0         |
| Richard Pyrah                | 49      | 1621  | 61      | 8   | 134 | 30.58   | 3        | 8       | 2823  | 57.42      | 0       | 0         |
| Jack Leaning                 | 68      | 2955  | 108     | 11  | 123 | 30.46   | 4        | 16      | 7046  | 41.93      | 1       | 0         |
| Bradley Parker               | 44      | 1839  | 71      | 10  | 138 | 30.14   | 2        | 9       | 1676  | 109.72     | 0       | 0         |
| Roy Kilner                   | 365     | 13018 | 478     | 46  | 206 | 30.13   | 15       | 75      | 1     | 1301800.00 | 0       | 0         |
| Gerard Brophy                | 73      | 3012  | 112     | 12  | 177 | 30.12   | 3        | 15      | 5789  | 52.02      | 2       | 0         |
| Wilfred Rhodes               | 883     | 31098 | 1196    | 161 | 267 | 30.04   | 46       | 155     | 0     | -          | 0       | 0         |
| Will Rhodes                  | 15      | 689   | 25      | 2   | 95  | 29.95   | 0        | 3       | 1613  | 42.71      | 5       | 0         |
| John Brown                   | 345     | 15709 | 567     | 41  | 311 | 29.86   | 23       | 68      | 0     | -          | 0       | 0         |
| Kevin Sharp                  | 195     | 8426  | 320     | 37  | 181 | 29.77   | 11       | 39      | 451   | 1868.29    | 0       | 0         |
| Philip Sharpe                | 411     | 17685 | 666     | 71  | 203 | 29.72   | 23       | 85      | 0     | -          | 2       | 0         |
| George Hill                  | 23      | 1025  | 37      | 2   | 151 | 29.28   | 2        | 2       | 2347  | 43.67      | 0       | 0         |
| Brian Bolus                  | 107     | 4712  | 179     | 18  | 146 | 29.26   | 7        | 22      | 0     | -          | 14      | 0         |
| Charles Midgley              | 4       | 115   | 6       | 2   | 59  | 28.75   | 0        | 1       | 0     | -          | 0       | 0         |
| Doug Padgett                 | 487     | 20306 | 774     | 63  | 161 | 28.55   | 29       | 96      | 0     | -          | 0       | 0         |
| Norman Horner                | 2       | 114   | 4       | 0   | 43  | 28.50   | 0        | 0       | 0     | -          | 7       | 0         |
| Tim Bresnan                  | 163     | 5594  | 232     | 35  | 169 | 28.39   | 5        | 30      | 11798 | 47.41      | 7       | 0         |
| Andy Gray                    | 18      | 649   | 26      | 3   | 104 | 28.21   | 1        | 2       | 1310  | 49.54      | 1       | 0         |
