+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Steve Oldham                 | 59      | 212   | 39      | 18  | 50  | 10.09   | 0        | 1       | 0     | -          | 2       | 0         |
| H Hurt                       | 1       | 10    | 1       | 0   | 10  | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Motley                | 2       | 10    | 2       | 1   | 8   | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Gifkins              | 2       | 30    | 3       | 0   | 23  | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Frank Sugg                   | 8       | 80    | 12      | 4   | 13  | 10.00   | 0        | 0       | 0     | -          | 29      | 0         |
| John Elms                    | 1       | 20    | 2       | 0   | 20  | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Alfred Legard                | 4       | 50    | 5       | 0   | 15  | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Stephen Silvester            | 6       | 30    | 7       | 4   | 14  | 10.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Lesroy Weekes                | 2       | 20    | 2       | 0   | 10  | 10.00   | 0        | 0       | 23    | 86.95      | 0       | 0         |
| Kraigg Brathwaite            | 2       | 40    | 4       | 0   | 18  | 10.00   | 0        | 0       | 158   | 25.31      | 0       | 0         |
| Edwin Dawson                 | 16      | 256   | 27      | 1   | 30  | 9.84    | 0        | 0       | 0     | -          | 0       | 0         |
| Andrew Crossland             | 5       | 88    | 10      | 1   | 28  | 9.77    | 0        | 0       | 0     | -          | 0       | 0         |
| Joe Ambler                   | 4       | 68    | 7       | 0   | 25  | 9.71    | 0        | 0       | 0     | -          | 0       | 0         |
| Joe Denton                   | 15      | 222   | 24      | 1   | 59  | 9.65    | 0        | 1       | 0     | -          | 0       | 0         |
| Paul Booth                   | 23      | 193   | 29      | 9   | 33  | 9.65    | 0        | 0       | 0     | -          | 2       | 0         |
| Arthur Robinson              | 84      | 365   | 69      | 31  | 30  | 9.60    | 0        | 0       | 0     | -          | 0       | 0         |
| Frederick Barlow             | 3       | 48    | 6       | 1   | 22  | 9.60    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Foster                | 13      | 134   | 19      | 5   | 25  | 9.57    | 0        | 0       | 0     | -          | 0       | 0         |
| Tino Best                    | 9       | 86    | 9       | 0   | 40  | 9.55    | 0        | 0       | 173   | 49.71      | 0       | 0         |
| Roland Leather               | 1       | 19    | 2       | 0   | 14  | 9.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Michael Fearnley             | 3       | 19    | 4       | 2   | 11  | 9.50    | 0        | 0       | 0     | -          | 0       | 0         |
| John Smith                   | 2       | 28    | 3       | 0   | 16  | 9.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Robert Wright                | 2       | 28    | 4       | 1   | 22  | 9.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Brian Bainbridge             | 5       | 93    | 10      | 0   | 24  | 9.30    | 0        | 0       | 0     | -          | 0       | 0         |
| William Halton               | 6       | 83    | 12      | 3   | 19  | 9.22    | 0        | 0       | 0     | -          | 0       | 0         |
| Ashley Walker                | 9       | 138   | 16      | 1   | 26  | 9.20    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Brownhill             | 14      | 202   | 26      | 4   | 25  | 9.18    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Robinson              | 3       | 55    | 6       | 0   | 33  | 9.16    | 0        | 0       | 0     | -          | 0       | 0         |
| Gideon Holgate               | 12      | 174   | 19      | 0   | 38  | 9.15    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Wright                 | 12      | 164   | 19      | 1   | 43  | 9.11    | 0        | 0       | 0     | -          | 0       | 0         |
| John West                    | 38      | 461   | 64      | 13  | 41  | 9.03    | 0        | 0       | 0     | -          | 0       | 0         |
| Edward Butterfield           | 1       | 18    | 2       | 0   | 10  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Seth Waring                  | 1       | 9     | 1       | 0   | 9   | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Walter Sugg                  | 1       | 9     | 1       | 0   | 9   | 9.00    | 0        | 0       | 0     | -          | 7       | 0         |
| Henry Clegg                  | 6       | 63    | 8       | 1   | 25  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Lewis Wrathmell              | 1       | 18    | 2       | 0   | 17  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Harry Riley                  | 4       | 36    | 5       | 1   | 25  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Jack Brumfitt                | 1       | 9     | 1       | 0   | 9   | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Derek Blackburn              | 1       | 18    | 2       | 0   | 15  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Alan Hampshire               | 1       | 18    | 2       | 0   | 17  | 9.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Gareth Batty                 | 1       | 18    | 2       | 0   | 18  | 9.00    | 0        | 0       | 0     | -          | 9       | 0         |
| Richard Wilkinson            | 1       | 9     | 1       | 0   | 9   | 9.00    | 0        | 0       | 37    | 24.32      | 0       | 0         |
| Bill Bowes                   | 301     | 1254  | 257     | 117 | 43  | 8.95    | 0        | 0       | 0     | -          | 5       | 0         |
| Thomas Walker                | 14      | 179   | 22      | 2   | 30  | 8.95    | 0        | 0       | 0     | -          | 0       | 0         |
| John Taylor                  | 9       | 107   | 13      | 1   | 44  | 8.91    | 0        | 0       | 0     | -          | 0       | 0         |
| Simon Dennis                 | 67      | 338   | 62      | 24  | 53  | 8.89    | 0        | 1       | 33    | 1024.24    | 1       | 0         |
| Henry Hall                   | 4       | 62    | 7       | 0   | 21  | 8.85    | 0        | 0       | 0     | -          | 0       | 0         |
| Harry Crick                  | 8       | 88    | 10      | 0   | 20  | 8.80    | 0        | 0       | 0     | -          | 0       | 0         |
| Joe Lister                   | 2       | 35    | 4       | 0   | 16  | 8.75    | 0        | 0       | 0     | -          | 1       | 0         |
| Ronald Stanyforth            | 3       | 26    | 3       | 0   | 10  | 8.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Allen Hill                   | 139     | 1695  | 222     | 25  | 49  | 8.60    | 0        | 0       | 0     | -          | 0       | 0         |
| Bob Appleyard                | 133     | 679   | 122     | 43  | 63  | 8.59    | 0        | 1       | 0     | -          | 0       | 0         |
| Edmund Maude                 | 2       | 17    | 2       | 0   | 16  | 8.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Harry Hartington             | 10      | 51    | 10      | 4   | 16  | 8.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Horace Brearley              | 1       | 17    | 2       | 0   | 9   | 8.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Jack van Geloven             | 3       | 17    | 3       | 1   | 16  | 8.50    | 0        | 0       | 0     | -          | 6       | 0         |
| Michael Bore                 | 74      | 481   | 78      | 21  | 37  | 8.43    | 0        | 0       | 0     | -          | 3       | 0         |
| Haven Kaye                   | 8       | 117   | 14      | 0   | 33  | 8.35    | 0        | 0       | 0     | -          | 0       | 0         |
| Nick Thornicroft             | 7       | 50    | 10      | 4   | 30  | 8.33    | 0        | 0       | 60    | 83.33      | 0       | 0         |
| Stephen Harmison             | 3       | 25    | 3       | 0   | 23  | 8.33    | 0        | 0       | 32    | 78.12      | 1       | 0         |
| Josh Poysden                 | 3       | 25    | 5       | 2   | 20  | 8.33    | 0        | 0       | 95    | 26.31      | 0       | 0         |
| George Armitage              | 6       | 66    | 9       | 1   | 14  | 8.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Philip Hodgson               | 13      | 33    | 6       | 2   | 8   | 8.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Matthew Burrows              | 6       | 82    | 10      | 0   | 23  | 8.20    | 0        | 0       | 0     | -          | 0       | 0         |
| John Hall                    | 4       | 49    | 7       | 1   | 28  | 8.16    | 0        | 0       | 0     | -          | 0       | 0         |
| Allan Shackleton             | 5       | 49    | 6       | 0   | 25  | 8.16    | 0        | 0       | 0     | -          | 0       | 0         |
| John Rawlin                  | 27      | 274   | 36      | 2   | 31  | 8.05    | 0        | 0       | 0     | -          | 22      | 0         |
| Emanuel Scott                | 1       | 8     | 1       | 0   | 8   | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Samuel Crossland             | 4       | 32    | 6       | 2   | 20  | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Parton                  | 1       | 16    | 2       | 0   | 14  | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Jeremiah Driver              | 2       | 24    | 4       | 1   | 8   | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Sam Kilburn                  | 1       | 8     | 1       | 0   | 8   | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Eric Rawlin                  | 8       | 72    | 10      | 1   | 35  | 8.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Holdsworth           | 27      | 111   | 26      | 12  | 22  | 7.92    | 0        | 0       | 0     | -          | 0       | 0         |
| George Chatterton            | 11      | 134   | 18      | 1   | 29  | 7.88    | 0        | 0       | 0     | -          | 0       | 0         |
| Albert Day                   | 6       | 78    | 10      | 0   | 25  | 7.80    | 0        | 0       | 0     | -          | 0       | 0         |
| Albert Champion              | 14      | 148   | 23      | 4   | 29  | 7.78    | 0        | 0       | 0     | -          | 1       | 0         |
| Joseph Hunter                | 143     | 1183  | 213     | 61  | 60  | 7.78    | 0        | 2       | 0     | -          | 0       | 0         |
| Isaac Hodgson                | 31      | 272   | 54      | 19  | 21  | 7.77    | 0        | 0       | 0     | -          | 0       | 0         |
| Stephen Coverdale            | 6       | 31    | 4       | 0   | 18  | 7.75    | 0        | 0       | 0     | -          | 1       | 0         |
| Thomas Dakin                 | 5       | 54    | 9       | 2   | 16  | 7.71    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Dearman              | 1       | 15    | 2       | 0   | 13  | 7.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Ellis                 | 8       | 75    | 14      | 4   | 19  | 7.50    | 0        | 0       | 0     | -          | 0       | 0         |
| William Harris               | 4       | 45    | 8       | 2   | 25  | 7.50    | 0        | 0       | 0     | -          | 0       | 0         |
| James Wharton                | 3       | 45    | 6       | 0   | 23  | 7.50    | 0        | 0       | 143   | 31.46      | 0       | 0         |
| Mel Ryan                     | 150     | 682   | 149     | 58  | 26  | 7.49    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Ullathorne           | 27      | 283   | 46      | 8   | 28  | 7.44    | 0        | 0       | 0     | -          | 0       | 0         |
| William Prest                | 5       | 74    | 10      | 0   | 22  | 7.40    | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Kippax                 | 4       | 37    | 7       | 2   | 9   | 7.40    | 0        | 0       | 0     | -          | 1       | 0         |
| Charles Oyston               | 15      | 96    | 21      | 8   | 22  | 7.38    | 0        | 0       | 0     | -          | 0       | 0         |
| John Beaumont                | 4       | 44    | 8       | 2   | 24  | 7.33    | 0        | 0       | 0     | -          | 6       | 0         |
| Christopher Wood             | 4       | 22    | 4       | 1   | 10  | 7.33    | 0        | 0       | 0     | -          | 0       | 0         |
| David Ash                    | 3       | 22    | 3       | 0   | 12  | 7.33    | 0        | 0       | 0     | -          | 0       | 0         |
| William Law                  | 4       | 51    | 7       | 0   | 22  | 7.28    | 0        | 0       | 0     | -          | 0       | 0         |
| Steven Kirby                 | 47      | 342   | 61      | 14  | 57  | 7.27    | 0        | 1       | 1276  | 26.80      | 1       | 0         |
| James Smurthwaite            | 7       | 29    | 9       | 5   | 20  | 7.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Bob Platt                    | 96      | 405   | 103     | 47  | 57  | 7.23    | 0        | 1       | 0     | -          | 0       | 0         |
| Henry Taylor                 | 3       | 36    | 5       | 0   | 22  | 7.20    | 0        | 0       | 0     | -          | 0       | 0         |
| Frank Woodhead               | 4       | 57    | 8       | 0   | 18  | 7.12    | 0        | 0       | 0     | -          | 0       | 0         |
| William Waterfall            | 1       | 14    | 2       | 0   | 12  | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Bocking                | 2       | 14    | 2       | 0   | 11  | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Harry Dewse                  | 1       | 14    | 2       | 0   | 12  | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| George Smith                 | 2       | 7     | 1       | 0   | 7   | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Drake                   | 3       | 21    | 4       | 1   | 10  | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Brian Hall                   | 1       | 14    | 2       | 0   | 10  | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Stephen Stuchbury            | 3       | 7     | 3       | 2   | 4   | 7.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Stanley Douglas              | 23      | 125   | 26      | 8   | 19  | 6.94    | 0        | 0       | 0     | -          | 0       | 0         |
| Stuart Fletcher              | 107     | 414   | 91      | 31  | 28  | 6.90    | 0        | 0       | 28    | 1478.57    | 0       | 0         |
| Albert Ward                  | 4       | 41    | 7       | 1   | 22  | 6.83    | 0        | 0       | 0     | -          | 14      | 0         |
| William Wadsworth            | 5       | 54    | 8       | 0   | 21  | 6.75    | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Brayshay               | 2       | 20    | 3       | 0   | 13  | 6.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Billy Oates                  | 3       | 20    | 3       | 0   | 9   | 6.66    | 0        | 0       | 0     | -          | 5       | 0         |
| Pieter Swanepoel             | 2       | 20    | 3       | 0   | 17  | 6.66    | 0        | 0       | 67    | 29.85      | 0       | 0         |
| Richard Skelton              | 10      | 86    | 15      | 2   | 19  | 6.61    | 0        | 0       | 0     | -          | 0       | 0         |
| George Harrison              | 61      | 430   | 91      | 26  | 28  | 6.61    | 0        | 0       | 0     | -          | 0       | 0         |
| Frederick Shaw               | 3       | 33    | 5       | 0   | 30  | 6.60    | 0        | 0       | 0     | -          | 0       | 0         |
| Allan Mason                  | 18      | 105   | 19      | 3   | 22  | 6.56    | 0        | 0       | 0     | -          | 0       | 0         |
| PS Johnston                  | 1       | 13    | 2       | 0   | 7   | 6.50    | 0        | 0       | 0     | -          | 0       | 0         |
| George Lee                   | 1       | 13    | 2       | 0   | 9   | 6.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Lewis Hill                   | 1       | 13    | 2       | 0   | 8   | 6.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Hugh Claughton               | 4       | 39    | 6       | 0   | 15  | 6.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Deakin                | 4       | 45    | 7       | 0   | 16  | 6.42    | 0        | 0       | 0     | -          | 0       | 0         |
| George Dawson                | 3       | 38    | 6       | 0   | 12  | 6.33    | 0        | 0       | 0     | -          | 0       | 0         |
| George Thorpe                | 2       | 19    | 4       | 1   | 9   | 6.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Bill Foord                   | 51      | 114   | 34      | 16  | 35  | 6.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Peter Broughton              | 6       | 19    | 5       | 2   | 12  | 6.33    | 0        | 0       | 0     | -          | 1       | 0         |
| John Wilson                  | 9       | 81    | 14      | 1   | 36  | 6.23    | 0        | 0       | 0     | -          | 0       | 0         |
| William Ringrose             | 57      | 353   | 66      | 9   | 23  | 6.19    | 0        | 0       | 1     | 35300.00   | 0       | 0         |
| James Porter                 | 3       | 24    | 4       | 0   | 17  | 6.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Benjamin Huntsman            | 1       | 6     | 1       | 0   | 6   | 6.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Webster              | 4       | 36    | 7       | 1   | 10  | 6.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Boden                   | 1       | 6     | 1       | 0   | 6   | 6.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Stanley Raper                | 3       | 24    | 4       | 0   | 15  | 6.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Greg Lambert                 | 2       | 6     | 3       | 2   | 3   | 6.00    | 0        | 0       | 21    | 28.57      | 0       | 0         |
| Ben Sanderson                | 3       | 6     | 2       | 1   | 6   | 6.00    | 0        | 0       | 11    | 54.54      | 1       | 0         |
| Jack Shutt                   | 5       | 12    | 7       | 5   | 7   | 6.00    | 0        | 0       | 105   | 11.42      | 0       | 0         |
| Michael Ellison              | 5       | 53    | 9       | 0   | 22  | 5.88    | 0        | 0       | 0     | -          | 0       | 0         |
| Haworth Watson               | 29      | 141   | 35      | 11  | 41  | 5.87    | 0        | 0       | 0     | -          | 0       | 0         |
| George Crawford              | 9       | 46    | 8       | 0   | 21  | 5.75    | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Booth                 | 36      | 114   | 36      | 16  | 29  | 5.70    | 0        | 0       | 0     | -          | 0       | 0         |
| William Oates                | 7       | 34    | 13      | 7   | 14  | 5.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Frank Wilkinson              | 14      | 73    | 14      | 1   | 18  | 5.61    | 0        | 0       | 0     | -          | 0       | 0         |
| William Whitwell             | 10      | 67    | 14      | 2   | 26  | 5.58    | 0        | 0       | 0     | -          | 0       | 0         |
| C Ward                       | 1       | 11    | 2       | 0   | 10  | 5.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Ernest Creighton             | 4       | 33    | 8       | 2   | 10  | 5.50    | 0        | 0       | 0     | -          | 0       | 0         |
| John Parratt                 | 2       | 11    | 2       | 0   | 11  | 5.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Andrew Townsley              | 2       | 22    | 4       | 0   | 12  | 5.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Mathew Pillans               | 2       | 11    | 2       | 0   | 8   | 5.50    | 0        | 0       | 15    | 73.33      | 0       | 0         |
| Charles Halliley             | 3       | 27    | 5       | 0   | 17  | 5.40    | 0        | 0       | 0     | -          | 0       | 0         |
| Walter Aspinall              | 2       | 16    | 3       | 0   | 14  | 5.33    | 0        | 0       | 0     | -          | 0       | 0         |
| John Woollen                 | 2       | 21    | 4       | 0   | 12  | 5.25    | 0        | 0       | 0     | -          | 0       | 0         |
| John Thewlis                 | 3       | 21    | 4       | 0   | 10  | 5.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Thornton              | 3       | 21    | 4       | 0   | 7   | 5.25    | 0        | 0       | 0     | -          | 0       | 0         |
| George Thornton              | 3       | 21    | 4       | 0   | 16  | 5.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Luther Whitehead             | 2       | 21    | 4       | 0   | 13  | 5.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Armitage             | 3       | 26    | 5       | 0   | 12  | 5.20    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Hall                 | 23      | 67    | 22      | 9   | 15  | 5.15    | 0        | 0       | 0     | -          | 0       | 0         |
| Francis Whatmough            | 7       | 51    | 11      | 1   | 20  | 5.10    | 0        | 0       | 0     | -          | 0       | 0         |
| W Shelton                    | 1       | 10    | 2       | 0   | 7   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Cole                   | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Hugh Barrett                 | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Frank                 | 1       | 10    | 2       | 0   | 7   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Bower                | 1       | 10    | 2       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Redfearn              | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Walton               | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| George Render                | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Joe Johnson                  | 3       | 5     | 3       | 2   | 4   | 5.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Jordan Lowe                  | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 22    | 22.72      | 0       | 0         |
| Gurman Randhawa              | 1       | 5     | 1       | 0   | 5   | 5.00    | 0        | 0       | 21    | 23.80      | 0       | 0         |
| Haris Rauf                   | 4       | 15    | 4       | 1   | 6   | 5.00    | 0        | 0       | 30    | 50.00      | 0       | 0         |
| Arthur Bairstow              | 24      | 69    | 24      | 10  | 12  | 4.92    | 0        | 0       | 0     | -          | 0       | 0         |
| Robert Sidgwick              | 9       | 64    | 13      | 0   | 17  | 4.92    | 0        | 0       | 0     | -          | 0       | 0         |
| Christopher Clifford         | 11      | 39    | 12      | 4   | 12  | 4.87    | 0        | 0       | 0     | -          | 0       | 0         |
| John Byrom                   | 2       | 19    | 4       | 0   | 11  | 4.75    | 0        | 0       | 0     | -          | 0       | 0         |
| Michael Cowan                | 91      | 170   | 84      | 48  | 19  | 4.72    | 0        | 0       | 0     | -          | 0       | 0         |
| Francis Turner               | 5       | 33    | 7       | 0   | 12  | 4.71    | 0        | 0       | 0     | -          | 0       | 0         |
| William Kaye                 | 2       | 14    | 4       | 1   | 9   | 4.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Gerald Leatham               | 12      | 60    | 18      | 5   | 14  | 4.61    | 0        | 0       | 0     | -          | 1       | 0         |
| Philip Hart                  | 3       | 23    | 5       | 0   | 11  | 4.60    | 0        | 0       | 0     | -          | 0       | 0         |
| William Burley               | 1       | 9     | 2       | 0   | 8   | 4.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Samuel Jackson               | 1       | 9     | 2       | 0   | 9   | 4.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Fairfax Gill                 | 2       | 18    | 4       | 0   | 11  | 4.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Willie Middlebrook           | 17      | 88    | 27      | 7   | 19  | 4.40    | 0        | 0       | 0     | -          | 0       | 0         |
| William Wake                 | 3       | 13    | 3       | 0   | 11  | 4.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Tinsley                | 9       | 56    | 13      | 0   | 15  | 4.30    | 0        | 0       | 0     | -          | 0       | 0         |
| Ronald Wood                  | 22      | 60    | 18      | 4   | 17  | 4.28    | 0        | 0       | 0     | -          | 0       | 0         |
| John Wilson                  | 4       | 17    | 5       | 1   | 13  | 4.25    | 0        | 0       | 0     | -          | 0       | 0         |
| George Waller                | 3       | 17    | 4       | 0   | 13  | 4.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Mark Robinson                | 90      | 240   | 93      | 36  | 23  | 4.21    | 0        | 0       | 193   | 124.35     | 1       | 0         |
| George Baker                 | 7       | 42    | 11      | 1   | 13  | 4.20    | 0        | 0       | 0     | -          | 12      | 0         |
| Benjamin Bolton              | 4       | 25    | 6       | 0   | 11  | 4.16    | 0        | 0       | 0     | -          | 0       | 0         |
| William Clarke               | 1       | 8     | 2       | 0   | 6   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| M Lambert                    | 1       | 4     | 1       | 0   | 4   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Coates                  | 1       | 8     | 2       | 0   | 7   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Alfred Firth                 | 1       | 4     | 1       | 0   | 4   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Samuel Ellis                 | 2       | 12    | 3       | 0   | 9   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Whitwell              | 1       | 8     | 2       | 0   | 4   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Binns                   | 1       | 4     | 1       | 0   | 4   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Spencer Allen                | 1       | 8     | 2       | 0   | 6   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Bernard Brooke               | 2       | 16    | 4       | 0   | 14  | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Geoffrey Hodgson             | 1       | 4     | 1       | 0   | 4   | 4.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Morn? Morkel                 | 1       | 8     | 2       | 0   | 8   | 4.00    | 0        | 0       | 21    | 38.09      | 1       | 0         |
| Moin Ashraf                  | 20      | 56    | 19      | 5   | 10  | 4.00    | 0        | 0       | 300   | 18.66      | 0       | 0         |
| Jared Warner                 | 1       | 4     | 1       | 0   | 4   | 4.00    | 0        | 0       | 18    | 22.22      | 0       | 0         |
| George Rawlins               | 7       | 51    | 13      | 0   | 9   | 3.92    | 0        | 0       | 0     | -          | 0       | 0         |
| Charles Landon               | 9       | 51    | 13      | 0   | 18  | 3.92    | 0        | 0       | 0     | -          | 1       | 0         |
| William Blackburn            | 10      | 26    | 13      | 6   | 6   | 3.71    | 0        | 0       | 0     | -          | 0       | 0         |
| David Pickles                | 41      | 74    | 40      | 20  | 12  | 3.70    | 0        | 0       | 0     | -          | 0       | 0         |
| Edward Simpson               | 2       | 11    | 3       | 0   | 10  | 3.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Stuart Milburn               | 6       | 22    | 8       | 2   | 7   | 3.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Hargreaves           | 18      | 51    | 20      | 6   | 9   | 3.64    | 0        | 0       | 0     | -          | 0       | 0         |
| George Jarvis                | 1       | 7     | 2       | 0   | 7   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| William Gamble               | 1       | 7     | 2       | 0   | 7   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| William Haywood              | 1       | 7     | 2       | 0   | 7   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| John Usher                   | 1       | 7     | 2       | 0   | 5   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Tait                  | 2       | 7     | 3       | 1   | 3   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Theodore Hoyle               | 1       | 7     | 2       | 0   | 7   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Brian Turner                 | 2       | 7     | 4       | 2   | 3   | 3.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Webster                | 2       | 10    | 3       | 0   | 10  | 3.33    | 0        | 0       | 0     | -          | 0       | 0         |
| William Bosomworth           | 4       | 20    | 7       | 1   | 7   | 3.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Lee                  | 5       | 20    | 6       | 0   | 12  | 3.33    | 0        | 0       | 0     | -          | 0       | 0         |
| William Shotton              | 2       | 13    | 4       | 0   | 7   | 3.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Bennett Hudson               | 3       | 13    | 4       | 0   | 5   | 3.25    | 0        | 0       | 0     | -          | 0       | 0         |
| Richard Thorp                | 1       | 3     | 2       | 1   | 2   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| James Lee                    | 2       | 9     | 3       | 0   | 6   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Alfred Brown                 | 2       | 9     | 3       | 0   | 5   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Hart                 | 1       | 6     | 2       | 0   | 6   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Badger                 | 2       | 6     | 4       | 2   | 6   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| George Kennie                | 1       | 6     | 2       | 0   | 6   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
