+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| David Boon               | Kepler Wessels           | 3     |
| Steve Waugh              | Brian McMillan           | 3     |
| Stephen Fleming          | Hashan Tillakaratne      | 3     |
| Sachin Tendulkar         | Aamer Sohail             | 3     |
| Inzamam-ul-Haq           | Aravinda de Silva        | 3     |
| Saeed Anwar              | Sanath Jayasuriya        | 3     |
| Sachin Tendulkar         | Carl Hooper              | 3     |
| Mohammad Azharuddin      | Courtney Walsh           | 3     |
| Andy Flower              | Muttiah Muralitharan     | 3     |
| Sanath Jayasuriya        | Jonty Rhodes             | 3     |
| Daryll Cullinan          | Venkatesh Prasad         | 3     |
| Guy Whittall             | Ijaz Ahmed               | 3     |
| Carl Hooper              | Michael Slater           | 3     |
| Ricky Ponting            | Chaminda Vaas            | 3     |
| Stephen Fleming          | Steve Waugh              | 3     |
| Brian Lara               | Shaun Pollock            | 3     |
| Saeed Anwar              | Rahul Dravid             | 3     |
| Sachin Tendulkar         | Gary Kirsten             | 3     |
| Rahul Dravid             | Jonty Rhodes             | 3     |
| Sourav Ganguly           | Aravinda de Silva        | 3     |
| Mohammad Azharuddin      | Mark Waugh               | 3     |
| Javagal Srinath          | Saqlain Mushtaq          | 3     |
| Gary Kirsten             | Mohammad Azharuddin      | 3     |
| Ijaz Ahmed               | Grant Flower             | 3     |
| Chaminda Vaas            | Shahid Afridi            | 3     |
| Chris Harris             | Shahid Afridi            | 3     |
| Moin Khan                | Stephen Fleming          | 3     |
| Moin Khan                | Nathan Astle             | 3     |
| Shahid Afridi            | Shane Warne              | 3     |
| Shane Warne              | Ijaz Ahmed               | 3     |
| Andy Flower              | Nick Knight              | 3     |
| Mark Waugh               | Jimmy Adams              | 3     |
| Sherwin Campbell         | Inzamam-ul-Haq           | 3     |
| Sachin Tendulkar         | Grant Flower             | 3     |
| Alistair Campbell        | Mohammad Azharuddin      | 3     |
| Aravinda de Silva        | Stephen Fleming          | 3     |
| Greg Blewett             | Derek Crookes            | 3     |
| Michael Bevan            | Daryll Cullinan          | 3     |
| Saeed Anwar              | Sourav Ganguly           | 3     |
| Shahid Afridi            | Sourav Ganguly           | 3     |
| Robin Singh              | Aravinda de Silva        | 3     |
| Shahid Afridi            | Mohammad Azharuddin      | 3     |
| Azhar Mahmood            | Mohammad Azharuddin      | 3     |
| Sourav Ganguly           | Inzamam-ul-Haq           | 3     |
| Andy Flower              | Craig McMillan           | 3     |
| Lance Klusener           | Marvan Atapattu          | 3     |
| Gary Kirsten             | Shane Warne              | 3     |
| Craig McMillan           | Gary Kirsten             | 3     |
| Darren Lehmann           | Jonty Rhodes             | 3     |
| Adam Gilchrist           | Craig McMillan           | 3     |
| Craig McMillan           | Herschelle Gibbs         | 3     |
| Craig Wishart            | Nathan Astle             | 3     |
