+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                              | Matches | Wins | Loss | Tied | Others |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, ME Waugh, ML Hayden, RT Ponting, SK Warne, SR Waugh]                                                   | 16      | 12   | 1    | 0    | 3      |
| [CPS Chauhan, DB Vengsarkar, DR Doshi, GR Viswanath, KD Ghavri, Kapil Dev, SM Gavaskar, SMH Kirmani, Yashpal Sharma]                                | 15      | 5    | 1    | 0    | 9      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, PJL Dujon, RB Richardson]                                       | 15      | 8    | 2    | 0    | 5      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon]                                         | 15      | 8    | 2    | 0    | 5      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                     | 15      | 8    | 2    | 0    | 5      |
| [AB de Villiers, AG Prince, DW Steyn, GC Smith, HM Amla, JH Kallis, M Ntini, MV Boucher, PL Harris]                                                 | 15      | 9    | 3    | 0    | 3      |
| [AL Logie, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                    | 14      | 7    | 2    | 0    | 5      |
| [AL Logie, CA Walsh, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                       | 14      | 7    | 2    | 0    | 5      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, RB Richardson]                                     | 14      | 7    | 2    | 0    | 5      |
| [CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                    | 14      | 7    | 2    | 0    | 5      |
| [BP Patterson, CA Walsh, CEL Ambrose, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                    | 14      | 7    | 3    | 0    | 4      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JL Langer, ME Waugh, ML Hayden, SK Warne, SR Waugh]                                                    | 14      | 10   | 1    | 0    | 3      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JL Langer, ML Hayden, RT Ponting, SK Warne, SR Waugh]                                                  | 14      | 10   | 1    | 0    | 3      |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, M Ntini, MV Boucher, ND McKenzie]                                                | 14      | 8    | 4    | 0    | 2      |
| [AL Logie, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                          | 14      | 7    | 2    | 0    | 5      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                          | 13      | 7    | 2    | 0    | 4      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JL Langer, ME Waugh, ML Hayden, RT Ponting, SK Warne, SR Waugh]                                        | 13      | 9    | 1    | 0    | 3      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JN Gillespie, ME Waugh, ML Hayden, RT Ponting, SK Warne, SR Waugh]                                     | 12      | 8    | 1    | 0    | 3      |
| [CPS Chauhan, DB Vengsarkar, DR Doshi, GR Viswanath, KD Ghavri, Kapil Dev, NS Yadav, SM Gavaskar, SMH Kirmani, Yashpal Sharma]                      | 11      | 4    | 0    | 0    | 7      |
| [AL Logie, BP Patterson, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                      | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                         | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, PJL Dujon, RB Richardson]                         | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, RB Richardson]                       | 11      | 6    | 1    | 0    | 4      |
| [BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                      | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                       | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, MD Marshall, PJL Dujon, RB Richardson]                          | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon]                           | 11      | 6    | 1    | 0    | 4      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                       | 11      | 6    | 1    | 0    | 4      |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, M Ntini, MV Boucher, ND McKenzie, PL Harris]                                     | 11      | 5    | 4    | 0    | 2      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JL Langer, JN Gillespie, ML Hayden, RT Ponting, SK Warne, SR Waugh]                                    | 10      | 6    | 1    | 0    | 3      |
| [BJ Watling, C de Grandhomme, HM Nicholls, JA Raval, KS Williamson, LRPL Taylor, N Wagner, TA Boult, TG Southee, TWM Latham]                        | 10      | 8    | 0    | 0    | 2      |
| [AL Logie, BP Patterson, CA Walsh, CEL Ambrose, CG Greenidge, CL Hooper, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]            | 11      | 6    | 1    | 0    | 4      |
| [AC Gilchrist, B Lee, DR Martyn, GD McGrath, JL Langer, JN Gillespie, ME Waugh, ML Hayden, RT Ponting, SK Warne, SR Waugh]                          | 9       | 5    | 1    | 0    | 3      |
| [AEE Vogler, AW Nourse, CMH Hathorn, GA Faulkner, GC White, JH Sinclair, LJ Tancred, PW Sherwell, RO Schwarz, SJ Snooke, WA Shalders]               | 6       | 4    | 2    | 0    | 0      |
| [AJ Strauss, AN Cook, IR Bell, JM Anderson, KP Pietersen, MP Vaughan, MS Panesar, PD Collingwood, RJ Sidebottom, SCJ Broad, TR Ambrose]             | 6       | 4    | 0    | 0    | 2      |
| [AB de Villiers, AG Prince, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, M Ntini, MV Boucher, ND McKenzie, PL Harris]                          | 6       | 3    | 1    | 0    | 2      |
| [A Shrewsbury, G Ulyett, J Briggs, J Hunter, JM Read, R Peel, W Attewell, W Barnes, W Bates, W Flowers, WH Scotton]                                 | 5       | 3    | 2    | 0    | 0      |
| [AR Border, DC Boon, DM Jones, GF Lawson, GR Marsh, IA Healy, MA Taylor, MG Hughes, SR Waugh, TM Alderman, TV Hohns]                                | 5       | 3    | 0    | 0    | 2      |
| [AA Donald, AC Hudson, BM McMillan, CR Matthews, DJ Richardson, G Kirsten, JN Rhodes, KC Wessels, PN Kirsten, PS de Villiers, WJ Cronje]            | 5       | 2    | 1    | 0    | 2      |
| [AA Donald, DJ Cullinan, G Kirsten, HH Gibbs, JH Kallis, JN Rhodes, L Klusener, MV Boucher, PR Adams, SM Pollock, WJ Cronje]                        | 5       | 3    | 0    | 0    | 2      |
| [A Nel, AB de Villiers, AG Prince, DW Steyn, GC Smith, HH Gibbs, HM Amla, JH Kallis, M Ntini, MV Boucher, PL Harris]                                | 5       | 3    | 1    | 0    | 1      |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, JP Duminy, M Morkel, M Ntini, MV Boucher, ND McKenzie, PL Harris]                          | 5       | 2    | 3    | 0    | 0      |
