+-------------------------+----------+--------------+----------------------------------------------------------------+------------+-------------------------------------------------------+
| Player                  | CareerHS | Batting Posn | Match                                                          | StartDate  | Venue                                                 |
| Lakshan Sandakan        | 39       | 9            | Colombo Cricket Club v Moors Sports Club                       | 2016-01-15 | Colombo Cricket Club Ground, Colombo                  |
| Dilesh Gunaratne        | 17       | 10           | Colombo Cricket Club v Moors Sports Club                       | 2016-01-15 | Colombo Cricket Club Ground, Colombo                  |
| Janith Silva            | 68       | 10           | Sri Lanka Army Sports Club v Saracens Sports Club              | 2016-02-26 | Bloomfield Cricket and Athletic Club Ground, Colombo  |
| Ravindra Palleguruge    | 65       | 11           | Sri Lanka Army Sports Club v Saracens Sports Club              | 2016-02-26 | Bloomfield Cricket and Athletic Club Ground, Colombo  |
| Kemar Roach             | 53       | 9            | Barbados v Leeward Islands                                     | 2016-03-18 | Warner Park, Basseterre                               |
| Miguel Cummins          | 29       | 11           | Barbados v Leeward Islands                                     | 2016-03-18 | Warner Park, Basseterre                               |
| Athi Maposa             | 64       | 9            | KwaZulu-Natal Inland v South Western Districts                 | 2016-11-03 | City Oval, Pietermaritzburg                           |
| Craig Alexander         | 59       | 10           | KwaZulu-Natal Inland v South Western Districts                 | 2016-11-03 | City Oval, Pietermaritzburg                           |
| Delorn Johnson          | 56       | 10           | Windward Islands v Leeward Islands                             | 2016-12-09 | Windsor Park, Roseau                                  |
| Mervin Matthew          | 73       | 11           | Windward Islands v Leeward Islands                             | 2016-12-09 | Windsor Park, Roseau                                  |
| Dan Worrall             | 50       | 9            | Gloucestershire v Glamorgan                                    | 2018-04-20 | Brightside Ground, Bristol                            |
| Matthew Taylor          | 48       | 10           | Gloucestershire v Glamorgan                                    | 2018-04-20 | Brightside Ground, Bristol                            |
| Arup Das                | 36       | 9            | Assam v Rajasthan                                              | 2018-12-06 | Sawai Mansingh Stadium, Jaipur                        |
| Ranjit Mali             | 28       | 10           | Assam v Rajasthan                                              | 2018-12-06 | Sawai Mansingh Stadium, Jaipur                        |
| Mehdi Hasan             | 71       | 9            | Hyderabad v Delhi                                              | 2019-12-25 | Feroz Shah Kotla, Delhi                               |
| Ravi Kiran              | 12       | 10           | Hyderabad v Delhi                                              | 2019-12-25 | Feroz Shah Kotla, Delhi                               |
| Lizaad Williams         | 83       | 9            | Cape Cobras v Warriors                                         | 2020-01-20 | Buffalo Park, East London                             |
| Nandre Burger           | 48       | 10           | Cape Cobras v Warriors                                         | 2020-01-20 | Buffalo Park, East London                             |
| Mohammed Siraj          | 46       | 10           | Hyderabad v Vidarbha                                           | 2020-02-12 | Rajiv Gandhi International Stadium, Uppal, Hyderabad  |
| Ravi Kiran              | 19       | 11           | Hyderabad v Vidarbha                                           | 2020-02-12 | Rajiv Gandhi International Stadium, Uppal, Hyderabad  |
| Lahiru Gamage           | 49       | 10           | Colombo Cricket Club v Moors Sports Club                       | 2020-02-28 | Colombo Cricket Club Ground, Colombo                  |
| Vishwa Fernando         | 41       | 11           | Colombo Cricket Club v Moors Sports Club                       | 2020-02-28 | Colombo Cricket Club Ground, Colombo                  |
| Alzarri Joseph          | 89       | 9            | Leeward Islands v Jamaica                                      | 2020-03-12 | Sir Vivian Richards Stadium, North Sound              |
| Jeremiah Louis          | 75       | 10           | Leeward Islands v Jamaica                                      | 2020-03-12 | Sir Vivian Richards Stadium, North Sound              |
+-------------------------+----------+--------------+----------------------------------------------------------------+------------+-------------------------------------------------------+
