+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                                                     |
| 4    | Shahid Afridi        | Shakib Al Hasan      | [Pakistan v Bangladesh, Sylhet Superstars v Rangpur Riders, Rangpur Riders v Dhaka Dynamites, Comilla Victorians v Dhaka Dynamites]                                                                                                         |
| 4    | Dinesh Karthik       | Lasith Malinga       | [India v Sri Lanka, Delhi Daredevils v Mumbai Indians, Royal Challengers Bangalore v Mumbai Indians, Kolkata Knight Riders v Mumbai Indians]                                                                                                |
| 4    | Dwayne Bravo         | Krishmar Santokie    | [Trinidad and Tobago v Jamaica, Trinidad and Tobago Red Steel v Guyana Amazon Warriors, Trinbago Knight Riders v St Kitts and Nevis Patriots, Trinbago Knight Riders v Jamaica Tallawahs]                                                   |
| 4    | Kieron Pollard       | Dan Christian        | [Mumbai Indians v South Australia, Mumbai Indians v Deccan Chargers, Adelaide Strikers v Hobart Hurricanes, Mumbai Indians v Delhi Daredevils]                                                                                              |
| 4    | Imad Wasim           | Wahab Riaz           | [Islamabad Leopards v Lahore Lions, Karachi Kings v Peshawar Zalmi, Jamaica Tallawahs v Barbados Tridents, Northern v Southern Punjab]                                                                                                      |
| 4    | Shane Watson         | Ravi Jadeja          | [Rajasthan Royals v Kochi Tuskers Kerala, Rajasthan Royals v Chennai Super Kings, Australia v India, Royal Challengers Bangalore v Gujarat Lions]                                                                                           |
| 4    | Parthiv Patel        | Jaydev Unadkat       | [Kochi Tuskers Kerala v Kolkata Knight Riders, Mumbai Indians v Rising Pune Supergiant, Royal Challengers Bangalore v Rajasthan Royals, Gujarat v Saurashtra]                                                                               |
| 4    | Shane Watson         | Ravi Ashwin          | [Rajasthan Royals v Chennai Super Kings, New South Wales v Chennai Super Kings, Australia v India, Chennai Super Kings v Kings XI Punjab]                                                                                                   |
| 4    | Parthiv Patel        | Ravi Ashwin          | [Kochi Tuskers Kerala v Chennai Super Kings, Royal Challengers Bangalore v Chennai Super Kings, Mumbai Indians v Chennai Super Kings, Royal Challengers Bangalore v Kings XI Punjab]                                                        |
| 4    | Ryan ten Doeschate   | Roelof van der Merwe | [Kolkata Knight Riders v Somerset, Impi v Titans, Essex v Somerset, Nelson Mandela Bay Giants v Tshwane Spartans]                                                                                                                           |
| 4    | Kieron Pollard       | Sunil Narine         | [Mumbai Indians v Trinidad and Tobago, Barbados Tridents v Guyana Amazon Warriors, Karachi Kings v Lahore Qalandars, Mumbai Indians v Kolkata Knight Riders]                                                                                |
| 4    | Ambati Rayudu        | Ashok Dinda          | [Baroda v Bengal, Mumbai Indians v Pune Warriors, Mumbai Indians v Royal Challengers Bangalore, Central Zone v East Zone]                                                                                                                   |
| 4    | Kithuruwan Vithanage | Alankara Asanka      | [Tamil Union Cricket and Athletic Club v Badureliya Sports Club, Western Troopers v Yaal Blazers, Tamil Union Cricket and Athletic Club v Ragama Cricket Club, Galle Guardians v Hambantota Troopers]                                       |
| 4    | Shoaib Malik         | Sohail Tanvir        | [Sialkot Stallions v Rawalpindi Rams, Chittagong Vikings v Comilla Victorians, Multan Sultans v Quetta Gladiators, Peshawar Zalmi v Multan Sultans]                                                                                         |
| 4    | Parthiv Patel        | Bhuvneshwar Kumar    | [Deccan Chargers v Pune Warriors, Sunrisers v Pune Warriors, Royal Challengers Bangalore v Sunrisers, Mumbai Indians v Sunrisers]                                                                                                           |
| 4    | Suresh Raina         | Amit Mishra          | [Chennai Super Kings v Deccan Chargers, Chennai Super Kings v Sunrisers, Gujarat Lions v Delhi Daredevils, Chennai Super Kings v Delhi Capitals]                                                                                            |
| 4    | Shoaib Malik         | Tissara Perera       | [Pakistan v Sri Lanka, Comilla Victorians v Rangpur Riders, Karachi Kings v Quetta Gladiators, Pakistan v World XI]                                                                                                                         |
| 4    | Martin Guptill       | Sunil Narine         | [New Zealand v West Indies, St Kitts and Nevis Patriots v Guyana Amazon Warriors, Kings XI Punjab v Kolkata Knight Riders, Guyana Amazon Warriors v Trinbago Knight Riders]                                                                 |
| 4    | Chris Gayle          | Shane Watson         | [West Indies v Australia, Royal Challengers Bangalore v Rajasthan Royals, Jamaica Tallawahs v St Lucia Zouks, Kings XI Punjab v Chennai Super Kings]                                                                                        |
| 4    | Mahmudullah          | Shahid Afridi        | [Bangladesh v Pakistan, Khulna Titans v Rangpur Riders, Khulna Titans v Dhaka Dynamites, Khulna Titans v Comilla Victorians]                                                                                                                |
| 4    | Kevon Cooper         | Krishmar Santokie    | [Trinidad and Tobago v Jamaica, Trinidad and Tobago Red Steel v Guyana Amazon Warriors, Trinidad and Tobago Red Steel v Jamaica Tallawahs, Trinbago Knight Riders v St Kitts and Nevis Patriots]                                            |
| 4    | Chadwick Walton      | Sunil Narine         | [Combined Campuses and Colleges v Trinidad and Tobago, Jamaica Tallawahs v Guyana Amazon Warriors, Guyana Amazon Warriors v Trinbago Knight Riders, Jamaica Tallawahs v Trinbago Knight Riders]                                             |
| 4    | Tamim Iqbal          | Sohag Gazi           | [Duronto Rajshahi v Sylhet Royals, United Commerce Bank Bangladesh Cricket Board XI v Prime Bank Cricket Club, Chittagong Vikings v Rangpur Riders, Comilla Victorians v Rangpur Riders]                                                    |
| 4    | Shahriar Nafees      | Sohag Gazi           | [Khulna Royal Bengals v Sylhet Royals, Mohammedan Sporting Club v Prime Bank Cricket Club, Barisal Bulls v Rangpur Riders, Legends of Rupganj v Mohammedan Sporting Club]                                                                   |
| 4    | Shakib Al Hasan      | Mohammad Nabi        | [Dhaka Gladiators v Sylhet Royals, Karachi Kings v Quetta Gladiators, Dhaka Dynamites v Chittagong Vikings, Bangladesh v Afghanistan]                                                                                                       |
| 4    | Sohaib Maqsood       | Yasir Shah           | [Multan Tigers v Abbottabad Falcons, Peshawar Zalmi v Lahore Qalandars, Multan Sultans v Lahore Qalandars, Southern Punjab v Baluchistan]                                                                                                   |
| 4    | Yuvraj Singh         | Umesh Yadav          | [Pune Warriors v Delhi Daredevils, Royal Challengers Bangalore v Kolkata Knight Riders, Sunrisers v Kolkata Knight Riders, Kings XI Punjab v Royal Challengers Bangalore]                                                                   |
| 4    | Steven Smith         | Ravi Jadeja          | [Pune Warriors v Chennai Super Kings, Rajasthan Royals v Chennai Super Kings, Australia v India, Rising Pune Supergiants v Gujarat Lions]                                                                                                   |
| 4    | Chris Gayle          | Sunil Narine         | [Royal Challengers Bangalore v Kolkata Knight Riders, Jamaica Tallawahs v Guyana Amazon Warriors, Karachi Kings v Lahore Qalandars, St Kitts and Nevis Patriots v Trinbago Knight Riders]                                                   |
| 4    | Kamran Akmal         | Usman Shinwari       | [National Bank of Pakistan v Khan Research Laboratories, Punjab v Khyber Pakhtunkhwa, Peshawar Zalmi v Karachi Kings, Peshawar Zalmi v Quetta Gladiators]                                                                                   |
| 4    | Daren Sammy          | Mohammad Irfan       | [West Indies v Pakistan, Rangpur Riders v Dhaka Dynamites, Peshawar Zalmi v Islamabad United, Peshawar Zalmi v Multan Sultans]                                                                                                              |
| 4    | Dwayne Bravo         | Andre Russell        | [Trinidad and Tobago Red Steel v Jamaica Tallawahs, Chennai Super Kings v Kolkata Knight Riders, Dolphins v Knights, Melbourne Renegades v Sydney Thunder]                                                                                  |
| 4    | Daren Sammy          | Rayad Emrit          | [St Lucia Zouks v Barbados Tridents, St Lucia Zouks v Guyana Amazon Warriors, Rajshahi Kings v Barisal Bulls, St Lucia Stars v Guyana Amazon Warriors]                                                                                      |
| 4    | Chris Gayle          | Shoaib Malik         | [Jamaica Tallawahs v Barbados Tridents, Barisal Bulls v Comilla Victorians, Lahore Qalandars v Karachi Kings, West Indies v ICC World XI]                                                                                                   |
| 4    | Dinesh Karthik       | Imran Tahir          | [Mumbai Indians v Lions, Gujarat Lions v Delhi Daredevils, Gujarat Lions v Rising Pune Supergiant, Kolkata Knight Riders v Chennai Super Kings]                                                                                             |
| 4    | Mithun Ali           | Al-Amin Hossain      | [Bangladesh A v Bangladesh, Rangpur Riders v Comilla Victorians, Sylhet Thunder v Comilla Warriors, Chittagong v Khulna]                                                                                                                    |
| 4    | Liton Das            | Mashrafe Mortaza     | [Prime Bank Cricket Club v Mohammedan Sporting Club, Comilla Victorians v Rangpur Riders, Sylhet Sixers v Rangpur Riders, Chittagong v Khulna]                                                                                              |
| 4    | Rony Talukdar        | Shakib Al Hasan      | [United Commerce Bank Bangladesh Cricket Board XI v Prime Bank Cricket Club, Rajshahi Kings v Dhaka Dynamites, Prime Bank Cricket Club v Mohammedan Sporting Club, Khulna Tigers v Fortune Barisal]                                         |
| 4    | Brendon McCullum     | Sunil Narine         | [New Zealand v West Indies, Chennai Super Kings v Kolkata Knight Riders, Gujarat Lions v Kolkata Knight Riders, Royal Challengers Bangalore v Kolkata Knight Riders]                                                                        |
