+--------------------------------------------------------+---------+------+------+------+--------+
| Player                                                 | Matches | Wins | Loss | Tied | Others |
| [JC Hildreth, L Gregory, MTC Waller, PD Trego]         | 56      | 27   | 24   | 1    | 4      |
| [DA Payne, IA Cockbain, M Klinger, TMJ Smith]          | 56      | 24   | 27   | 2    | 3      |
| [AJ Blake, DJ Bell-Drummond, ME Claydon, SW Billings]  | 56      | 25   | 27   | 2    | 2      |
| [DD Masters, JS Foster, RN ten Doeschate, RS Bopara]   | 55      | 29   | 25   | 0    | 1      |
| [AD Hales, LJ Fletcher, SJ Mullaney, SR Patel]         | 55      | 34   | 16   | 3    | 2      |
| [AD Hales, HF Gurney, MH Wessels, SR Patel]            | 55      | 39   | 15   | 0    | 1      |
| [AJ Blake, DI Stevens, ME Claydon, SW Billings]        | 55      | 24   | 29   | 2    | 0      |
| [GR Napier, ML Pettini, RN ten Doeschate, RS Bopara]   | 54      | 27   | 25   | 0    | 2      |
| [DI Stevens, JC Tredwell, SA Northeast, SW Billings]   | 54      | 21   | 32   | 1    | 0      |
| [AD Hales, HF Gurney, MH Wessels, SJ Mullaney]         | 54      | 39   | 14   | 0    | 1      |
| [AJ Blake, DI Stevens, ME Claydon, SA Northeast]       | 54      | 24   | 28   | 2    | 0      |
| [BAC Howell, IA Cockbain, JMR Taylor, M Klinger]       | 54      | 22   | 27   | 2    | 3      |
| [DI Stevens, JC Tredwell, M van Jaarsveld, RWT Key]    | 53      | 27   | 25   | 1    | 0      |
| [Azhar Mahmood, DI Stevens, GO Jones, RWT Key]         | 53      | 31   | 22   | 0    | 0      |
| [Azhar Mahmood, DI Stevens, GO Jones, JC Tredwell]     | 53      | 31   | 22   | 0    | 0      |
| [DM Benkenstein, GJ Muchall, GR Breese, P Mustard]     | 52      | 19   | 28   | 1    | 4      |
| [GR Napier, JS Foster, RN ten Doeschate, TJ Phillips]  | 52      | 24   | 27   | 0    | 1      |
| [DI Stevens, GO Jones, JL Denly, M van Jaarsveld]      | 52      | 31   | 19   | 1    | 1      |
| [AC Thomas, C Kieswetter, JC Hildreth, PD Trego]       | 52      | 27   | 22   | 0    | 3      |
| [PJ Horton, SD Parry, SJ Croft, TC Smith]              | 52      | 32   | 17   | 2    | 1      |
| [GD Cross, SD Parry, SJ Croft, TC Smith]               | 52      | 29   | 19   | 3    | 1      |
| [BAC Howell, DA Payne, IA Cockbain, M Klinger]         | 52      | 19   | 29   | 2    | 2      |
| [DA Payne, IA Cockbain, JMR Taylor, M Klinger]         | 52      | 22   | 24   | 2    | 4      |
| [DI Stevens, GO Jones, JC Tredwell, M van Jaarsveld]   | 51      | 29   | 20   | 1    | 1      |
| [GD Cross, SC Moore, SJ Croft, TC Smith]               | 51      | 25   | 21   | 4    | 1      |
| [AJ Blake, DI Stevens, DJ Bell-Drummond, SW Billings]  | 51      | 23   | 26   | 2    | 0      |
| [AJ Blake, DI Stevens, DJ Bell-Drummond, SA Northeast] | 51      | 24   | 25   | 2    | 0      |
| [DT Christian, JT Ball, SJ Mullaney, SR Patel]         | 51      | 37   | 11   | 0    | 3      |
| [DT Christian, HF Gurney, SJ Mullaney, SR Patel]       | 51      | 31   | 18   | 0    | 2      |
| [AD Hales, SJ Mullaney, SR Patel, TJ Moores]           | 51      | 33   | 13   | 3    | 2      |
+--------------------------------------------------------+---------+------+------+------+--------+
