+------------+---------------------+----------+----------------------------+------------+
| Start Over | Bowler              | Analysis | Match                      | StartDate  |
| 16.2       | Yasir Arafat        | 5/161    | Pakistan v India           | 2007-12-08 |
| 16.1       | AR Caddick          | 5/67     | England v West Indies      | 1998-02-13 |
| 16.1       | AD Mullally         | 5/105    | England v Australia        | 1998-11-20 |
| 16.1       | C White             | 5/57     | England v West Indies      | 2000-08-17 |
| 16.1       | MS Panesar          | 5/129    | England v India            | 2012-11-23 |
| 16.1       | TG Southee          | 6/62     | New Zealand v England      | 2018-03-30 |
| 15.8       | IT Botham           | 5/109    | England v New Zealand      | 1978-03-04 |
| 15.6       | A Kumble            | 6/98     | India v Australia          | 1998-03-25 |
| 15.6       | Saqlain Mushtaq     | 5/94     | Pakistan v India           | 1999-01-28 |
| 15.6       | SCG MacGill         | 5/152    | Australia v England        | 2002-12-26 |
| 15.6       | MJ Clarke           | 5/86     | Australia v West Indies    | 2012-04-23 |
| 15.6       | R Ashwin            | 5/95     | India v Australia          | 2013-02-22 |
| 15.5       | A Kumble            | 6/70     | India v Pakistan           | 1999-01-28 |
| 15.5       | Shoaib Akhtar       | 5/75     | Pakistan v Sri Lanka       | 2000-03-05 |
| 15.5       | M Muralitharan      | 5/138    | Sri Lanka v West Indies    | 2003-06-20 |
| 15.5       | M Muralitharan      | 6/87     | Sri Lanka v New Zealand    | 2006-12-15 |
| 15.5       | Saeed Ajmal         | 5/146    | Pakistan v Sri Lanka       | 2012-06-22 |
| 15.4       | BA Stokes           | 6/99     | England v Australia        | 2014-01-03 |
| 15.3       | IWG Johnson         | 5/34     | Australia v South Africa   | 1950-01-20 |
| 15.3       | JH Wardle           | 7/36     | England v South Africa     | 1957-01-01 |
| 15.3       | MJ Hoggard          | 5/144    | England v South Africa     | 2005-01-13 |
| 15.3       | GD McGrath          | 5/115    | Australia v England        | 2005-08-11 |
| 15.3       | KTGD Prasad         | 5/50     | Sri Lanka v England        | 2014-06-20 |
| 15.2       | Z Khan              | 5/95     | India v Australia          | 2003-12-04 |
| 15.2       | Shahadat Hossain    | 5/71     | Bangladesh v India         | 2010-01-17 |
| 15.2       | GP Swann            | 5/44     | England v Australia        | 2013-07-18 |
| 15.2       | D Olivier           | 6/37     | South Africa v Pakistan    | 2018-12-26 |
| 15.1       | NM Lyon             | 5/34     | Australia v Sri Lanka      | 2011-08-31 |
| 15.1       | RAS Lakmal          | 5/47     | Sri Lanka v West Indies    | 2021-03-21 |
| 14.6       | M Muralitharan      | 9/65     | Sri Lanka v England        | 1998-08-27 |
| 14.6       | DW Steyn            | 6/72     | South Africa v West Indies | 2008-01-10 |
| 14.6       | MG Johnson          | 5/39     | Australia v New Zealand    | 2008-11-20 |
| 14.6       | Shakib Al Hasan     | 5/62     | Bangladesh v India         | 2010-01-17 |
| 14.6       | Rubel Hossain       | 5/166    | Bangladesh v New Zealand   | 2010-02-15 |
| 14.6       | SCJ Broad           | 5/109    | England v New Zealand      | 2015-05-29 |
| 14.6       | RRS Cornwall        | 5/74     | West Indies v Bangladesh   | 2021-02-11 |
| 14.6       | Hasan Ali           | 5/36     | Pakistan v Zimbabwe        | 2021-04-29 |
| 14.5       | Shakib Al Hasan     | 7/36     | Bangladesh v New Zealand   | 2008-10-17 |
| 14.5       | MG Johnson          | 5/103    | Australia v West Indies    | 2009-12-04 |
| 14.5       | Elias Sunny         | 6/94     | Bangladesh v West Indies   | 2011-10-21 |
| 14.5       | AA Nortje           | 5/56     | South Africa v Pakistan    | 2021-02-04 |
| 14.4       | RAP Nissanka        | 5/64     | Sri Lanka v West Indies    | 2003-06-27 |
| 14.4       | Mohammad Rafique    | 5/62     | Bangladesh v Australia     | 2006-04-09 |
| 14.4       | PP Ojha             | 5/45     | India v England            | 2012-11-15 |
| 14.4       | PM Siddle           | 5/54     | Australia v Sri Lanka      | 2012-12-14 |
| 14.4       | S Shillingford      | 6/167    | West Indies v India        | 2013-11-06 |
| 14.4       | BA Stokes           | 5/73     | England v India            | 2016-11-26 |
| 14.3       | PJ Wiseman          | 5/82     | New Zealand v Sri Lanka    | 1998-05-27 |
| 14.3       | IG Butler           | 6/46     | New Zealand v Pakistan     | 2003-12-26 |
| 14.3       | R Ashwin            | 7/103    | India v Australia          | 2013-02-22 |
| 14.3       | GP Swann            | 6/90     | England v New Zealand      | 2013-05-24 |
| 14.3       | MA Starc            | 5/114    | Australia v England        | 2015-07-08 |
| 14.3       | KA Jamieson         | 5/34     | New Zealand v West Indies  | 2020-12-11 |
| 14.2       | HJ Tayfield         | 7/23     | South Africa v Australia   | 1950-01-20 |
| 14.2       | PL Harris           | 5/73     | South Africa v Pakistan    | 2007-10-01 |
| 14.2       | GP Swann            | 5/62     | England v Pakistan         | 2010-08-26 |
| 14.2       | TL Best             | 5/24     | West Indies v Bangladesh   | 2012-11-13 |
| 14.1       | JK Lever            | 7/46     | England v India            | 1976-12-17 |
| 14.1       | IE O'Brien          | 6/75     | New Zealand v West Indies  | 2008-12-19 |
| 14.1       | HMRKB Herath        | 5/139    | Sri Lanka v New Zealand    | 2009-08-26 |
| 14.1       | JO Holder           | 5/30     | West Indies v Pakistan     | 2016-10-30 |
| 14.1       | Taijul Islam        | 5/107    | Bangladesh v Zimbabwe      | 2018-11-11 |
| 13.6       | SK Warne            | 6/34     | Australia v South Africa   | 1998-01-02 |
| 13.6       | M Ntini             | 5/49     | South Africa v West Indies | 2004-01-16 |
| 13.5       | CL Cairns           | 6/77     | New Zealand v England      | 1999-07-22 |
| 13.5       | CA Walsh            | 5/36     | West Indies v England      | 2000-06-15 |
| 13.5       | AF Giles            | 5/57     | England v West Indies      | 2004-07-29 |
| 13.5       | WPUJC Vaas          | 6/108    | Sri Lanka v New Zealand    | 2005-04-11 |
| 13.5       | CT Tremlett         | 6/48     | England v Sri Lanka        | 2011-06-16 |
| 13.5       | TT Bresnan          | 5/48     | England v India            | 2011-07-29 |
| 13.5       | JM Anderson         | 5/40     | England v South Africa     | 2020-01-03 |
| 13.4       | CEW Silverwood      | 5/91     | England v South Africa     | 2000-01-02 |
| 13.4       | DL Vettori          | 6/28     | New Zealand v Bangladesh   | 2004-10-19 |
| 13.4       | KAJ Roach           | 6/48     | West Indies v Bangladesh   | 2009-07-17 |
| 13.4       | Harbhajan Singh     | 7/120    | India v South Africa       | 2011-01-02 |
| 13.3       | M Muralitharan      | 5/98     | Sri Lanka v Bangladesh     | 2001-09-06 |
| 13.3       | DL Vettori          | 7/130    | New Zealand v Sri Lanka    | 2006-12-15 |
| 13.3       | A Kumble            | 5/60     | India v Pakistan           | 2007-12-08 |
| 13.3       | PL Harris           | 6/127    | South Africa v Australia   | 2009-03-19 |
| 13.3       | Saeed Ajmal         | 6/96     | Pakistan v South Africa    | 2013-02-14 |
| 13.3       | JJ Bumrah           | 6/33     | India v Australia          | 2018-12-26 |
| 13.2       | SK Warne            | 7/94     | Australia v Pakistan       | 2002-10-03 |
| 13.2       | CD Collymore        | 7/78     | West Indies v Pakistan     | 2005-06-03 |
| 13.2       | M Muralitharan      | 7/100    | Sri Lanka v India          | 2005-12-10 |
| 13.2       | MG Johnson          | 6/73     | Australia v New Zealand    | 2010-03-27 |
| 13.2       | MG Johnson          | 5/64     | Australia v India          | 2010-10-01 |
| 13.2       | SR Watson           | 5/17     | Australia v South Africa   | 2011-11-09 |
| 13.2       | S Shillingford      | 5/179    | West Indies v India        | 2013-11-14 |
| 13.2       | RL Chase            | 5/172    | West Indies v England      | 2020-07-16 |
| 13.1       | RJ Sidebottom       | 6/67     | England v New Zealand      | 2008-06-05 |
| 13.1       | Zulfiqar Babar      | 5/74     | Pakistan v Australia       | 2014-10-22 |
| 12.6       | BS Chandrasekhar    | 5/135    | India v England            | 1973-02-06 |
| 12.6       | M Ntini             | 6/66     | South Africa v New Zealand | 2000-11-17 |
| 12.6       | AJ Tudor            | 5/44     | England v Australia        | 2001-08-02 |
| 12.6       | MJ Hoggard          | 7/109    | England v Australia        | 2006-12-01 |
| 12.6       | MS Panesar          | 6/37     | England v New Zealand      | 2008-05-23 |
| 12.6       | Mohammad Aamer      | 6/84     | Pakistan v England         | 2010-08-26 |
| 12.6       | M Morkel            | 5/20     | South Africa v India       | 2010-12-16 |
| 12.6       | I Sharma            | 5/77     | India v West Indies        | 2011-07-06 |
| 12.6       | GP Swann            | 6/106    | England v India            | 2011-08-18 |
| 12.6       | Shakib Al Hasan     | 5/103    | Bangladesh v New Zealand   | 2013-10-21 |
| 12.6       | K Rabada            | 5/92     | South Africa v Australia   | 2016-11-03 |
| 12.6       | NM Lyon             | 6/60     | Australia v Bangladesh     | 2017-09-04 |
| 12.6       | PJ Cummins          | 6/27     | Australia v India          | 2018-12-26 |
| 12.6       | D Olivier           | 5/59     | South Africa v Pakistan    | 2018-12-26 |
| 12.5       | Umar Gul            | 5/31     | Pakistan v India           | 2004-04-05 |
| 12.5       | SJ Harmison         | 5/43     | England v Australia        | 2005-07-21 |
| 12.5       | DL Vettori          | 5/70     | New Zealand v Zimbabwe     | 2011-11-01 |
| 12.5       | Hasan Ali           | 5/27     | Pakistan v Zimbabwe        | 2021-05-07 |
| 12.4       | CA Walsh            | 6/61     | West Indies v South Africa | 2001-03-17 |
| 12.4       | SK Warne            | 7/165    | Australia v England        | 2001-08-23 |
| 12.4       | SK Warne            | 6/125    | Australia v India          | 2004-10-14 |
| 12.4       | M Muralitharan      | 5/79     | Sri Lanka v Bangladesh     | 2006-03-08 |
| 12.3       | BS Chandrasekhar    | 6/90     | India v England            | 1973-01-12 |
| 12.3       | A Kumble            | 5/90     | India v Australia          | 2004-11-03 |
| 12.3       | JR Hazlewood        | 6/70     | Australia v New Zealand    | 2015-11-27 |
| 12.3       | C de Grandhomme     | 6/41     | New Zealand v Pakistan     | 2016-11-17 |
| 12.3       | AY Patel            | 5/59     | New Zealand v Pakistan     | 2018-11-16 |
| 12.2       | CEH Croft           | 5/40     | West Indies v England      | 1981-02-13 |
| 12.2       | JN Gillespie        | 5/56     | Australia v India          | 2004-10-26 |
| 12.2       | M Muralitharan      | 6/49     | Sri Lanka v Bangladesh     | 2008-12-26 |
| 12.2       | MM Ali              | 6/67     | England v India            | 2014-07-27 |
| 12.2       | ST Finn             | 6/79     | England v Australia        | 2015-07-29 |
| 12.2       | RRS Cornwall        | 7/75     | West Indies v Afghanistan  | 2019-11-27 |
| 12.1       | GP Wickramasinghe   | 6/60     | Sri Lanka v Zimbabwe       | 1999-11-18 |
| 12.1       | Harbhajan Singh     | 7/48     | India v West Indies        | 2002-10-09 |
| 12.1       | Mohammad Sami       | 5/44     | Pakistan v New Zealand     | 2003-12-19 |
| 12.1       | SP Jones            | 5/57     | England v West Indies      | 2004-03-19 |
| 12.1       | HH Streak           | 6/73     | Zimbabwe v India           | 2005-09-20 |
| 12.1       | FH Edwards          | 7/87     | West Indies v New Zealand  | 2008-12-19 |
| 12.1       | CR Woakes           | 6/70     | England v Pakistan         | 2016-07-14 |
| 12.1       | JR Hazlewood        | 5/8      | Australia v India          | 2020-12-17 |
| 11.6       | R Benaud            | 5/114    | Australia v South Africa   | 1958-01-24 |
| 11.6       | PP Ojha             | 6/72     | India v West Indies        | 2011-11-06 |
| 11.6       | M Morkel            | 5/146    | South Africa v Australia   | 2012-11-22 |
| 11.6       | DM Bess             | 5/51     | England v South Africa     | 2020-01-16 |
| 11.5       | AM Blignaut         | 5/73     | Zimbabwe v Bangladesh      | 2001-04-19 |
| 11.5       | JM Anderson         | 5/42     | England v India            | 2007-07-19 |
| 11.5       | JS Patel            | 5/110    | New Zealand v West Indies  | 2008-12-19 |
| 11.5       | DJG Sammy           | 5/55     | West Indies v Bangladesh   | 2009-07-17 |
| 11.5       | HMRKB Herath        | 7/157    | Sri Lanka v Australia      | 2011-09-16 |
| 11.5       | Taijul Islam        | 6/163    | Bangladesh v Pakistan      | 2015-04-28 |
| 11.5       | Yasir Shah          | 5/121    | Pakistan v West Indies     | 2016-10-13 |
| 11.5       | KAJ Roach           | 5/17     | West Indies v England      | 2019-01-23 |
| 11.4       | ARC Fraser          | 5/62     | England v South Africa     | 1998-07-23 |
| 11.4       | Harbhajan Singh     | 7/133    | India v Australia          | 2001-03-18 |
| 11.4       | M Muralitharan      | 8/46     | Sri Lanka v West Indies    | 2005-07-22 |
| 11.4       | GP Swann            | 5/90     | England v Bangladesh       | 2010-03-12 |
| 11.4       | GP Swann            | 5/127    | England v Bangladesh       | 2010-03-12 |
| 11.4       | MS Panesar          | 6/62     | England v Pakistan         | 2012-01-25 |
| 11.4       | SJ Benn             | 5/72     | West Indies v Bangladesh   | 2014-09-13 |
| 11.3       | DW Steyn            | 5/34     | South Africa v New Zealand | 2007-11-08 |
| 11.3       | Shakib Al Hasan     | 6/59     | Bangladesh v Zimbabwe      | 2014-10-25 |
| 11.3       | R Ashwin            | 6/46     | India v Sri Lanka          | 2015-08-12 |
| 11.3       | Mohammed Shami      | 5/35     | India v South Africa       | 2019-10-02 |
| 11.2       | HH Streak           | 6/87     | Zimbabwe v England         | 2000-05-18 |
| 11.2       | Wasim Akram         | 5/45     | Pakistan v Sri Lanka       | 2000-06-14 |
| 11.2       | MS Kasprowicz       | 7/39     | Australia v Sri Lanka      | 2004-07-01 |
| 11.2       | MTT Mirando         | 5/83     | Sri Lanka v Pakistan       | 2009-07-20 |
| 11.2       | MA Starc            | 6/111    | Australia v England        | 2015-08-06 |
| 11.1       | M Muralitharan      | 6/39     | Sri Lanka v South Africa   | 2000-12-26 |
| 11.1       | TJ Friend           | 5/31     | Zimbabwe v Bangladesh      | 2001-11-08 |
| 11.1       | SK Warne            | 5/74     | Australia v Pakistan       | 2002-10-19 |
| 11.1       | LT Ngidi            | 6/39     | South Africa v India       | 2018-01-13 |
| 11.0       | NAT Adcock          | 5/43     | South Africa v New Zealand | 1953-12-24 |
| 10.6       | CL Cairns           | 7/53     | New Zealand v Bangladesh   | 2001-12-18 |
| 10.6       | Yasir Shah          | 5/79     | Pakistan v New Zealand     | 2014-11-17 |
| 10.6       | R Ashwin            | 7/59     | India v New Zealand        | 2016-10-08 |
| 10.6       | AY Patel            | 5/89     | New Zealand v Sri Lanka    | 2019-08-14 |
| 10.5       | PAJ DeFreitas       | 5/71     | England v New Zealand      | 1994-06-02 |
| 10.5       | J Srinath           | 8/86     | India v Pakistan           | 1999-02-16 |
| 10.5       | A Kumble            | 6/67     | India v New Zealand        | 1999-10-22 |
| 10.5       | GD McGrath          | 5/48     | Australia v India          | 2000-01-02 |
| 10.5       | SL Malinga          | 5/68     | Sri Lanka v New Zealand    | 2006-12-15 |
| 10.5       | M Morkel            | 5/50     | South Africa v Bangladesh  | 2008-02-22 |
| 10.5       | Robiul Islam        | 5/85     | Bangladesh v Zimbabwe      | 2013-04-25 |
| 10.5       | BV Vitori           | 5/61     | Zimbabwe v Pakistan        | 2013-09-10 |
| 10.4       | DR Tuffey           | 5/87     | New Zealand v Pakistan     | 2003-12-19 |
| 10.4       | DW Steyn            | 5/67     | South Africa v Australia   | 2008-12-26 |
| 10.4       | DW Steyn            | 6/50     | South Africa v India       | 2010-12-26 |
| 10.4       | JR Hazlewood        | 6/67     | Australia v India          | 2017-03-04 |
| 10.4       | Taijul Islam        | 6/108    | Bangladesh v Zimbabwe      | 2018-11-03 |
| 10.3       | SP Jones            | 5/44     | England v Australia        | 2005-08-25 |
| 10.3       | Wahab Riaz          | 5/63     | Pakistan v England         | 2010-08-18 |
| 10.3       | HMRKB Herath        | 6/74     | Sri Lanka v England        | 2012-03-26 |
| 10.3       | RAS Lakmal          | 5/75     | Sri Lanka v Australia      | 2019-01-24 |
| 10.3       | Naseem Shah         | 5/31     | Pakistan v Sri Lanka       | 2019-12-19 |
| 10.2       | GD McKenzie         | 5/46     | Australia v South Africa   | 1966-12-23 |
| 10.2       | CS Martin           | 5/71     | New Zealand v Zimbabwe     | 2000-12-26 |
| 10.2       | KAJ Roach           | 5/41     | West Indies v Australia    | 2012-04-15 |
| 10.2       | DW Steyn            | 5/56     | South Africa v England     | 2012-07-19 |
| 10.2       | HMRKB Herath        | 5/57     | Sri Lanka v Pakistan       | 2014-08-14 |
| 10.2       | I Sharma            | 5/68     | India v New Zealand        | 2020-02-21 |
| 10.2       | DM Bess             | 5/30     | England v Sri Lanka        | 2021-01-14 |
| 10.1       | JK Lever            | 5/59     | England v India            | 1977-01-14 |
| 10.1       | GD McGrath          | 5/50     | Australia v West Indies    | 1999-03-05 |
| 10.1       | CRD Fernando        | 5/60     | Sri Lanka v Bangladesh     | 2005-09-20 |
| 10.1       | SJ Benn             | 6/81     | West Indies v South Africa | 2010-06-26 |
| 10.1       | R Ashwin            | 6/31     | India v New Zealand        | 2012-08-23 |
| 10.1       | S Shillingford      | 6/49     | West Indies v Zimbabwe     | 2013-03-12 |
| 10.1       | Bhuvneshwar Kumar   | 6/82     | India v England            | 2014-07-17 |
| 10.1       | Yasir Shah          | 6/63     | Pakistan v West Indies     | 2017-04-21 |
| 9.6        | BS Bedi             | 5/110    | India v England            | 1977-01-01 |
| 9.6        | MS Panesar          | 5/124    | England v Pakistan         | 2012-02-03 |
| 9.6        | AR Patel            | 5/48     | India v England            | 2021-03-04 |
| 9.5        | M Muralitharan      | 6/81     | Sri Lanka v West Indies    | 2001-11-21 |
| 9.5        | I Sharma            | 6/134    | India v New Zealand        | 2014-02-06 |
| 9.5        | Mehedi Hasan Miraz  | 6/80     | Bangladesh v England       | 2016-10-20 |
| 9.5        | NM Lyon             | 5/50     | Australia v New Zealand    | 2020-01-03 |
| 9.5        | AA Nortje           | 6/56     | South Africa v Sri Lanka   | 2021-01-03 |
| 9.4        | PS Heine            | 6/58     | South Africa v Australia   | 1957-12-23 |
| 9.4        | DL Vettori          | 6/70     | New Zealand v Bangladesh   | 2004-10-26 |
| 9.4        | JEC Franklin        | 5/53     | New Zealand v West Indies  | 2006-03-17 |
| 9.4        | Mohammad Aamer      | 5/79     | Pakistan v Australia       | 2009-12-26 |
| 9.4        | PP Ojha             | 5/49     | India v West Indies        | 2013-11-14 |
| 9.4        | RA Jadeja           | 5/124    | India v Australia          | 2017-03-16 |
| 9.4        | Yasir Shah          | 5/51     | Pakistan v Sri Lanka       | 2017-09-28 |
| 9.3        | BS Bedi             | 6/71     | India v England            | 1977-01-28 |
| 9.3        | RJ Harris           | 5/25     | Australia v England        | 2014-01-03 |
| 9.3        | I Sharma            | 6/51     | India v New Zealand        | 2014-02-14 |
| 9.3        | Sohail Khan         | 5/96     | Pakistan v England         | 2016-08-03 |
| 9.2        | Danish Kaneria      | 7/77     | Pakistan v Bangladesh      | 2002-01-09 |
| 9.2        | CD Collymore        | 5/66     | West Indies v Sri Lanka    | 2003-06-20 |
| 9.2        | SJ Harmison         | 5/35     | England v Bangladesh       | 2003-10-21 |
| 9.2        | Harbhajan Singh     | 5/29     | India v Australia          | 2004-11-03 |
| 9.2        | M Muralitharan      | 6/36     | Sri Lanka v West Indies    | 2005-07-13 |
| 9.2        | B Lee               | 5/105    | Australia v New Zealand    | 2008-11-28 |
| 9.2        | GP Swann            | 5/54     | England v South Africa     | 2009-12-26 |
| 9.2        | DL Piedt            | 5/153    | South Africa v England     | 2015-12-26 |
| 9.2        | Shakib Al Hasan     | 5/85     | Bangladesh v England       | 2016-10-20 |
| 9.2        | Shakib Al Hasan     | 5/85     | Bangladesh v Australia     | 2017-08-27 |
| 9.2        | K Rabada            | 6/54     | South Africa v Australia   | 2018-03-09 |
| 9.2        | Hamza Hotak         | 6/75     | Afghanistan v Zimbabwe     | 2021-03-02 |
| 9.1        | DL Vettori          | 5/66     | New Zealand v Bangladesh   | 2008-10-25 |
| 9.1        | R Ashwin            | 6/41     | India v Australia          | 2017-03-04 |
| 9.1        | MM Ali              | 6/53     | England v South Africa     | 2017-07-06 |
| 9.1        | NM Lyon             | 7/94     | Australia v Bangladesh     | 2017-09-04 |
| 8.6        | CM Old              | 6/54     | England v New Zealand      | 1978-02-10 |
| 8.6        | SM Pollock          | 5/33     | South Africa v New Zealand | 1999-03-18 |
| 8.6        | DW Steyn            | 7/51     | South Africa v India       | 2010-02-06 |
| 8.6        | M de Lange          | 7/81     | South Africa v Sri Lanka   | 2011-12-26 |
| 8.6        | UWMBCA Welagedara   | 5/52     | Sri Lanka v South Africa   | 2011-12-26 |
| 8.6        | JM Anderson         | 5/72     | England v South Africa     | 2017-07-14 |
| 8.5        | GD McGrath          | 5/28     | Australia v West Indies    | 1999-03-05 |
| 8.5        | CRD Fernando        | 5/98     | Sri Lanka v South Africa   | 2000-12-26 |
| 8.5        | RJ Kirtley          | 6/34     | England v South Africa     | 2003-08-14 |
| 8.5        | Mohammad Asif       | 6/44     | Pakistan v Sri Lanka       | 2006-04-03 |
| 8.5        | Umar Gul            | 5/65     | Pakistan v West Indies     | 2006-11-11 |
| 8.5        | HMRKB Herath        | 5/157    | Sri Lanka v Pakistan       | 2009-07-20 |
| 8.5        | HMRKB Herath        | 6/97     | Sri Lanka v England        | 2012-03-26 |
| 8.5        | VD Philander        | 6/42     | South Africa v India       | 2018-01-05 |
| 8.5        | Hamza Hotak         | 5/74     | Afghanistan v West Indies  | 2019-11-27 |
| 8.4        | FR Spofforth        | 7/46     | Australia v England        | 1882-08-28 |
| 8.4        | CN McCarthy         | 6/43     | South Africa v England     | 1948-12-16 |
| 8.4        | GB Lawrence         | 8/53     | South Africa v New Zealand | 1961-12-26 |
| 8.4        | BS Chandrasekhar    | 6/76     | India v England            | 1977-01-28 |
| 8.4        | MS Panesar          | 5/46     | England v West Indies      | 2007-06-15 |
| 8.4        | HMRKB Herath        | 9/127    | Sri Lanka v Pakistan       | 2014-08-14 |
| 8.4        | TS Roland-Jones     | 5/57     | England v South Africa     | 2017-07-27 |
| 8.4        | JO Holder           | 5/56     | West Indies v India        | 2018-10-12 |
| 8.3        | Mohammad Asif       | 5/27     | Pakistan v Sri Lanka       | 2006-04-03 |
| 8.3        | MDK Perera          | 5/69     | Sri Lanka v South Africa   | 2014-07-24 |
| 8.3        | RAS Lakmal          | 5/54     | Sri Lanka v New Zealand    | 2018-12-26 |
| 8.2        | FR Spofforth        | 7/44     | Australia v England        | 1882-08-28 |
| 8.2        | M Muralitharan      | 9/51     | Sri Lanka v Zimbabwe       | 2002-01-04 |
| 8.2        | AR Caddick          | 6/63     | England v New Zealand      | 2002-03-21 |
| 8.2        | CS Martin           | 5/65     | New Zealand v Bangladesh   | 2008-01-12 |
| 8.2        | DAJ Bracewell       | 5/85     | New Zealand v Zimbabwe     | 2011-11-01 |
| 8.2        | Mohammad Aamer      | 6/44     | Pakistan v West Indies     | 2017-04-21 |
| 8.2        | JC Archer           | 5/102    | England v South Africa     | 2019-12-26 |
| 8.2        | AR Patel            | 5/60     | India v England            | 2021-02-13 |
| 8.1        | PM Pollock          | 6/38     | South Africa v New Zealand | 1961-12-08 |
| 8.1        | CL Cairns           | 5/62     | New Zealand v Sri Lanka    | 1998-06-10 |
| 8.1        | A Kumble            | 5/82     | India v New Zealand        | 1999-10-29 |
| 8.1        | Mohammad Asif       | 5/76     | Pakistan v South Africa    | 2007-01-19 |
| 8.1        | TL Best             | 6/40     | West Indies v Bangladesh   | 2012-11-21 |
| 8.1        | HMRKB Herath        | 5/40     | Sri Lanka v South Africa   | 2014-07-24 |
| 8.1        | JO Holder           | 5/41     | West Indies v Sri Lanka    | 2018-06-23 |
| 8.1        | Mehedi Hasan Miraz  | 5/93     | Bangladesh v West Indies   | 2018-07-12 |
| 8.1        | Shakib Al Hasan     | 6/33     | Bangladesh v West Indies   | 2018-07-12 |
| 8.1        | HMRKB Herath        | 6/98     | Sri Lanka v South Africa   | 2018-07-20 |
| 8.1        | Yasir Shah          | 6/143    | Pakistan v New Zealand     | 2018-11-24 |
| 8.1        | MA Starc            | 5/46     | Australia v Sri Lanka      | 2019-02-01 |
| 7.6        | MG Johnson          | 8/61     | Australia v South Africa   | 2008-12-17 |
| 7.6        | Zulfiqar Babar      | 5/120    | Pakistan v Australia       | 2014-10-30 |
| 7.5        | MJ Hoggard          | 5/92     | England v Sri Lanka        | 2002-05-30 |
| 7.5        | BW Hilfenhaus       | 5/75     | Australia v India          | 2011-12-26 |
| 7.5        | MS Panesar          | 6/81     | England v India            | 2012-11-23 |
| 7.5        | SCJ Broad           | 6/17     | England v South Africa     | 2016-01-14 |
| 7.5        | Yasir Shah          | 6/124    | Pakistan v West Indies     | 2016-10-21 |
| 7.4        | CR Miller           | 5/55     | Australia v New Zealand    | 2000-03-11 |
| 7.4        | SJ Harmison         | 7/12     | England v West Indies      | 2004-03-11 |
| 7.4        | Shakib Al Hasan     | 5/70     | Bangladesh v West Indies   | 2009-07-17 |
| 7.4        | TL Chatara          | 5/61     | Zimbabwe v Pakistan        | 2013-09-10 |
| 7.4        | Shakib Al Hasan     | 5/44     | Bangladesh v Zimbabwe      | 2014-11-03 |
| 7.4        | R Ashwin            | 7/66     | India v South Africa       | 2015-11-25 |
| 7.4        | ST Gabriel          | 8/62     | West Indies v Sri Lanka    | 2018-06-14 |
| 7.3        | BS Bedi             | 5/63     | India v England            | 1972-12-30 |
| 7.3        | Mohammad Rafique    | 6/122    | Bangladesh v New Zealand   | 2004-10-19 |
| 7.3        | M Muralitharan      | 6/18     | Sri Lanka v Bangladesh     | 2005-09-12 |
| 7.3        | SJ Harmison         | 5/57     | England v Pakistan         | 2006-07-27 |
| 7.3        | SR Clark            | 5/32     | Australia v West Indies    | 2008-05-22 |
| 7.3        | Saeed Ajmal         | 6/42     | Pakistan v West Indies     | 2011-05-12 |
| 7.3        | Junaid Khan         | 5/70     | Pakistan v Sri Lanka       | 2012-07-08 |
| 7.3        | VD Philander        | 5/59     | South Africa v Pakistan    | 2013-02-14 |
| 7.3        | HMRKB Herath        | 6/68     | Sri Lanka v West Indies    | 2015-10-14 |
| 7.3        | ML Cummins          | 6/48     | West Indies v India        | 2016-08-09 |
| 7.3        | HMRKB Herath        | 5/116    | Sri Lanka v Zimbabwe       | 2017-07-14 |
| 7.3        | ANPR Fernando       | 6/132    | Sri Lanka v India          | 2017-07-26 |
| 7.2        | B Lee               | 5/30     | Australia v West Indies    | 2005-11-03 |
| 7.2        | DW Steyn            | 5/47     | South Africa v New Zealand | 2006-04-15 |
| 7.2        | PJ Cummins          | 6/79     | Australia v South Africa   | 2011-11-17 |
| 7.2        | HMRKB Herath        | 8/63     | Sri Lanka v Zimbabwe       | 2016-11-06 |
| 7.2        | KA Jamieson         | 6/48     | New Zealand v Pakistan     | 2021-01-03 |
| 7.2        | R Ashwin            | 5/43     | India v England            | 2021-02-13 |
| 7.1        | MRCN Bandaratilleke | 5/36     | Sri Lanka v New Zealand    | 1998-06-03 |
| 7.1        | ARC Fraser          | 5/42     | England v South Africa     | 1998-08-06 |
| 7.1        | Harbhajan Singh     | 6/62     | India v Zimbabwe           | 2002-02-28 |
| 7.1        | CD Collymore        | 7/57     | West Indies v Sri Lanka    | 2003-06-27 |
| 7.1        | M Ntini             | 5/75     | South Africa v England     | 2003-07-31 |
| 7.1        | Shahadat Hossain    | 5/86     | Bangladesh v Sri Lanka     | 2006-03-08 |
| 7.1        | MG Johnson          | 5/42     | Australia v England        | 2013-11-21 |
| 7.1        | R Ashwin            | 7/145    | India v South Africa       | 2019-10-02 |
| 6.8        | RJ Hadlee           | 6/26     | New Zealand v England      | 1978-02-10 |
| 6.6        | WPUJC Vaas          | 6/29     | Sri Lanka v South Africa   | 2004-08-11 |
| 6.6        | Z Khan              | 5/65     | India v New Zealand        | 2009-04-03 |
| 6.6        | KM Jarvis           | 5/54     | Zimbabwe v West Indies     | 2013-03-12 |
| 6.6        | Shakib Al Hasan     | 5/68     | Bangladesh v Australia     | 2017-08-27 |
