+------------+---------------------+----------+----------------------------+------------+
| Start Over | Bowler              | Analysis | Match                      | StartDate  |
| 33.2       | CS Martin           | 5/152    | New Zealand v Australia    | 2004-11-18 |
| 33.2       | GP Swann            | 5/165    | England v West Indies      | 2009-02-26 |
| 33.1       | Saqlain Mushtaq     | 5/122    | Pakistan v India           | 1999-02-04 |
| 33.1       | JO Holder           | 6/42     | West Indies v England      | 2020-07-08 |
| 32.6       | GD McGrath          | 5/92     | Australia v West Indies    | 1999-03-26 |
| 32.6       | MS Panesar          | 6/137    | England v West Indies      | 2007-06-07 |
| 32.6       | R Ashwin            | 5/57     | India v Australia          | 2013-03-22 |
| 32.6       | Saeed Ajmal         | 6/151    | Pakistan v South Africa    | 2013-10-23 |
| 32.5       | FJ Cameron          | 5/83     | New Zealand v South Africa | 1961-12-26 |
| 32.5       | FH Edwards          | 6/92     | West Indies v England      | 2009-05-06 |
| 32.5       | Junaid Khan         | 5/87     | Pakistan v Sri Lanka       | 2014-08-14 |
| 32.4       | CH Gayle            | 5/91     | West Indies v Pakistan     | 2005-05-26 |
| 32.3       | JN Gillespie        | 5/39     | Australia v West Indies    | 2003-04-10 |
| 32.3       | Mohammad Asif       | 5/77     | Pakistan v England         | 2010-07-29 |
