TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
| Maurice Hallam                | 106  | Leicestershire v Lancashire                                                  | 1963-05-01 | Old Trafford, Manchester                                                      | a1      | 10882    |
| Ryan Gibson                   | 106  | Cricket Australia XI v Queensland                                            | 2016-10-01 | Allan Border Field, Brisbane                                                  | a24913  | 1230393  |
| Neyan Kangayan                | 106  | Puducherry v Arunachal Pradesh                                               | 2024-12-31 | Sardar Patel Stadium B Ground, Motera, Ahmedabad                              | a31381  | 2288813  |
| Alan Bell                     | 105  | Hertfordshire v Berkshire                                                    | 1966-04-30 | Lucas Lane, Hitchin                                                           | a62     | 34487    |
| Andrew Courtice               | 105  | Queensland v Victoria                                                        | 1983-01-01 | Melbourne Cricket Ground, Melbourne                                           | a3516   | 8209     |
| James Pamment                 | 105  | Auckland v Wellington                                                        | 1993-12-27 | Basin Reserve, Wellington                                                     | a8428   | 18660    |
| Matt Compton                  | 105  | Hampshire Cricket Board v Suffolk                                            | 1999-05-04 | The Victory Ground, Bury St Edmunds                                           | a11904  | 9213     |
| Ravi Nagra                    | 105  | Herefordshire v Worcestershire                                               | 2001-07-11 | County Ground, New Road, Worcester                                            | a13600  | 10808    |
| Uday Kaul                     | 105  | Punjab v Jammu and Kashmir                                                   | 2006-02-14 | Harbax Singh Stadium, Delhi                                                   | a17223  | 12592    |
| Ayana Siriwardhana            | 105  | Moors Sports Club v Sri Lanka Navy Sports Club                               | 2019-03-04 | Navy Ground, Welisara                                                         | a27067  | 1740815  |
| Ken Suttle                    | 104  | Sussex v Kent                                                                | 1963-05-22 | The Nevill Ground, Tunbridge Wells                                            | a5      | 33137    |
| Christopher Dey               | 104  | North Eastern Transvaal v Transvaal                                          | 1970-11-21 | Berea Park, Pretoria                                                          | a450    | 13316    |
| Imran Javed                   | 104  | Karachi Blues v Faisalabad                                                   | 1999-04-04 | Iqbal Stadium, Faisalabad                                                     | a11786  | 8264     |
| Matthew Featherstone          | 104  | Kent Cricket Board v Denmark                                                 | 1999-05-04 | Mote Park, Maidstone                                                          | a11899  | 9273     |
| David Paynter                 | 104  | Northamptonshire Cricket Board v Northamptonshire                            | 2001-06-27 | County Ground, Northampton                                                    | a13573  | 34325    |
| Vasudevanpillai Jagadeesh     | 104  | Kerala v Andhra                                                              | 2005-01-09 | Dr Rajendra Prasad Stadium, Margao                                            | a16309  | 44025    |
| Jono Bird                     | 104  | Western Province v Easterns                                                  | 2018-10-14 | Wally Wilson Oval, Rondebosch                                                 | a26817  | 1579501  |
| Matthew Montgomery            | 104  | KwaZulu-Natal v Western Province                                             | 2019-01-20 | Chatsworth Stadium, Chatsworth                                                | a26980  | 1383480  |
| Anthony Mosca                 | 104  | Italy v Bermuda                                                              | 2022-08-04 | Grainville, St Saviour                                                        | a29324  | 1238112  |
| Bernard Hedges                | 103  | Glamorgan v Somerset                                                         | 1963-05-22 | Cardiff Arms Park, Cardiff                                                    | a2      | 4446     |
| Maqsood Akbar                 | 103  | Railways v Lahore City                                                       | 1994-11-05 | Rawalpindi Cricket Stadium, Rawalpindi                                        | a8885   | 19280    |
| Ranjit Paradkar               | 103  | Vidarbha v Madhya Pradesh                                                    | 2002-12-14 | Maharani Usharaje Trust Cricket Ground, Indore                                | a14782  | 9298     |
| Lega Siaka                    | 103  | Papua New Guinea v Kenya                                                     | 2014-01-13 | Pukekura Park, New Plymouth                                                   | a23186  | 181998   |
| Ricky Bhui                    | 103  | Andhra v Goa                                                                 | 2014-03-02 | M Chinnaswamy Stadium, Bangalore                                              | a23290  | 274017   |
| Mehedi Hasan                  | 103  | Gazi Group Cricketers v Prime Bank Cricket Club                              | 2016-04-22 | Shere Bangla National Stadium, Mirpur                                         | a24672  | 1655510  |
| Riaz Hussan                   | 103  | Amo Region v Boost Region                                                    | 2018-07-18 | Alokozay Kabul International Cricket Stadium, Kabul                           | a26528  | 2177498  |
| Jim Allen                     | 102  | Combined Leeward and Windward Islands v Marylebone Cricket Club              | 1974-01-16 | Victoria Park, Castries                                                       | a1082   | 23198    |
| Aftab Gul                     | 102  | Servis Industries v Punjab                                                   | 1976-02-04 | Gaddafi Stadium, Lahore                                                       | a1583   | 1323     |
| Jayaraman Madanagopal         | 102  | Tamil Nadu v Kerala                                                          | 1998-12-23 | Vellyani Agricultural College Ground, Thiruvananthapuram                      | a11598  | 7791     |
| Manish Sharma                 | 102  | Punjab v Services                                                            | 2001-12-17 | Gandhi Sports Complex Ground, Amritsar                                        | a13859  | 7680     |
| Gerry Penford                 | 102  | KwaZulu-Natal Inland v KwaZulu-Natal                                         | 2008-01-27 | Chatsworth Stadium, Chatsworth                                                | a18682  | 78852    |
| Nicholas Smit                 | 102  | North West v Border                                                          | 2019-10-20 | Senwes Park, Potchefstroom                                                    | a27721  | 2318468  |
| Mohammad Hasnain              | 101  | Sargodha v Lahore Division                                                   | 1985-11-02 | Sports Stadium, Sargodha                                                      | a4644   | 19348    |
| Juan le Roux                  | 101  | North West v Griqualand West                                                 | 2004-10-24 | Sedgars Park, Potchefstroom                                                   | a16207  | 70862    |
| Royston Crandon               | 101  | Guyana v Windward Islands                                                    | 2007-01-09 | Tanteen Recreation Ground, St George's                                        | a17851  | 155759   |
| Sam Heazlett                  | 101  | Australia National Performance Squad v South Africa A                        | 2016-08-13 | Tony Ireland Stadium, Townsville                                              | a24864  | 1228971  |
| Cole Briggs                   | 101  | Auckland v Central Districts                                                 | 2021-02-19 | Eden Park Outer Oval, Auckland                                                | a28156  | 1596427  |
| Juan Lubbe                    | 101  | Easterns v Limpopo                                                           | 2022-12-06 | Willowmoore Park Main Oval, Benoni                                            | a29701  | 1383680  |
| Brian Bolus                   | 100  | Nottinghamshire v Yorkshire                                                  | 1963-05-22 | Acklam Park, Middlesbrough                                                    | a9      | 1206     |
| Brian Bath                    | 100  | A Bacher's XI v JT Botten's XI                                               | 1970-03-30 | New Wanderers Stadium, Johannesburg                                           | a286    | 2851     |
| Gary Goodman                  | 100  | Tasmania v Queensland                                                        | 1978-12-10 | Brisbane Cricket Ground, Woolloongabba, Brisbane                              | a2314   | 2533     |
| Jacob Scholtz                 | 100  | Western Transvaal v Northern Transvaal                                       | 1990-10-27 | Fanie du Toit Sports Complex, Potchefstroom                                   | a6781   | 20151    |
| Chetan Sharma                 | 100  | Delhi v Himachal Pradesh                                                     | 2000-12-05 | Feroz Shah Kotla, Delhi                                                       | a13128  | 7741     |
| Abhishek Kaushik              | 100  | Railways v Uttar Pradesh                                                     | 2014-11-07 | Vidarbha Cricket Association Stadium, Nagpur                                  | a23618  | 185516   |
| Sumit Ghadigaonkar            | 100  | Chilaw Marians Cricket Club v Panadura Sports Club                           | 2019-12-28 | Sinhalese Sports Club Ground, Colombo                                         | a27914  | 371890   |
| Islam Zazai                   | 100  | Band-e-Amir Region v Speen Ghar Region                                       | 2023-11-14 | Ghazi Amanullah Khan International Cricket Stadium, Ghazi Amanullah Khan Town | a30419  | 2177572  |
| Fin McCreath                  | 100  | Scotland v Zimbabwe A                                                        | 2025-04-24 | Harare Sports Club, Harare                                                    | a31675  | 1467770  |
