+-------------------------+------------------+------------------+-----------+--------+
| Bowler                  | Prev Wicket      | Next Wicket      | Time Diff | InDays |
| Albert Trott            | 8 - 1895-01-11   | 9 - 1899-02-14   | 4Y 34D    | 1495   |
| Henry Olonga            | 5 - 1998-10-07   | 6 - 2002-11-09   | 4Y 33D    | 1494   |
| Brian Statham           | 45 - 1961-07-27  | 46 - 1965-08-26  | 4Y 30D    | 1491   |
| Geoff Lawson            | 56 - 1985-07-11  | 57 - 1989-07-27  | 4Y 16D    | 1477   |
| George Lohmann          | 33 - 1892-01-29  | 34 - 1896-02-13  | 4Y 15D    | 1476   |
| Alex Moir               | 6 - 1951-03-17   | 7 - 1955-03-25   | 4Y 8D     | 1469   |
| Tony Lock               | 5 - 1953-08-15   | 6 - 1957-08-22   | 4Y 7D     | 1468   |
| Alec Bedser             | 14 - 1946-07-20  | 15 - 1950-07-20  | 4Y 0D     | 1461   |
| Sulieman Benn           | 16 - 2010-06-26  | 17 - 2014-06-26  | 4Y 0D     | 1461   |
| Nicky Boje              | 10 - 2000-08-06  | 11 - 2004-08-04  | 3Y 364D   | 1459   |
| Jim Laker               | 13 - 1951-08-16  | 14 - 1955-08-13  | 3Y 362D   | 1458   |
| Neil Adcock             | 10 - 1954-01-29  | 11 - 1958-01-24  | 3Y 360D   | 1456   |
| Madan Lal               | 10 - 1977-12-02  | 11 - 1981-11-27  | 3Y 360D   | 1456   |
| Brett Lee               | 20 - 2001-11-08  | 21 - 2005-11-03  | 3Y 360D   | 1456   |
| George Lohmann          | 25 - 1888-02-10  | 26 - 1892-01-29  | 3Y 353D   | 1449   |
| Monty Noble             | 11 - 1898-01-14  | 12 - 1902-01-01  | 3Y 352D   | 1447   |
| Colin Croft             | 8 - 1977-03-04   | 9 - 1981-02-13   | 3Y 346D   | 1442   |
| Kuldeep Yadav           | 10 - 2019-01-03  | 11 - 2022-12-14  | 3Y 345D   | 1441   |
| James Anderson          | 10 - 2003-08-14  | 11 - 2007-07-19  | 3Y 339D   | 1435   |
| Warwick Armstrong       | 5 - 1905-07-03   | 6 - 1909-05-27   | 3Y 328D   | 1424   |
| Dattu Phadkar           | 7 - 1949-01-27   | 8 - 1952-12-12   | 3Y 320D   | 1415   |
| Shakib Al Hasan         | 96 - 2018-07-12  | 97 - 2022-05-23  | 3Y 315D   | 1411   |
| Fred Trueman            | 13 - 1952-08-14  | 14 - 1956-06-21  | 3Y 312D   | 1407   |
| Michael Holding         | 25 - 1976-08-12  | 26 - 1980-06-19  | 3Y 312D   | 1407   |
| Andrew Flintoff         | 10 - 2005-09-08  | 11 - 2009-07-16  | 3Y 311D   | 1407   |
| Arthur Mailey           | 24 - 1921-02-25  | 25 - 1925-01-01  | 3Y 311D   | 1406   |
| Waqar Younis            | 115 - 1998-03-14 | 116 - 2002-01-09 | 3Y 301D   | 1397   |
| Vernon Philander        | 47 - 2013-02-14  | 48 - 2016-11-12  | 3Y 272D   | 1367   |
| Paul Strang             | 15 - 1996-12-18  | 16 - 2000-09-12  | 3Y 269D   | 1364   |
| Shane Bond              | 21 - 2006-03-09  | 22 - 2009-11-24  | 3Y 260D   | 1356   |
| Monty Panesar           | 44 - 2008-05-23  | 45 - 2012-01-25  | 3Y 247D   | 1342   |
| Frederick Spofforth     | 13 - 1879-01-02  | 14 - 1882-08-28  | 3Y 238D   | 1334   |
| Chris Old               | 10 - 1974-06-20  | 11 - 1978-02-10  | 3Y 235D   | 1331   |
+-------------------------+------------------+------------------+-----------+--------+
