+-------+-------------------------------+---------+--------+-------+
| Rank  | Batsman                       | Average | Others | Ratio |
| 242   | Manish Pandey                 | 52.86   | 30.23  | 1.748 |
| 243   | Avinash Desai                 | 43.58   | 24.96  | 1.746 |
| 244   | Jock Livingston               | 45.01   | 25.79  | 1.745 |
| 245   | Graham Gooch                  | 49.01   | 28.09  | 1.744 |
| 246   | Younis Khan                   | 49.90   | 28.61  | 1.744 |
| 247   | Simon Katich                  | 52.84   | 30.31  | 1.743 |
| 248   | Kumar Sangakkara              | 52.40   | 30.07  | 1.742 |
| 249   | Wirantha Fernando             | 38.53   | 22.11  | 1.742 |
| 250   | Andy Flower                   | 54.05   | 31.02  | 1.742 |
| 251   | Neil Marks                    | 47.33   | 27.17  | 1.741 |
| 252   | Bhausaheb Nimbalkar           | 47.93   | 27.52  | 1.741 |
| 253   | Saurabh Tiwary                | 46.96   | 27.01  | 1.738 |
| 254   | Kepler Wessels                | 50.58   | 29.11  | 1.737 |
| 255   | Shreyas Iyer                  | 52.42   | 30.19  | 1.736 |
| 256   | Towhid Hridoy                 | 46.73   | 26.92  | 1.735 |
| 257   | Mark Waugh                    | 52.04   | 29.98  | 1.735 |
| 258   | James Sherman                 | 21.33   | 12.29  | 1.735 |
| 259   | Stan McCabe                   | 49.38   | 28.46  | 1.735 |
| 260   | John Weatherby                | 25.29   | 14.58  | 1.733 |
| 261   | Stuart Law                    | 50.52   | 29.16  | 1.732 |
| 262   | Ramnath Kenny                 | 50.47   | 29.14  | 1.731 |
| 263   | Pankaj Dharmani               | 50.06   | 28.91  | 1.731 |
| 264   | John Hammond                  | 18.98   | 10.96  | 1.730 |
| 265   | Willie Watson                 | 39.86   | 23.05  | 1.729 |
| 266   | Morris Garda                  | 36.63   | 21.18  | 1.729 |
| 267   | Pravanjan Mullick             | 47.30   | 27.35  | 1.728 |
| 268   | Robert Poore                  | 38.66   | 22.37  | 1.728 |
| 269   | Marvan Atapattu               | 48.79   | 28.23  | 1.728 |
| 270   | Ricky Ponting                 | 55.90   | 32.36  | 1.727 |
| 271   | Neil Fortune                  | 24.35   | 14.10  | 1.726 |
| 272   | Syed Wazir Ali                | 38.77   | 22.46  | 1.725 |
| 273   | Martin Love                   | 49.85   | 28.92  | 1.723 |
| 274   | Ollie Pope                    | 51.52   | 29.89  | 1.723 |
| 275   | Rohan Kanhai                  | 49.40   | 28.68  | 1.722 |
| 276   | Vikash Ranjan                 | 43.57   | 25.30  | 1.722 |
| 277   | NN Swarna                     | 32.52   | 18.88  | 1.721 |
| 278   | John Edrich                   | 45.47   | 26.42  | 1.721 |
| 279   | Bill Lawry                    | 50.90   | 29.59  | 1.720 |
| 280   | Douglas Jardine               | 46.83   | 27.23  | 1.719 |
| 281   | Yogendra Chowdhury            | 39.79   | 23.14  | 1.719 |
| 282   | Stewie Dempster               | 44.98   | 26.17  | 1.718 |
| 283   | Palash Nandy                  | 41.12   | 23.93  | 1.718 |
| 284   | Brett Pelser                  | 45.84   | 26.68  | 1.718 |
| 285   | Jack Hearne                   | 40.98   | 23.89  | 1.715 |
| 286   | Rishabh Pant                  | 47.15   | 27.49  | 1.715 |
| 287   | Rajat Paliwal                 | 44.58   | 26.00  | 1.714 |
| 288   | Matthew Hayden                | 52.57   | 30.66  | 1.714 |
| 289   | Amol Muzumdar                 | 48.13   | 28.08  | 1.713 |
| 290   | Alf Dipper                    | 35.27   | 20.58  | 1.713 |
| 291   | Frank Woolley                 | 40.77   | 23.79  | 1.713 |
| 292   | Dickie Conrad                 | 36.06   | 21.05  | 1.712 |
| 293   | Gordon Greenidge              | 45.88   | 26.80  | 1.712 |
| 294   | Cyril Washbrook               | 42.67   | 24.92  | 1.712 |
| 295   | Rohit Sharma                  | 54.15   | 31.63  | 1.711 |
| 296   | Edward Wright                 | 23.71   | 13.86  | 1.710 |
| 297   | Bill Edrich                   | 42.39   | 24.78  | 1.710 |
| 298   | Sridharan Sharath             | 51.17   | 29.96  | 1.708 |
| 299   | Akash Lal                     | 41.64   | 24.38  | 1.708 |
| 300   | Allan Lamb                    | 48.94   | 28.66  | 1.707 |
| 301   | Manohar Bhide                 | 41.64   | 24.38  | 1.707 |
| 302   | Buster Farrer                 | 43.37   | 25.43  | 1.705 |
| 303   | Josh Bohannon                 | 44.25   | 25.95  | 1.705 |
| 304   | Abdul Samad                   | 41.25   | 24.19  | 1.705 |
| 305   | Cuthbert Burnup               | 36.79   | 21.58  | 1.704 |
| 306   | Sir Clive Lloyd               | 49.26   | 28.89  | 1.704 |
| 307   | Keith Arthurton               | 45.29   | 26.58  | 1.703 |
| 308   | Steve Waugh                   | 51.94   | 30.49  | 1.703 |
| 309   | Sridharan Sriram              | 52.99   | 31.12  | 1.702 |
| 310   | Robert Carpenter              | 24.39   | 14.33  | 1.701 |
| 311   | Lawrie Miller                 | 37.61   | 22.11  | 1.700 |
| 312   | Percy Beames                  | 51.56   | 30.33  | 1.700 |
| 313   | Norman Riches                 | 35.27   | 20.75  | 1.699 |
| 314   | Aravinda de Silva             | 48.38   | 28.48  | 1.698 |
| 315   | James Bogle                   | 45.55   | 26.82  | 1.697 |
| 316   | Umar Akmal                    | 43.81   | 25.82  | 1.696 |
| 317   | Najeeb Tarakai                | 47.20   | 27.83  | 1.696 |
| 318   | Vikram Rathour                | 49.66   | 29.29  | 1.695 |
| 319   | Ravindu Shah                  | 49.18   | 29.01  | 1.695 |
| 320   | Munsoor Abdullah              | 28.67   | 16.91  | 1.695 |
| 321   | Ron Briggs                    | 47.34   | 27.93  | 1.695 |
| 322   | Nasir Valika                  | 41.66   | 24.58  | 1.695 |
| 323   | Hanumant Singh                | 43.90   | 25.91  | 1.694 |
| 324   | Saud Shakil                   | 49.88   | 29.44  | 1.694 |
| 325   | Mohinder Singh                | 44.16   | 26.06  | 1.694 |
| 326   | John Reid                     | 41.35   | 24.41  | 1.694 |
| 327   | Haris Sohail                  | 45.96   | 27.14  | 1.693 |
| 328   | William Yeoman                | 26.88   | 15.89  | 1.691 |
| 329   | Maurice Leyland               | 40.50   | 23.96  | 1.690 |
| 330   | Karun Nair                    | 49.43   | 29.25  | 1.689 |
| 331   | Kiran Brahmabhatt             | 46.40   | 27.46  | 1.689 |
| 332   | Oscar Durity                  | 42.27   | 25.02  | 1.689 |
| 333   | Prasansana Jayamanna          | 47.19   | 27.94  | 1.688 |
| 334   | Wasim Jaffer                  | 50.67   | 30.00  | 1.688 |
| 335   | Jim Everest                   | 36.77   | 21.77  | 1.688 |
| 336   | Neil Hosken                   | 41.09   | 24.34  | 1.688 |
| 337   | Keith Miller                  | 48.90   | 28.98  | 1.687 |
| 338   | Hemantha Wickramaratne        | 40.97   | 24.28  | 1.687 |
| 339   | Frank Tarrant                 | 36.41   | 21.58  | 1.686 |
| 340   | Ajit Wadekar                  | 47.03   | 27.88  | 1.686 |
| 341   | Thilan Samaraweera            | 48.59   | 28.82  | 1.685 |
| 342   | Chamanlal                     | 37.78   | 22.41  | 1.685 |
| 343   | Heinrich Klaasen              | 45.30   | 26.88  | 1.685 |
| 344   | Linganatha Adisesh            | 38.07   | 22.61  | 1.683 |
| 345   | Leonard Harris                | 17.40   | 10.34  | 1.682 |
| 346   | Dinesh Mongia                 | 48.95   | 29.11  | 1.681 |
| 347   | Clayton Lambert               | 42.88   | 25.52  | 1.679 |
| 348   | Rajeev Nayyar                 | 44.97   | 26.79  | 1.678 |
| 349   | Jack Russell                  | 41.57   | 24.77  | 1.678 |
| 350   | Dooley Briscoe                | 45.60   | 27.17  | 1.678 |
| 351   | Asela Gunaratne               | 44.06   | 26.26  | 1.677 |
| 352   | Esmund van Wyk                | 41.00   | 24.44  | 1.677 |
| 353   | Syd Hiddleston                | 39.72   | 23.68  | 1.677 |
| 354   | Daniel Augustus               | 47.90   | 28.56  | 1.676 |
| 355   | Manoj Tiwary                  | 49.35   | 29.43  | 1.676 |
| 356   | Mansoor Rana                  | 42.95   | 25.62  | 1.676 |
| 357   | Rahmanullah Gurbaz            | 49.52   | 29.54  | 1.676 |
| 358   | Zeeshan Khan                  | 39.05   | 23.32  | 1.674 |
| 359   | Eric Barbour                  | 46.38   | 27.70  | 1.674 |
| 360   | Rusi Modi                     | 53.02   | 31.67  | 1.673 |
| 361   | Indrajit Kumar                | 43.41   | 25.94  | 1.673 |
| 362   | Ram Singh                     | 35.25   | 21.07  | 1.672 |
| 363   | Bruce Mitchell                | 45.39   | 27.14  | 1.672 |
| 364   | Surinder Bali                 | 33.04   | 19.76  | 1.671 |
| 365   | Ronald Draper                 | 41.64   | 24.91  | 1.671 |
| 366   | Wallis Mathias                | 44.49   | 26.62  | 1.671 |
| 367   | Norm O'Neill                  | 50.95   | 30.48  | 1.671 |
| 368   | Gogumal Kishenchand           | 47.91   | 28.66  | 1.671 |
| 369   | Christopher Melville          | 39.89   | 23.87  | 1.671 |
| 370   | Sachithra Serasinghe          | 47.07   | 28.17  | 1.671 |
