+--------+-------+-------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                           | Match                                                                 | StartDate  |
| S      | 7     | [Shastri, Sapru, Sharma, Singh, Sharma, Sunderam, Singh]                                        | Central Zone v North Zone                                             | 1987-09-24 |
| A      | 7     | [Ashraf, Ahmed, Arshad, Akram, Ahmed, Afzal, Ahmed]                                             | Faisalabad v Rawalpindi                                               | 1989-12-01 |
| A      | 7     | [Anwar, Ahmed, Azhar, Abbasi, Afaq, Ahmed, Abbasi]                                              | Rawalpindi v Karachi Blues                                            | 1990-12-14 |
| A      | 7     | [Abbasi, Ahmed, Anwar, Azhar, Afaq, Akhtar, Ahmed]                                              | Rawalpindi v Karachi Whites                                           | 1991-02-04 |
| A      | 7     | [Ali, Ahmed, Akhtar, Ali, Ahmed, Ahmed, Anwar]                                                  | United Bank Limited v Pakistan Automobiles Corporation                | 1991-09-22 |
| A      | 7     | [Anwar, Ahmed, Abbasi, Afaq, Akhtar, Azhar, Ahmed]                                              | Rawalpindi v Multan                                                   | 1991-11-01 |
| A      | 7     | [Anwar, Ahmed, Abbasi, Afaq, Azhar, Akhtar, Ahmed]                                              | Rawalpindi v Karachi Blues                                            | 1991-11-08 |
| P      | 7     | [Parmar, Patel, Patadiwala, Patel, Patel, Pithawala, Patel]                                     | Gujarat v Maharashtra                                                 | 1993-12-05 |
| S      | 7     | [Sharma, Singh, Sharma, Sharma, Sharma, Singh, Sharma]                                          | Jammu and Kashmir v Punjab                                            | 1993-12-12 |
| S      | 7     | [Sharma, Sharma, Singh, Sharma, Singh, Sharma, Sharma]                                          | Jammu and Kashmir v Haryana                                           | 1993-12-24 |
| P      | 7     | [Parmar, Pathak, Patadiwala, Patel, Patel, Pithawala, Patel]                                    | Gujarat v Bombay                                                      | 1993-12-28 |
| K      | 7     | [Khullar, Khanna, Karim, Kumar, Kumar, Kumar, Kumar]                                            | Bihar v Bengal                                                        | 1993-12-30 |
| A      | 7     | [Ali, Ahmed, Ahmed, Abbasi, Akhtar, Afaq, Ahmed]                                                | Rawalpindi v Karachi Blues                                            | 1994-01-07 |
| A      | 7     | [Ali, Ahmed, Abbasi, Akhtar, Asghar, Akram, Ahmed]                                              | Rawalpindi A v Allied Bank Limited                                    | 1994-11-07 |
| A      | 7     | [Ahmed, Akhtar, Abbasi, Asghar, Ahmed, Ahmed, Akram]                                            | Rawalpindi A v Railways                                               | 1994-11-08 |
| A      | 7     | [Ahmed, Ahmed, Abbasi, Akhtar, Asghar, Ahmed, Akram]                                            | Rawalpindi A v Lahore City                                            | 1994-11-09 |
| P      | 7     | [Praniya, Parmar, Patadiwala, Patel, Patel, Patel, Patel]                                       | Gujarat v Baroda                                                      | 1994-12-30 |
| S      | 7     | [Sharma, Sharma, Singh, Sharma, Sharma, Sharma, Singh]                                          | Jammu and Kashmir v Himachal Pradesh                                  | 1995-01-06 |
| P      | 7     | [Praniya, Parmar, Patadiwala, Patel, Patel, Patel, Patel]                                       | Gujarat v Maharashtra                                                 | 1995-01-14 |
| S      | 7     | [Sharma, Sharma, Singh, Sharma, Sharma, Singh, Sharma]                                          | Jammu and Kashmir v Services                                          | 1995-01-21 |
| P      | 7     | [Patel, Patel, Parmar, Patel, Patadiwala, Patel, Patel]                                         | Gujarat v Bombay                                                      | 1995-12-12 |
| A      | 7     | [Atiq-uz-Zaman, Ali, Afridi, Ali, Alvi, Ali, Ahmed]                                             | Karachi Whites v Habib Bank Limited                                   | 1995-12-26 |
| P      | 7     | [Patadiwala, Parmar, Patel, Patel, Patel, Patel, Patel]                                         | Gujarat v Maharashtra                                                 | 1996-01-16 |
| A      | 7     | [Alam, Ahmed, Abbasi, Asghar, Akhtar, Ahmed, Ahmed]                                             | Khan Research Laboratories v Islamabad                                | 1998-03-23 |
| S      | 7     | [Sharma, Sidhu, Sodhi, Sanwal, Singh, Singh, Singh]                                             | Punjab v Himachal Pradesh                                             | 1998-10-21 |
| S      | 7     | [Sharma, Sidhu, Sodhi, Singh, Singh, Singh, Singh]                                              | Punjab v Jammu and Kashmir                                            | 1998-10-28 |
| S      | 7     | [Sharma, Sidhu, Sodhi, Singh, Singh, Singh, Singh]                                              | Punjab v Services                                                     | 1998-11-06 |
| S      | 7     | [Sharma, Sidhu, Singh, Sodhi, Singh, Singh, Singh]                                              | Punjab v Delhi                                                        | 1998-11-12 |
| P      | 7     | [Patel, Parmar, Padia, Patel, Patel, Parikh, Patel]                                             | Gujarat v Saurashtra                                                  | 1998-12-27 |
