+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
| Team                                            | # Of Matches(Draw) | Start Streak                                                                            | End Streak                                                                                |
| Somerset                                        | 9                  | Somerset v Hampshire(2009-07-10)                                                        | Somerset v Worcestershire(2009-09-16)                                                     |
| India                                           | 9                  | India v Australia(1960-01-23)                                                           | India v England(1961-12-13)                                                               |
| New Zealand                                     | 9                  | New Zealand v South Africa(1964-02-21)                                                  | India v New Zealand(1965-03-12)                                                           |
| Warwickshire                                    | 9                  | Worcestershire v Warwickshire(1926-07-24)                                               | Somerset v Warwickshire(1926-08-28)                                                       |
| Leicestershire                                  | 9                  | Leicestershire v Essex(1929-08-17)                                                      | Cambridge University v Leicestershire(1930-05-21)                                         |
| Leicestershire                                  | 9                  | Derbyshire v Leicestershire(1931-05-02)                                                 | Leicestershire v Sussex(1931-06-03)                                                       |
| Jamaica                                         | 9                  | Jamaica v Trinidad and Tobago(1975-03-21)                                               | Jamaica v Indians(1976-04-15)                                                             |
| Worcestershire                                  | 9                  | Worcestershire v West Indians(1963-05-01)                                               | Worcestershire v Essex(1963-06-01)                                                        |
| Orange Free State                               | 9                  | Orange Free State v Western Province(1990-10-13)                                        | Northern Transvaal v Orange Free State(1991-03-01)                                        |
| Scotland                                        | 9                  | Scotland v Ireland(1992-06-20)                                                          | Scotland v South Africa Academy(1999-08-03)                                               |
| Indians                                         | 9                  | Sussex v Indians(2007-07-07)                                                            | County Select XI v Indians(2021-07-20)                                                    |
| Hyderabad                                       | 9                  | Hyderabad v Lahore Division(1987-01-12)                                                 | Tamil Nadu v Hyderabad(1988-01-02)                                                        |
| Maharashtra                                     | 9                  | Maharashtra v Baroda(1957-12-07)                                                        | Maharashtra v Baroda(1959-11-21)                                                          |
| Maharashtra                                     | 9                  | Maharashtra v Saurashtra(1989-11-25)                                                    | Maharashtra v Karnataka(1991-02-02)                                                       |
| Delhi                                           | 9                  | Punjab v Delhi(2003-12-01)                                                              | Delhi v Karnataka(2004-12-13)                                                             |
| Gujarat                                         | 9                  | Maharashtra v Gujarat(1982-12-18)                                                       | Gujarat v Baroda(1985-02-09)                                                              |
| Baroda                                          | 9                  | Baroda v Maharashtra(1984-12-20)                                                        | Baroda v Saurashtra(1986-11-22)                                                           |
| South Zone                                      | 9                  | Central Zone v South Zone(2017-02-11)                                                   | Central Zone v South Zone(2018-04-17)                                                     |
| Indian Universities                             | 9                  | Indian Universities v Australians(1960-01-09)                                           | Indian Universities v Sri Lankans(1975-12-05)                                             |
| Uttar Pradesh                                   | 9                  | Bihar v Uttar Pradesh(1997-02-16)                                                       | Bengal v Uttar Pradesh(1998-03-13)                                                        |
| Madhya Pradesh                                  | 9                  | Madhya Pradesh v Andhra(2004-11-07)                                                     | Madhya Pradesh v Assam(2005-12-01)                                                        |
| Pakistanis                                      | 9                  | Worcestershire v Pakistanis(1978-04-25)                                                 | Hampshire v Pakistanis(1978-06-10)                                                        |
| Northern Districts                              | 9                  | Northern Districts v Otago(1974-12-30)                                                  | Otago v Northern Districts(1976-01-08)                                                    |
| Peshawar                                        | 9                  | Peshawar v Sui Northern Gas Pipelines Limited(2015-10-26)                               | Peshawar v Sui Southern Gas Corporation(2016-10-07)                                       |
| National Bank of Pakistan                       | 9                  | National Bank of Pakistan v Pakistan Automobiles Corporation(1992-01-25)                | National Bank of Pakistan v Pakistan Automobiles Corporation(1992-11-08)                  |
| Sri Lanka Board President's XI                  | 9                  | Sri Lanka Board President's XI v Indians(1993-07-12)                                    | Sri Lanka Board President's XI v Zimbabweans(1998-01-02)                                  |
| Sri Lankans                                     | 9                  | Leicestershire v Sri Lankans(1981-07-11)                                                | Tasmania v Sri Lankans(1983-02-14)                                                        |
| Water and Power Development Authority           | 9                  | National Bank of Pakistan v Water and Power Development Authority(2007-11-25)           | Pakistan International Airlines v Water and Power Development Authority(2009-01-26)       |
| House Building Finance Corporation              | 9                  | House Building Finance Corporation v Pakistan National Shipping Corporation(1990-01-20) | Agriculture Development Bank of Pakistan v House Building Finance Corporation(1990-03-10) |
| Lahore City                                     | 9                  | Karachi Whites v Lahore City(1993-02-13)                                                | Lahore City v Rawalpindi(1994-04-14)                                                      |
| Goa                                             | 9                  | Goa v Jammu and Kashmir(2012-11-09)                                                     | Himachal Pradesh v Goa(2013-10-27)                                                        |
| Agriculture Development Bank of Pakistan        | 9                  | Agriculture Development Bank of Pakistan v Habib Bank Limited(1990-01-20)               | Agriculture Development Bank of Pakistan v House Building Finance Corporation(1990-03-10) |
| Pakistan National Shipping Corporation          | 9                  | National Bank of Pakistan v Pakistan National Shipping Corporation(1991-03-10)          | Pakistan International Airlines v Pakistan National Shipping Corporation(1992-10-24)      |
