+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| John Emburey            | 64           | 96      | 1713  | 20  | 75  | 22.53   | 513        | 644     | 12021 | 130 | 133 | 23.38   | 0.84   |
| Usman Khawaja           | 46           | 81      | 3142  | 7   | 174 | 42.45   | 168        | 288     | 11302 | 27  | 214 | 43.30   | 0.84   |
| Allan Border            | 156          | 265     | 11174 | 44  | 205 | 50.56   | 385        | 625     | 27131 | 97  | 205 | 51.38   | 0.82   |
| Fred Titmus             | 53           | 76      | 1449  | 11  | 84  | 22.29   | 792        | 1142    | 21588 | 208 | 137 | 23.11   | 0.82   |
| Stuart Broad            | 152          | 224     | 3412  | 39  | 169 | 18.44   | 242        | 343     | 5469  | 59  | 169 | 19.25   | 0.81   |
| Craig McMillan          | 55           | 91      | 3116  | 10  | 142 | 38.46   | 138        | 226     | 7817  | 27  | 168 | 39.28   | 0.81   |
| Ijaz Ahmed              | 60           | 92      | 3315  | 4   | 211 | 37.67   | 169        | 271     | 9889  | 14  | 211 | 38.47   | 0.80   |
| Javed Miandad           | 124          | 189     | 8832  | 21  | 280 | 52.57   | 402        | 632     | 28663 | 95  | 311 | 53.37   | 0.80   |
| Shaun Pollock           | 108          | 156     | 3781  | 39  | 111 | 32.31   | 186        | 267     | 7021  | 55  | 150 | 33.11   | 0.80   |
| Jeff Thomson            | 51           | 73      | 679   | 20  | 49  | 12.81   | 187        | 216     | 2065  | 64  | 61  | 13.58   | 0.77   |
| Andy Roberts            | 47           | 62      | 762   | 11  | 68  | 14.94   | 228        | 291     | 3516  | 67  | 89  | 15.69   | 0.75   |
| Godfrey Evans           | 91           | 133     | 2439  | 14  | 104 | 20.49   | 465        | 753     | 14882 | 52  | 144 | 21.22   | 0.73   |
| Rodney Hogg             | 38           | 58      | 439   | 13  | 52  | 9.75    | 107        | 141     | 1185  | 28  | 52  | 10.48   | 0.73   |
| Mohinder Amarnath       | 69           | 113     | 4378  | 10  | 138 | 42.50   | 248        | 379     | 13747 | 61  | 207 | 43.22   | 0.72   |
| Geoff Miller            | 34           | 51      | 1213  | 4   | 98  | 25.80   | 383        | 548     | 12027 | 94  | 130 | 26.49   | 0.68   |
| Mitchell Johnson        | 73           | 109     | 2065  | 16  | 123 | 22.20   | 117        | 170     | 3180  | 31  | 123 | 22.87   | 0.67   |
| Ray Lindwall            | 61           | 84      | 1502  | 13  | 118 | 21.15   | 228        | 270     | 5042  | 39  | 134 | 21.82   | 0.67   |
| Shahadat Hossain        | 38           | 69      | 521   | 17  | 40  | 10.01   | 112        | 160     | 1271  | 41  | 40  | 10.68   | 0.66   |
| Bob Taylor              | 57           | 83      | 1156  | 12  | 97  | 16.28   | 639        | 880     | 12065 | 167 | 100 | 16.92   | 0.63   |
| John Snow               | 49           | 71      | 772   | 14  | 73  | 13.54   | 346        | 451     | 4832  | 110 | 73  | 14.17   | 0.62   |
| Pedro Collins           | 32           | 47      | 235   | 7   | 24  | 5.87    | 148        | 188     | 871   | 54  | 25  | 6.50    | 0.62   |
| Wilfred Rhodes          | 58           | 98      | 2325  | 21  | 179 | 30.19   | 1110       | 1534    | 39969 | 237 | 267 | 30.81   | 0.62   |
| Tim Southee             | 84           | 118     | 1747  | 11  | 77  | 16.32   | 125        | 168     | 2574  | 16  | 156 | 16.93   | 0.60   |
| Mike Hussey             | 79           | 137     | 6235  | 16  | 195 | 51.52   | 273        | 486     | 22783 | 49  | 331 | 52.13   | 0.60   |
| Daryll Cullinan         | 70           | 115     | 4554  | 12  | 275 | 44.21   | 246        | 417     | 16261 | 54  | 337 | 44.79   | 0.58   |
| Nathan Astle            | 81           | 137     | 4702  | 10  | 222 | 37.02   | 171        | 272     | 9321  | 24  | 223 | 37.58   | 0.56   |
| Bhagwat Chandrasekhar   | 58           | 80      | 167   | 39  | 22  | 4.07    | 246        | 244     | 600   | 114 | 25  | 4.61    | 0.54   |
| Tom Graveney            | 79           | 123     | 4882  | 13  | 258 | 44.38   | 732        | 1223    | 47793 | 159 | 258 | 44.91   | 0.53   |
| Ewen Chatfield          | 43           | 54      | 180   | 33  | 21  | 8.57    | 157        | 135     | 582   | 71  | 24  | 9.09    | 0.52   |
| Alec Stewart            | 133          | 235     | 8463  | 21  | 190 | 39.54   | 447        | 734     | 26165 | 81  | 271 | 40.06   | 0.52   |
| David Warner            | 91           | 167     | 7584  | 7   | 335 | 47.40   | 122        | 220     | 10063 | 10  | 335 | 47.91   | 0.51   |
| Inzamam-ul-Haq          | 120          | 200     | 8830  | 22  | 329 | 49.60   | 245        | 393     | 16785 | 58  | 329 | 50.10   | 0.49   |
| Graeme Smith            | 117          | 205     | 9265  | 13  | 277 | 48.25   | 165        | 284     | 12916 | 19  | 311 | 48.73   | 0.48   |
| Sonny Ramadhin          | 43           | 58      | 361   | 14  | 44  | 8.20    | 184        | 191     | 1092  | 65  | 44  | 8.66    | 0.46   |
| Mohammed Shami          | 57           | 79      | 615   | 23  | 56  | 10.98   | 81         | 112     | 914   | 32  | 56  | 11.42   | 0.44   |
| Sir Ian Botham          | 102          | 161     | 5200  | 6   | 208 | 33.54   | 402        | 617     | 19399 | 46  | 228 | 33.97   | 0.42   |
| Erapalli Prasanna       | 49           | 84      | 735   | 20  | 37  | 11.48   | 235        | 275     | 2476  | 67  | 81  | 11.90   | 0.41   |
| Hugh Tayfield           | 37           | 60      | 862   | 9   | 75  | 16.90   | 187        | 259     | 3668  | 47  | 77  | 17.30   | 0.39   |
| Glenn McGrath           | 124          | 138     | 641   | 51  | 61  | 7.36    | 189        | 193     | 977   | 67  | 61  | 7.75    | 0.38   |
| Graham Thorpe           | 100          | 179     | 6744  | 28  | 200 | 44.66   | 341        | 567     | 21937 | 80  | 223 | 45.04   | 0.38   |
| Mitchell Starc          | 66           | 98      | 1751  | 22  | 99  | 23.03   | 117        | 152     | 2623  | 40  | 99  | 23.41   | 0.38   |
| Bryan Young             | 35           | 68      | 2034  | 4   | 267 | 31.78   | 163        | 276     | 7489  | 43  | 267 | 32.14   | 0.36   |
| David Boon              | 107          | 190     | 7422  | 20  | 200 | 43.65   | 350        | 586     | 23413 | 54  | 227 | 44.00   | 0.35   |
| Sunil Gavaskar          | 125          | 214     | 10122 | 16  | 236 | 51.12   | 348        | 563     | 25834 | 61  | 340 | 51.46   | 0.34   |
| Ishant Sharma           | 105          | 142     | 785   | 47  | 57  | 8.26    | 150        | 190     | 1062  | 66  | 66  | 8.56    | 0.30   |
| Alfred Valentine        | 36           | 51      | 141   | 21  | 14  | 4.70    | 125        | 142     | 470   | 48  | 24  | 5.00    | 0.29   |
| Mushfiqur Rahim         | 78           | 144     | 4873  | 12  | 219 | 36.91   | 123        | 218     | 7256  | 23  | 219 | 37.21   | 0.29   |
| Javagal Srinath         | 67           | 92      | 1009  | 21  | 76  | 14.21   | 147        | 191     | 2276  | 34  | 76  | 14.49   | 0.28   |
| Archie MacLaren         | 35           | 61      | 1931  | 4   | 140 | 33.87   | 424        | 703     | 22236 | 52  | 424 | 34.15   | 0.27   |
| Herschelle Gibbs        | 90           | 154     | 6167  | 7   | 228 | 41.95   | 193        | 331     | 13425 | 13  | 228 | 42.21   | 0.26   |
| Jonathan Trott          | 52           | 93      | 3835  | 6   | 226 | 44.08   | 281        | 468     | 18662 | 47  | 226 | 44.32   | 0.24   |
| Fidel Edwards           | 55           | 88      | 394   | 28  | 30  | 6.56    | 138        | 190     | 789   | 74  | 40  | 6.80    | 0.23   |
| Jos Buttler             | 57           | 100     | 2907  | 9   | 152 | 31.94   | 122        | 199     | 5888  | 16  | 152 | 32.17   | 0.22   |
| Stuart MacGill          | 44           | 47      | 349   | 11  | 43  | 9.69    | 184        | 212     | 1536  | 57  | 56  | 9.90    | 0.21   |
| Basil D'Oliveira        | 44           | 70      | 2484  | 8   | 158 | 40.06   | 367        | 575     | 19490 | 91  | 227 | 40.26   | 0.20   |
| Dennis Lillee           | 70           | 90      | 905   | 24  | 73  | 13.71   | 198        | 241     | 2377  | 70  | 73  | 13.90   | 0.18   |
| Prasanna Jayawardene    | 58           | 83      | 2124  | 11  | 154 | 29.50   | 249        | 388     | 10181 | 45  | 229 | 29.68   | 0.18   |
| Johnny Briggs           | 33           | 50      | 815   | 5   | 121 | 18.11   | 535        | 826     | 14092 | 55  | 186 | 18.27   | 0.16   |
| James Anderson          | 169          | 239     | 1262  | 103 | 81  | 9.27    | 269        | 348     | 1916  | 145 | 81  | 9.43    | 0.15   |
| Dale Steyn              | 93           | 119     | 1251  | 27  | 76  | 13.59   | 141        | 173     | 1824  | 40  | 82  | 13.71   | 0.11   |
| Mominul Haque           | 49           | 91      | 3501  | 6   | 181 | 41.18   | 120        | 209     | 8216  | 10  | 258 | 41.28   | 0.09   |
| Wasim Akram             | 104          | 147     | 2898  | 19  | 257 | 22.64   | 257        | 355     | 7161  | 40  | 257 | 22.73   | 0.09   |
| Nathan Lyon             | 105          | 134     | 1177  | 41  | 47  | 12.65   | 181        | 233     | 2153  | 64  | 75  | 12.73   | 0.08   |
| Kagiso Rabada           | 51           | 77      | 733   | 13  | 40  | 11.45   | 70         | 98      | 945   | 16  | 48  | 11.52   | 0.07   |
| Richard Collinge        | 35           | 50      | 533   | 13  | 68  | 14.40   | 163        | 178     | 1848  | 50  | 68  | 14.43   | 0.03   |
| Suranga Lakmal          | 68           | 105     | 928   | 25  | 42  | 11.60   | 128        | 166     | 1510  | 36  | 58  | 11.61   | 0.01   |
| Clyde Walcott           | 44           | 74      | 3798  | 7   | 220 | 56.68   | 146        | 238     | 11820 | 29  | 314 | 56.55   | -0.13  |
| Intikhab Alam           | 47           | 77      | 1493  | 10  | 138 | 22.28   | 489        | 725     | 14331 | 78  | 182 | 22.14   | -0.13  |
| Cyril Washbrook         | 37           | 66      | 2569  | 6   | 195 | 42.81   | 592        | 906     | 34101 | 107 | 251 | 42.67   | -0.13  |
| Mahela Jayawardene      | 149          | 252     | 11814 | 15  | 374 | 49.84   | 237        | 383     | 17843 | 24  | 374 | 49.70   | -0.14  |
| Mervyn Dillon           | 38           | 68      | 549   | 3   | 43  | 8.44    | 91         | 143     | 1052  | 16  | 52  | 8.28    | -0.16  |
| Thilan Samaraweera      | 81           | 132     | 5462  | 20  | 231 | 48.76   | 271        | 389     | 15501 | 70  | 231 | 48.59   | -0.17  |
| Corey Collymore         | 30           | 52      | 197   | 27  | 16  | 7.88    | 167        | 223     | 913   | 103 | 23  | 7.60    | -0.27  |
| Hugh Trumble            | 32           | 57      | 851   | 14  | 70  | 19.79   | 213        | 344     | 5395  | 67  | 107 | 19.47   | -0.31  |
| Muttiah Muralitharan    | 133          | 164     | 1261  | 56  | 67  | 11.67   | 232        | 276     | 2192  | 83  | 67  | 11.35   | -0.31  |
| Saeed Anwar             | 55           | 91      | 4052  | 2   | 188 | 45.52   | 146        | 232     | 10169 | 7   | 221 | 45.19   | -0.33  |
| Daniel Vettori          | 113          | 174     | 4531  | 23  | 140 | 30.00   | 174        | 257     | 6695  | 31  | 140 | 29.62   | -0.38  |
| Dhananjaya de Silva     | 38           | 68      | 2472  | 6   | 173 | 39.87   | 99         | 175     | 6474  | 11  | 173 | 39.47   | -0.39  |
| Saeed Ahmed             | 41           | 78      | 2991  | 4   | 172 | 40.41   | 213        | 346     | 12847 | 25  | 203 | 40.02   | -0.39  |
| Makhaya Ntini           | 101          | 116     | 699   | 45  | 32  | 9.84    | 190        | 221     | 1284  | 85  | 34  | 9.44    | -0.40  |
| Maurice Tate            | 39           | 52      | 1198  | 5   | 100 | 25.48   | 679        | 970     | 21717 | 103 | 203 | 25.04   | -0.44  |
| Geoff Howarth           | 47           | 83      | 2531  | 5   | 147 | 32.44   | 338        | 584     | 17294 | 42  | 183 | 31.90   | -0.54  |
| Rashid Latif            | 37           | 57      | 1381  | 9   | 150 | 28.77   | 156        | 218     | 5080  | 38  | 150 | 28.22   | -0.54  |
| Mohammad Rafique        | 33           | 63      | 1059  | 6   | 111 | 18.57   | 62         | 108     | 1748  | 11  | 111 | 18.02   | -0.55  |
| Darren Bravo            | 56           | 102     | 3538  | 5   | 218 | 36.47   | 102        | 175     | 5997  | 8   | 218 | 35.91   | -0.56  |
| Trent Boult             | 75           | 88      | 704   | 43  | 52  | 15.64   | 110        | 130     | 1157  | 53  | 61  | 15.02   | -0.61  |
| Wes Hall                | 48           | 66      | 818   | 14  | 50  | 15.73   | 170        | 215     | 2674  | 38  | 102 | 15.10   | -0.62  |
| Brian Statham           | 70           | 87      | 675   | 28  | 38  | 11.44   | 559        | 647     | 5424  | 145 | 62  | 10.80   | -0.63  |
| Brian McMillan          | 38           | 62      | 1968  | 12  | 113 | 39.36   | 155        | 245     | 7898  | 41  | 140 | 38.71   | -0.64  |
| Joe Root                | 114          | 210     | 9600  | 15  | 254 | 49.23   | 179        | 314     | 13979 | 26  | 254 | 48.53   | -0.69  |
| Josh Hazlewood          | 56           | 69      | 445   | 32  | 39  | 12.02   | 97         | 114     | 793   | 44  | 43  | 11.32   | -0.69  |
| Gus Logie               | 52           | 78      | 2470  | 9   | 130 | 35.79   | 157        | 244     | 7682  | 25  | 171 | 35.07   | -0.71  |
| Faf du Plessis          | 69           | 118     | 4163  | 14  | 199 | 40.02   | 150        | 250     | 8798  | 26  | 199 | 39.27   | -0.75  |
| Dwayne Bravo            | 40           | 71      | 2200  | 1   | 113 | 31.42   | 100        | 180     | 5302  | 7   | 197 | 30.64   | -0.78  |
| Alvin Kallicharran      | 66           | 109     | 4399  | 10  | 187 | 44.43   | 505        | 834     | 32650 | 86  | 243 | 43.64   | -0.78  |
| Dilhara Fernando        | 40           | 47      | 249   | 17  | 39  | 8.30    | 121        | 116     | 590   | 37  | 42  | 7.46    | -0.83  |
| Viv Richards            | 121          | 182     | 8540  | 12  | 291 | 50.23   | 507        | 796     | 36212 | 63  | 322 | 49.40   | -0.83  |
| Kim Hughes              | 70           | 124     | 4415  | 6   | 213 | 37.41   | 216        | 368     | 12711 | 20  | 213 | 36.52   | -0.88  |
| Imran Khan              | 88           | 126     | 3807  | 25  | 136 | 37.69   | 382        | 582     | 17771 | 99  | 170 | 36.79   | -0.90  |
| Matt Prior              | 79           | 123     | 4099  | 21  | 131 | 40.18   | 249        | 381     | 13228 | 44  | 201 | 39.25   | -0.93  |
| AB de Villiers          | 114          | 191     | 8765  | 18  | 278 | 50.66   | 141        | 238     | 10689 | 23  | 278 | 49.71   | -0.94  |
| Babar Azam              | 37           | 66      | 2461  | 9   | 143 | 43.17   | 73         | 120     | 4473  | 14  | 266 | 42.19   | -0.97  |
| Wasim Raja              | 57           | 92      | 2821  | 14  | 125 | 36.16   | 250        | 379     | 11434 | 54  | 165 | 35.18   | -0.98  |
| Gundappa Viswanath      | 91           | 155     | 6080  | 10  | 222 | 41.93   | 308        | 486     | 17970 | 47  | 247 | 40.93   | -0.99  |
| Brian Lara              | 131          | 232     | 11953 | 6   | 400 | 52.88   | 261        | 440     | 22156 | 13  | 501 | 51.88   | -1.00  |
| Ben Stokes              | 76           | 140     | 4867  | 5   | 258 | 36.05   | 152        | 261     | 8660  | 13  | 258 | 34.91   | -1.13  |
| Geoff Lawson            | 46           | 68      | 894   | 12  | 74  | 15.96   | 191        | 225     | 2683  | 44  | 74  | 14.82   | -1.14  |
| Conrad Hunte            | 44           | 78      | 3245  | 6   | 260 | 45.06   | 132        | 222     | 8916  | 19  | 263 | 43.92   | -1.14  |
| Len Hutton              | 79           | 138     | 6971  | 15  | 364 | 56.67   | 513        | 814     | 40140 | 91  | 364 | 55.51   | -1.15  |
| Mahendra Dhoni          | 90           | 144     | 4876  | 16  | 224 | 38.09   | 131        | 210     | 7054  | 19  | 224 | 36.93   | -1.16  |
| Colin Cowdrey           | 114          | 188     | 7624  | 15  | 182 | 44.06   | 692        | 1130    | 42719 | 134 | 307 | 42.89   | -1.17  |
| Nawab of Pataudi        | 46           | 83      | 2793  | 3   | 203 | 34.91   | 310        | 499     | 15425 | 41  | 203 | 33.67   | -1.23  |
| Vanburn Holder          | 40           | 59      | 682   | 11  | 42  | 14.20   | 313        | 358     | 3593  | 81  | 122 | 12.97   | -1.23  |
| Jerome Taylor           | 46           | 73      | 856   | 7   | 106 | 12.96   | 103        | 161     | 1595  | 25  | 106 | 11.72   | -1.24  |
| Jacques Kallis          | 166          | 280     | 13289 | 40  | 224 | 55.37   | 257        | 421     | 19695 | 57  | 224 | 54.10   | -1.26  |
| Henry Nicholls          | 45           | 67      | 2498  | 6   | 174 | 40.95   | 98         | 158     | 5828  | 11  | 174 | 39.64   | -1.30  |
| Steven Finn             | 36           | 47      | 279   | 22  | 56  | 11.16   | 159        | 195     | 1283  | 63  | 56  | 9.71    | -1.44  |
| Derek Underwood         | 86           | 116     | 937   | 35  | 45  | 11.56   | 676        | 710     | 5165  | 200 | 111 | 10.12   | -1.44  |
| Ian Redpath             | 66           | 120     | 4737  | 11  | 171 | 43.45   | 226        | 391     | 14993 | 34  | 261 | 41.99   | -1.46  |
| Ramnaresh Sarwan        | 87           | 154     | 5842  | 8   | 291 | 40.01   | 220        | 374     | 13405 | 26  | 291 | 38.52   | -1.49  |
| Brendon McCullum        | 101          | 176     | 6453  | 9   | 302 | 38.64   | 150        | 261     | 9210  | 13  | 302 | 37.13   | -1.50  |
| Mark Taylor             | 104          | 186     | 7525  | 13  | 334 | 43.49   | 253        | 435     | 17415 | 20  | 334 | 41.96   | -1.53  |
| Farokh Engineer         | 46           | 87      | 2611  | 3   | 121 | 31.08   | 335        | 510     | 13436 | 55  | 192 | 29.52   | -1.55  |
| Brett Lee               | 76           | 90      | 1451  | 18  | 64  | 20.15   | 116        | 139     | 2120  | 25  | 97  | 18.59   | -1.55  |
| Jimmy Adams             | 54           | 90      | 3012  | 17  | 208 | 41.26   | 202        | 339     | 11234 | 56  | 208 | 39.69   | -1.56  |
| Taufeeq Umar            | 44           | 83      | 2963  | 5   | 236 | 37.98   | 177        | 308     | 10598 | 17  | 247 | 36.41   | -1.56  |
| Asif Iqbal              | 58           | 99      | 3575  | 7   | 175 | 38.85   | 440        | 701     | 23329 | 75  | 196 | 37.26   | -1.59  |
| Greg Chappell           | 87           | 151     | 7110  | 19  | 247 | 53.86   | 321        | 542     | 24535 | 72  | 247 | 52.20   | -1.66  |
| Sanath Jayasuriya       | 110          | 188     | 6973  | 14  | 340 | 40.07   | 265        | 419     | 14819 | 33  | 340 | 38.39   | -1.68  |
| Lasith Malinga          | 30           | 37      | 275   | 13  | 64  | 11.45   | 84         | 101     | 585   | 41  | 64  | 9.75    | -1.70  |
| Paul Reiffel            | 35           | 50      | 955   | 14  | 79  | 26.52   | 167        | 208     | 3690  | 59  | 86  | 24.76   | -1.76  |
| Mark Richardson         | 38           | 65      | 2776  | 3   | 145 | 44.77   | 157        | 264     | 9994  | 31  | 306 | 42.89   | -1.88  |
| Virender Sehwag         | 104          | 180     | 8586  | 6   | 319 | 49.34   | 194        | 321     | 14683 | 11  | 319 | 47.36   | -1.98  |
| Michael Slater          | 74           | 131     | 5312  | 7   | 219 | 42.83   | 216        | 384     | 14912 | 19  | 221 | 40.85   | -1.98  |
| Stephen Harmison        | 63           | 86      | 743   | 23  | 49  | 11.79   | 210        | 270     | 1888  | 77  | 49  | 9.78    | -2.01  |
| Michael Clarke          | 115          | 198     | 8643  | 22  | 329 | 49.10   | 188        | 327     | 13826 | 33  | 329 | 47.02   | -2.08  |
| Shakib Al Hasan         | 59           | 109     | 4029  | 7   | 217 | 39.50   | 95         | 173     | 5944  | 14  | 217 | 37.38   | -2.11  |
| Keith Fletcher          | 59           | 96      | 3272  | 14  | 216 | 39.90   | 730        | 1167    | 37665 | 170 | 228 | 37.77   | -2.12  |
| Robin Smith             | 62           | 112     | 4236  | 15  | 175 | 43.67   | 426        | 717     | 26155 | 87  | 209 | 41.51   | -2.15  |
| Tillakaratne Dilshan    | 87           | 145     | 5492  | 11  | 193 | 40.98   | 233        | 384     | 13979 | 24  | 200 | 38.83   | -2.15  |
| Younis Khan             | 118          | 213     | 10099 | 19  | 313 | 52.05   | 229        | 385     | 17116 | 42  | 313 | 49.90   | -2.15  |
| Greg Matthews           | 33           | 53      | 1849  | 8   | 130 | 41.08   | 190        | 279     | 8872  | 51  | 184 | 38.91   | -2.17  |
| Dudley Nourse           | 34           | 62      | 2960  | 7   | 231 | 53.81   | 175        | 269     | 12472 | 27  | 260 | 51.53   | -2.28  |
| Wally Hammond           | 85           | 140     | 7249  | 16  | 336 | 58.45   | 634        | 1005    | 50551 | 104 | 336 | 56.10   | -2.35  |
| Jeremy Coney            | 52           | 85      | 2668  | 14  | 174 | 37.57   | 165        | 272     | 7872  | 48  | 174 | 35.14   | -2.43  |
| Tim Paine               | 35           | 57      | 1534  | 10  | 92  | 32.63   | 147        | 245     | 6334  | 35  | 215 | 30.16   | -2.47  |
| Jacob Oram              | 33           | 59      | 1780  | 10  | 133 | 36.32   | 84         | 136     | 3992  | 18  | 155 | 33.83   | -2.49  |
| Andrew Jones            | 39           | 74      | 2922  | 8   | 186 | 44.27   | 145        | 254     | 9180  | 33  | 186 | 41.53   | -2.73  |
| Marcus Trescothick      | 76           | 143     | 5825  | 10  | 219 | 43.79   | 391        | 675     | 26234 | 36  | 284 | 41.05   | -2.74  |
| Hedley Verity           | 40           | 44      | 669   | 12  | 66  | 20.90   | 378        | 416     | 5603  | 106 | 101 | 18.07   | -2.83  |
| Peter Richardson        | 34           | 56      | 2061  | 1   | 126 | 37.47   | 454        | 794     | 26055 | 41  | 185 | 34.60   | -2.87  |
| Mohammad Hafeez         | 55           | 105     | 3652  | 8   | 224 | 37.64   | 210        | 365     | 12169 | 15  | 224 | 34.76   | -2.88  |
| Ross Taylor             | 112          | 196     | 7683  | 24  | 290 | 44.66   | 191        | 323     | 12369 | 27  | 290 | 41.78   | -2.88  |
| Devendra Bishoo         | 36           | 61      | 707   | 15  | 45  | 15.36   | 103        | 169     | 1685  | 34  | 47  | 12.48   | -2.88  |
| Shoaib Mohammad         | 45           | 68      | 2705  | 7   | 203 | 44.34   | 211        | 350     | 12682 | 44  | 208 | 41.44   | -2.89  |
| Garry Sobers            | 93           | 160     | 8032  | 21  | 365 | 57.78   | 383        | 609     | 28314 | 93  | 365 | 54.87   | -2.91  |
| Alan Knott              | 95           | 149     | 4389  | 15  | 135 | 32.75   | 511        | 745     | 18106 | 134 | 156 | 29.63   | -3.12  |
| Tauseef Ahmed           | 34           | 38      | 318   | 20  | 35  | 17.66   | 176        | 198     | 1944  | 63  | 77  | 14.40   | -3.26  |
| Everton Weekes          | 48           | 81      | 4455  | 5   | 207 | 58.61   | 152        | 241     | 12010 | 24  | 304 | 55.34   | -3.27  |
| Azhar Ali               | 91           | 169     | 6721  | 11  | 302 | 42.53   | 225        | 392     | 14040 | 33  | 302 | 39.10   | -3.42  |
| Dennis Amiss            | 50           | 88      | 3612  | 10  | 262 | 46.30   | 658        | 1139    | 43423 | 126 | 262 | 42.86   | -3.44  |
| Adam Gilchrist          | 96           | 137     | 5570  | 20  | 204 | 47.60   | 190        | 280     | 10334 | 46  | 204 | 44.16   | -3.44  |
| Bruce Mitchell          | 42           | 80      | 3471  | 9   | 189 | 48.88   | 173        | 281     | 11395 | 30  | 195 | 45.39   | -3.48  |
| Kane Williamson         | 86           | 150     | 7272  | 14  | 251 | 53.47   | 154        | 263     | 12083 | 21  | 284 | 49.92   | -3.54  |
| Richie Richardson       | 86           | 146     | 5949  | 12  | 194 | 44.39   | 234        | 390     | 14618 | 31  | 194 | 40.71   | -3.67  |
| Steven Smith            | 82           | 147     | 7784  | 17  | 239 | 59.87   | 141        | 246     | 12284 | 27  | 239 | 56.09   | -3.78  |
| Max Walker              | 34           | 43      | 586   | 13  | 78  | 19.53   | 135        | 170     | 2014  | 40  | 78  | 15.49   | -4.04  |
| David Gower             | 117          | 204     | 8231  | 18  | 215 | 44.25   | 448        | 727     | 26339 | 70  | 228 | 40.08   | -4.16  |
| Mohammad Yousuf         | 90           | 156     | 7530  | 12  | 223 | 52.29   | 141        | 239     | 10505 | 20  | 223 | 47.96   | -4.32  |
| Doug Walters            | 74           | 125     | 5357  | 14  | 250 | 48.26   | 258        | 426     | 16180 | 57  | 253 | 43.84   | -4.41  |
| Michael Vaughan         | 82           | 147     | 5719  | 9   | 197 | 41.44   | 268        | 468     | 16295 | 27  | 197 | 36.95   | -4.49  |
| Peter Parfitt           | 37           | 52      | 1882  | 6   | 131 | 40.91   | 498        | 845     | 26924 | 104 | 200 | 36.33   | -4.57  |
| Don Bradman             | 52           | 80      | 6996  | 10  | 334 | 99.94   | 234        | 338     | 28067 | 43  | 452 | 95.14   | -4.80  |
| Jason Holder            | 53           | 95      | 2477  | 15  | 202 | 30.96   | 85         | 138     | 3216  | 15  | 202 | 26.14   | -4.81  |
| Paul Collingwood        | 68           | 115     | 4259  | 10  | 206 | 40.56   | 306        | 527     | 16938 | 52  | 206 | 35.65   | -4.90  |
| Kumar Sangakkara        | 134          | 233     | 12400 | 17  | 319 | 57.40   | 260        | 430     | 20911 | 31  | 319 | 52.40   | -4.99  |
| Maurice Leyland         | 41           | 65      | 2764  | 5   | 187 | 46.06   | 686        | 932     | 33660 | 101 | 263 | 40.50   | -5.56  |
| Lawrence Rowe           | 30           | 49      | 2047  | 2   | 302 | 43.55   | 149        | 245     | 8755  | 12  | 302 | 37.57   | -5.97  |
| Jack Hobbs              | 61           | 102     | 5410  | 7   | 211 | 56.94   | 834        | 1325    | 61760 | 107 | 316 | 50.70   | -6.24  |
| Eddie Barlow            | 30           | 57      | 2516  | 2   | 201 | 45.74   | 283        | 493     | 18212 | 28  | 217 | 39.16   | -6.57  |
| David Allen             | 39           | 51      | 918   | 15  | 88  | 25.50   | 456        | 641     | 9291  | 147 | 121 | 18.80   | -6.69  |
| Ted Dexter              | 62           | 102     | 4502  | 8   | 205 | 47.89   | 327        | 567     | 21150 | 48  | 205 | 40.75   | -7.14  |
| Herbert Sutcliffe       | 54           | 84      | 4555  | 9   | 194 | 60.73   | 754        | 1098    | 50670 | 124 | 313 | 52.02   | -8.71  |
| Tony Greig              | 58           | 93      | 3599  | 4   | 148 | 40.43   | 350        | 579     | 16660 | 45  | 226 | 31.19   | -9.23  |
| Ken Barrington          | 82           | 131     | 6806  | 15  | 256 | 58.67   | 533        | 831     | 31714 | 136 | 256 | 45.63   | -13.04 |
+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
