+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Mike Smith              | 50           | 78      | 2278  | 6   | 121 | 31.63   | 637        | 1091    | 39832 | 139 | 204 | 41.84   | 10.20  |
| Ken Mackay              | 37           | 52      | 1507  | 7   | 89  | 33.48   | 201        | 294     | 10823 | 46  | 223 | 43.64   | 10.15  |
| Polly Umrigar           | 59           | 94      | 3631  | 8   | 223 | 42.22   | 243        | 350     | 16155 | 41  | 252 | 52.28   | 10.06  |
| Boeta Dippenaar         | 38           | 62      | 1718  | 5   | 177 | 30.14   | 197        | 339     | 12324 | 32  | 250 | 40.14   | 10.00  |
| Johnny Tyldesley        | 31           | 55      | 1661  | 1   | 138 | 30.75   | 608        | 994     | 37897 | 62  | 295 | 40.66   | 9.90   |
| Lance Klusener          | 49           | 69      | 1906  | 11  | 174 | 32.86   | 197        | 283     | 9521  | 60  | 202 | 42.69   | 9.83   |
| Pankaj Roy              | 43           | 79      | 2442  | 4   | 173 | 32.56   | 185        | 298     | 11868 | 18  | 202 | 42.38   | 9.82   |
| Hamilton Masakadza      | 38           | 76      | 2223  | 2   | 158 | 30.04   | 140        | 251     | 9564  | 11  | 208 | 39.85   | 9.80   |
| Marvan Atapattu         | 90           | 156     | 5502  | 15  | 249 | 39.02   | 228        | 348     | 14591 | 49  | 253 | 48.79   | 9.77   |
| Bruce Edgar             | 39           | 68      | 1958  | 4   | 161 | 30.59   | 175        | 307     | 11304 | 26  | 203 | 40.22   | 9.63   |
| Kepler Wessels          | 40           | 71      | 2788  | 3   | 179 | 41.00   | 316        | 539     | 24738 | 50  | 254 | 50.58   | 9.58   |
| Warren Bardsley         | 41           | 66      | 2469  | 5   | 193 | 40.47   | 250        | 376     | 17031 | 35  | 264 | 49.94   | 9.46   |
| Bob Simpson             | 62           | 111     | 4869  | 7   | 311 | 46.81   | 257        | 436     | 21029 | 62  | 359 | 56.22   | 9.40   |
| Peter Burge             | 42           | 68      | 2290  | 8   | 181 | 38.16   | 233        | 354     | 14640 | 46  | 283 | 47.53   | 9.36   |
| Imrul Kayes             | 39           | 76      | 1797  | 2   | 150 | 24.28   | 126        | 228     | 7366  | 9   | 204 | 33.63   | 9.35   |
| Stuart Carlisle         | 37           | 66      | 1615  | 6   | 118 | 26.91   | 96         | 167     | 5399  | 18  | 219 | 36.23   | 9.31   |
| Dipak Patel             | 37           | 66      | 1200  | 8   | 99  | 20.68   | 357        | 558     | 15188 | 51  | 204 | 29.95   | 9.26   |
| Fazal Mahmood           | 34           | 50      | 620   | 6   | 60  | 14.09   | 112        | 147     | 2662  | 33  | 100 | 23.35   | 9.25   |
| Nicky Boje              | 43           | 62      | 1312  | 10  | 85  | 25.23   | 216        | 322     | 9087  | 58  | 226 | 34.42   | 9.18   |
| Nuwan Zoysa             | 30           | 40      | 288   | 6   | 28  | 8.47    | 118        | 142     | 2062  | 25  | 114 | 17.62   | 9.15   |
| Geoff Boycott           | 108          | 193     | 8114  | 23  | 246 | 47.72   | 609        | 1014    | 48426 | 162 | 261 | 56.83   | 9.10   |
| Greg Ritchie            | 30           | 53      | 1690  | 5   | 146 | 35.20   | 159        | 254     | 10170 | 24  | 213 | 44.21   | 9.00   |
| Shai Hope               | 38           | 72      | 1726  | 3   | 147 | 25.01   | 66         | 117     | 3708  | 8   | 215 | 34.01   | 9.00   |
| Manoj Prabhakar         | 39           | 58      | 1600  | 9   | 120 | 32.65   | 154        | 214     | 7469  | 34  | 229 | 41.49   | 8.84   |
| Chetan Chauhan          | 40           | 68      | 2084  | 2   | 97  | 31.57   | 179        | 299     | 11143 | 22  | 207 | 40.22   | 8.65   |
| Martin Guptill          | 47           | 89      | 2586  | 1   | 189 | 29.38   | 116        | 210     | 7483  | 13  | 227 | 37.98   | 8.59   |
| Arjuna Ranatunga        | 93           | 155     | 5105  | 12  | 135 | 35.69   | 205        | 295     | 11641 | 32  | 238 | 44.26   | 8.56   |
| Geraint Jones           | 34           | 53      | 1172  | 4   | 100 | 23.91   | 203        | 309     | 9087  | 29  | 178 | 32.45   | 8.53   |
| Junior Murray           | 33           | 45      | 918   | 4   | 101 | 22.39   | 149        | 251     | 6830  | 30  | 218 | 30.90   | 8.51   |
| Jonathan Bairstow       | 80           | 142     | 4575  | 8   | 167 | 34.14   | 193        | 321     | 12223 | 34  | 246 | 42.58   | 8.44   |
| Neil McKenzie           | 58           | 94      | 3253  | 7   | 226 | 37.39   | 280        | 476     | 19041 | 60  | 237 | 45.77   | 8.38   |
| Hanif Mohammad          | 55           | 97      | 3915  | 8   | 337 | 43.98   | 238        | 370     | 17059 | 44  | 499 | 52.32   | 8.33   |
| Bob Wyatt               | 40           | 64      | 1839  | 6   | 149 | 31.70   | 739        | 1141    | 39405 | 157 | 232 | 40.04   | 8.33   |
| Aiden Markram           | 30           | 55      | 1917  | 1   | 152 | 35.50   | 83         | 143     | 5917  | 8   | 204 | 43.82   | 8.32   |
| Nari Contractor         | 31           | 52      | 1611  | 1   | 108 | 31.58   | 138        | 234     | 8611  | 18  | 176 | 39.86   | 8.27   |
| Alan Davidson           | 44           | 61      | 1328  | 7   | 80  | 24.59   | 193        | 246     | 6804  | 39  | 129 | 32.86   | 8.27   |
| Ravi Shastri            | 80           | 121     | 3830  | 14  | 206 | 35.79   | 245        | 356     | 13202 | 56  | 217 | 44.00   | 8.21   |
| Paul Adams              | 45           | 55      | 360   | 15  | 35  | 9.00    | 141        | 156     | 1752  | 54  | 70  | 17.17   | 8.17   |
| Graeme Wood             | 59           | 112     | 3374  | 6   | 172 | 31.83   | 227        | 375     | 13353 | 41  | 186 | 39.97   | 8.14   |
| Warwick Armstrong       | 50           | 84      | 2863  | 10  | 159 | 38.68   | 269        | 406     | 16158 | 61  | 303 | 46.83   | 8.14   |
| Imtiaz Ahmed            | 41           | 72      | 2079  | 1   | 209 | 29.28   | 180        | 310     | 10393 | 32  | 300 | 37.38   | 8.10   |
| Ajinkya Rahane          | 82           | 140     | 4931  | 12  | 188 | 38.52   | 166        | 284     | 11981 | 27  | 265 | 46.61   | 8.09   |
| John Reid               | 58           | 108     | 3428  | 5   | 142 | 33.28   | 246        | 418     | 16128 | 28  | 296 | 41.35   | 8.07   |
| Craig White             | 30           | 50      | 1052  | 7   | 121 | 24.46   | 276        | 438     | 12395 | 57  | 186 | 32.53   | 8.06   |
| Moeen Ali               | 64           | 111     | 2914  | 8   | 155 | 28.29   | 198        | 339     | 11334 | 27  | 250 | 36.32   | 8.03   |
| Phil DeFreitas          | 44           | 68      | 934   | 5   | 88  | 14.82   | 372        | 533     | 10991 | 50  | 123 | 22.75   | 7.93   |
| Roston Chase            | 43           | 79      | 2009  | 4   | 137 | 26.78   | 91         | 154     | 4675  | 19  | 137 | 34.62   | 7.84   |
